CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
23.740.552/0001-31;2024-02-01;1;143766.97;0;0;0;143766.97;371000;371000;0;0;0;371000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;351307.31;0;350788.86;518.45;0;14100.93;0;0;0;0;0;0;0;58167;72267.93
23.740.552/0001-31;2024-03-01;1;461507.51;0;0;0;461507.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;351048.11;0;350788.86;259.25;0;14100.93;0;0;0;0;0;0;0;66302.31;80403.24
23.740.595/0001-17;2024-01-01;1;2543279.42;0;0;0;2543279.42;207575052.07;207575052.07;0;207575052.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5120983.91;5113512;0;7471.91;1512209.92;138664.1;0;0;0;0;0;0;1551788.41;228767.23;3431429.66
23.740.595/0001-17;2024-02-01;1;2260413.49;0;0;0;2260413.49;207575142.07;207575142.07;0;207575142.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4740318.17;4735321;0;4997.17;1512209.92;120058.65;0;0;0;0;0;0;1551788.41;278480.03;3462537.01
23.740.595/0001-17;2024-03-01;1;1449373.86;0;0;0;1449373.86;207703265.9;207703265.9;0;207703265.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5030899.46;5015569;0;15330.46;1365293.92;125900.57;0;0;0;0;0;0;1551788.41;245330.83;3288313.73
23.768.027/0001-24;2024-01-01;1;12971661.13;219.39;12971441.74;0;0;468456473;468456473;0;0;0;468456473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6449253.59;5372702.16;0;1076551.43;0;29925.45;0;0;0;0;0;0;0;1502192.27;1532117.72
23.768.027/0001-24;2024-02-01;1;14595382.25;199.45;14595182.8;0;0;468606473;468606473;0;0;0;468606473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6283983.93;5240327.48;0;1043656.45;0;29925.45;0;0;0;0;0;0;0;892208.7;922134.15
23.768.027/0001-24;2024-03-01;1;16409156.47;199.45;16408957.02;0;0;468637890.51;468637890.51;0;0;0;468637890.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6265855.43;5229324.15;0;1036531.28;0;29925.45;0;0;0;0;0;0;0;583827.5;613752.95
23.781.211/0001-04;2024-01-01;1;3733777.99;1983.71;3510473.3;221320.98;0;2986752364.42;2774925000;0;336632000;0;0;0;2438293000;0;0;0;0;0;0;0;0;0;0;0;211827364.42;0;0;;0;0;;0;0;0;15979753.75;7286997.55;0;8692756.2;3500000;16766.33;0;0;0;0;0;0;0;638846721.93;642363488.26
23.781.211/0001-04;2024-02-01;1;3179500.26;4158.03;2958706.93;216635.3;0;2986743346.8;2774925000;0;336632000;0;0;0;2438293000;0;0;0;0;0;0;0;0;0;0;0;211818346.8;0;0;;0;0;;0;0;0;17078293.22;8596808.33;0;8481484.89;2700000.07;2231.64;0;0;0;0;0;0;0;631613003.12;634315234.83
