CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2019-01-01;1;2019-01-31;1305;;;;;;;;;;;;;;;;523216398.36;516915305.5;2749208;188.023352725585;0.000172;0;0.008069;-0.0007;0.008769;0
00.332.266/0001-31;2019-02-01;1;2019-02-28;2013;;;;;;;;;;;;;;;;522670015.39;517254825.44;2749208;188.146850089189;0.000132;0;0.005922;0.000657;0.005265;0
00.332.266/0001-31;2019-03-01;1;2019-03-31;2238;2229;2;0;0;0;0;0;1;0;0;0;3;2;0;1;521245835.43;518676435.64;2749208;188.663948177075;0.000127;0;0.00599;0.002748;0.003242;0
00.332.266/0001-31;2019-04-01;1;2019-04-30;2310;;;;;;;;;;;;;;;;522621385.06;519005942.37;2749208;188.783803324448;0.00018;0;0.005882;0.000635;0.005247;0
00.332.266/0001-31;2019-05-01;1;2019-05-31;2402;;;;;;;;;;;;;;;;522899607.25;519590704.43;2749208;188.996505331717;0.00012;0;0.006318;0.001127;0.005191;0
00.332.266/0001-31;2019-06-01;1;2019-06-30;2487;2466;2;0;0;0;0;0;1;0;0;0;9;8;0;1;531366455.79;524565571.31;2800149;187.334878004706;0.000119;0;0.002337;-0.008792;0.011129;0
00.332.266/0001-31;2019-07-01;1;2019-07-31;2804;;;;;;;;;;;;;;;;528322347.36;524894887.24;2800149;187.452484578499;0.000119;0;0.00516;0.000628;0.004532;0
00.332.266/0001-31;2019-08-01;1;2019-08-31;2853;;;;;;;;;;;;;;;;528323646.07;526078062.59;2800149;187.875024718327;0.000119;0;0.005112;0.002254;0.002858;0
00.332.266/0001-31;2019-09-01;1;2019-09-30;3197;3171;7;0;0;0;1;0;1;0;0;0;9;7;0;1;530026576.69;525663617.23;2800149;187.727016394485;0.000119;0;0.006238;-0.000788;0.007026;0
00.332.266/0001-31;2019-10-01;1;2019-10-31;3752;;;;;;;;;;;;;;;;529598964.87;525941810.91;2800149;187.826365993381;0.000119;0;0.005856;0.000529;0.005327;0
00.332.266/0001-31;2019-11-01;3;2019-11-30;4224;4196;11;0;0;0;0;0;1;0;0;0;9;6;0;1;605201802.56;600761161.21;2800149;214.546140655372;0.000104;0;0.148913;0.142258;0.006655;0
00.332.266/0001-31;2019-12-01;1;2019-12-31;4981;4953;12;0;0;0;0;0;1;0;0;0;9;5;0;1;607924590.48;602127118.6;2800149;215.033956621594;0.000109;0;0.010664;0.002274;0.00839;0
00.613.094/0001-74;2019-01-01;1;2019-01-31;251;233;6;2;1;3;0;0;6;0;0;0;0;0;0;0;192750899.99;186619961.01;758400;246.07062369462;0;2.97636971411775E-05;-0.0004;-0.0004;0;0
00.613.094/0001-74;2019-02-01;1;2019-02-28;309;291;6;2;1;3;0;0;6;0;0;0;0;0;0;0;193834233.74;187588543.44;758400;247.347762974684;0;2.96143884793301E-05;0.004807;0.004807;0;0
00.613.094/0001-74;2019-03-01;1;2019-03-31;317;299;6;2;1;3;0;0;6;0;0;0;0;0;0;0;195545130.49;189190312.74;758400;249.459800553797;0;0;0.0085;0.0085;0;0
00.613.094/0001-74;2019-04-01;1;2019-04-30;328;310;6;2;1;3;0;0;6;0;0;0;0;0;0;0;196747879.08;190303251.67;758400;250.927283320148;0;5.83838683885593E-05;0.005883;0.005883;0;0
00.613.094/0001-74;2019-05-01;1;2019-05-31;335;317;6;2;1;3;0;0;6;0;0;0;0;0;0;0;197220265.96;190723861.92;758400;251.481885443038;0;2.91232567534661E-05;0.0022;0.0022;0;0
00.613.094/0001-74;2019-06-01;1;2019-06-30;329;311;6;2;1;3;0;0;6;0;0;0;0;0;0;0;198281045.8;191393184.06;758400;252.364430458861;0;2.90214096546327E-05;0.003509;0.003509;0;0
00.613.094/0001-74;2019-07-01;1;2019-07-31;325;307;6;2;1;3;0;0;6;0;0;0;0;0;0;0;198640336.17;191755254.65;758400;252.841844211498;0;2.89708879693535E-05;0.0019;0.0019;0;0
00.613.094/0001-74;2019-08-01;1;2019-08-31;347;329;6;2;1;3;0;0;6;0;0;0;0;0;0;0;198381420.05;191366662.82;758400;252.329460469409;0;2.9E-05;-0.002026;-0.002026;0;0
00.613.094/0001-74;2019-09-01;1;2019-09-30;373;355;6;2;1;3;0;0;6;0;0;0;0;0;0;0;198118753.9;191019026;758400;251.871078586498;0;2.90782552728543E-05;-0.0018;-0.0018;0;0
00.613.094/0001-74;2019-10-01;1;2019-10-31;367;349;6;2;1;3;0;0;6;0;0;0;0;0;0;0;197841529.02;190656454.3;758400;251.393004087553;0;2.91335534856848E-05;-0.0019;-0.0019;0;0
00.613.094/0001-74;2019-11-01;1;2019-11-30;389;371;6;2;1;3;0;0;6;0;0;0;0;0;0;0;197597981.15;190327786.45;758400;250.959634032173;0;3.06324163630812E-05;-0.0017;-0.0017;0;0
00.613.094/0001-74;2019-12-01;1;2019-12-31;386;368;6;2;1;3;0;0;6;0;0;0;0;0;0;0;1630696.2;-5580545.56;758400;-7.35831429324894;0;0;-1.029321;-1.029321;0;0
00.762.723/0001-28;2019-01-01;1;2019-01-31;4687;;;;;;;;;;;;;;;;124621178.22;123488041.99;36319906;3.40000995569757;0.000219;0;0.00665;-0.002009;0.008659;0
00.762.723/0001-28;2019-02-01;3;2019-02-28;3369;;;;;;;;;;;;;;;;124639670.7;123402691.13;2594279;47.5672397340456;0.000239;0;0.008115;-0.000691;0.008806;0
00.762.723/0001-28;2019-03-01;1;2019-03-31;3450;3444;3;0;0;0;0;0;1;0;0;0;0;0;0;2;124382734.57;123254325.45;2594279;47.510050171936;0.000239;0;0.007526;-0.001202;0.008728;0
00.762.723/0001-28;2019-04-01;1;2019-04-30;3532;;;;;;;;;;;;;;;;124200489.78;123193353.08;2594279;47.4865475455801;0.00024;0;0.007284;-0.000495;0.007779;0
00.762.723/0001-28;2019-05-01;1;2019-05-31;3506;;;;;;;;;;;;;;;;124170112.41;123266994;2594279;47.5149334362264;0.000239;0;0.007606;0.000598;0.007008;0
00.762.723/0001-28;2019-06-01;1;2019-06-30;3441;3434;4;0;0;0;0;0;1;0;0;0;0;0;0;2;124331054.54;123333587.96;2594279;47.5406029806355;0.000239;0;0.008363;0.00054;0.007823;0
00.762.723/0001-28;2019-07-01;1;2019-07-31;3339;;;;;;;;;;;;;;;;124270653.17;123274925.37;2594279;47.5179906902843;0.000239;0;0.007342;-0.000476;0.007818;0
00.762.723/0001-28;2019-08-01;1;2019-08-31;3309;;;;;;;;;;;;;;;;124312551.3;123343394.85;2594279;47.5443831792957;0.000239;0;0.008134;0.000555;0.007579;0
