CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2024-01-01;1;2024-01-31;4030;;;;;;;;;;;;;;;;544330044.22;536332409.38;2800149;191.537096554505;0.000196;0;0.002166;-0.003557;0.005723;0
00.332.266/0001-31;2024-02-01;1;2024-02-29;4101;;;;;;;;;;;;;;;;543161340.95;535306056.94;2800149;191.170561616543;0.000198;0;0.003516;-0.001914;0.00543;0
00.332.266/0001-31;2024-03-01;1;2024-03-31;4236;4197;12;;;;2;;1;;;;10;14;;;541837679.95;535507628.68;2800149;191.242547692998;0.000198;0;0.004039;0.000377;0.003662;0
00.613.094/0001-74;2024-01-01;1;2024-01-31;667;52;7;;;;;;5;;;;;;;603;197011101.39;-16240458.24;758400;-21.4141063291139;0;0;0;0;0;0
00.613.094/0001-74;2024-02-01;1;2024-02-29;667;52;7;;;;;;5;;;;;;;603;197003989.08;-16623707.19;758400;-21.9194451344937;0;0;0;0;0;0
00.613.094/0001-74;2024-03-01;1;2024-03-28;577;561;;;1;;;;12;;1;;;;;2;197004375.16;-17014303.73;758400;-22.434472217827;0;0;0.02215;0.023496;-0.001346;0
00.762.723/0001-28;2024-01-01;1;2024-01-31;2736;;;;;;;;;;;;;;;;105108468.55;105023932.29;3408174;30.8153082236998;0.000454;0;-0.005444;-0.005444;0;0
00.762.723/0001-28;2024-02-01;1;2024-02-29;2697;;;;;;;;;;;;;;;;105056937.66;104980344.77;3408174;30.8025191114069;0.000463;0;-0.005827;-0.005827;0;0
00.762.723/0001-28;2024-03-01;1;2024-03-31;2655;2647;4;;;;;;3;;;;1;;;;109131855.18;109065962.89;3798392;28.7137196187229;0.000446;0;0.038918;0.038918;0;0
00.868.235/0001-08;2024-01-01;2;2024-01-31;14;;;;;;;;;;;;;;;;116587628.64;113545809.45;54316;2090.46707139701;0.000513;0;0.006051;0.000575;0.005476;0
00.868.235/0001-08;2024-02-01;1;2024-02-29;14;;;;;;;;;;;;;;;;116469623.31;113611119.57;54316;2091.6694817365;0.000513;0;0.005637;0.000575;0.005062;0
00.868.235/0001-08;2024-03-01;1;2024-03-31;14;3;;;;;;;9;;;;1;1;;;116442945.24;113668562.63;54316;2092.72705335444;0.000513;0;0.005287;0.000506;0.004781;0
01.201.140/0001-90;2024-01-01;1;2024-01-31;17090;;;;;;;;;;;;;;;;481481193.45;477090067.9;4709082;101.312754354246;0.000203;0;0.006153;-0.001925;0.008078;0
01.201.140/0001-90;2024-02-01;1;2024-02-29;16988;;;;;;;;;;;;;;;;479942748.43;477089865.14;4709082;101.312711297021;0.000203;0;0.004935;0;0.004935;0
01.201.140/0001-90;2024-03-01;1;2024-03-31;16751;16730;12;1;;;2;1;;;;;3;2;;;480280709.99;477377336.27;4709082;101.373757405371;0.000203;0;0.005538;0.000603;0.004935;0
01.235.622/0001-61;2024-01-01;2;2024-01-31;112;;;;;;;;;;;;;;;;3402493099.34;2858296030.95;1021512;2798.1032341764;0.000869762062110035;;0.024928;0.003741;0.021187;
01.235.622/0001-61;2024-02-01;1;2024-02-29;113;;;;;;;;;;;;;;;;3549194962.76;3074437885.2;1091893.00000122;2815.69520566261;0.000700962078425536;;0.006289;0.006289;;
01.235.622/0001-61;2024-03-01;1;2024-03-28;114;65;;;2;;;;;;;;;37;10;;3558831706.63;3094321859.26;1092223;2833.04953224754;0.000788550794319608;;0.006163;0.006163;0;
01.356.517/0001-80;2024-01-01;1;2024-01-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337051603.1;160301620.97;56701;2827.13922100139;0.0004;0;0.036886;0.036886;;
01.356.517/0001-80;2024-02-01;1;2024-02-29;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336448715.88;160814843.07;56701;2836.19059752033;0.0004;0;0.003202;0.003202;;
01.356.517/0001-80;2024-03-01;1;2024-03-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;344690903.77;170262229.76;56701;3002.80823548086;0.0004;0;0.058747;0.058747;;
01.497.954/0001-14;2024-01-01;1;2024-01-31;6;;;;;;;;;;;;;;;;156327675.38;156125383.15;8703994;17.937211715679;0.000102;0;0.001315;0.000508;0.000807;0
01.497.954/0001-14;2024-02-01;1;2024-02-29;6;;;;;;;;;;;;;;;;156341986.19;156134171.36;8703994;17.9382213912372;0.000114;0;0.001177;5.6E-05;0.001121;0
01.497.954/0001-14;2024-03-01;1;2024-03-31;6;3;3;;;;;;;;;;;;;;156399336.8;156174306.17;8703994;17.9428324709323;0.000116;0;0.001618;0.000257;0.001361;0
01.601.918/0001-59;2024-01-01;1;2024-01-31;1;;;;;;;;;;;;;;;;78188188.72;77452296.5;500000;154.904593;0.000672;1.4E-05;0.001153;0.001153;0;0
01.601.918/0001-59;2024-02-01;1;2024-02-29;1;;;;;;;;;;;;;;;;78151891.83;77422635.75;500000;154.8452715;0.000679;1.4E-05;-0.000383;-0.000383;0;0
01.601.918/0001-59;2024-03-01;1;2024-03-31;1;;;1;;;;;;;;;;;;;78102680.24;77380488.03;500000;154.76097606;0.000679;1.5E-05;-0.000545;-0.000545;0;0
01.633.741/0001-72;2024-01-01;1;2024-01-31;258;;;;;;;;;;;;;;;;59539596.01;59442877.19;508008;117.011695071731;0.000187;0;0.001776;0.001776;0;
01.633.741/0001-72;2024-02-01;1;2024-02-29;251;;;;;;;;;;;;;;;;59580099.73;59479921.31;508008;117.084615419442;0.000187;0;0.000623;0.000623;0;
01.633.741/0001-72;2024-03-01;1;2024-03-31;251;232;1;;;;;1;5;;;;3;9;;;59632942.54;59513921.38;508008;117.151543637108;0.000186;0;0.000572;0.000572;0;
01.636.325/0001-28;2024-01-01;2;2024-01-31;4;;4;;;;;;;;;;;;;;310549254.68;304413149.68;234900;1295.92656313325;6.8E-05;0;0.004066;0.004066;;
01.636.325/0001-28;2024-02-01;2;2024-02-29;4;;4;;;;;;;;;;;;;;309935202.9;304181953.9;234900;1294.94233248191;6.8E-05;0;-0.000759;-0.000759;;
01.636.325/0001-28;2024-03-01;1;2024-03-28;4;;4;;;;;;;;;;;;;;311356069.23;304903042.23;234900;1298.01209974457;6.8E-05;0;0.002371;0.002371;;
01.657.856/0001-05;2024-01-01;1;2024-01-31;4980;;;;;;;;;;;;;;;;51447063.88;49700553.2;4200000;11.833465047619;0.000363;0;0.000848;-0.002944;0.003792;0
01.657.856/0001-05;2024-02-01;1;2024-02-29;5038;;;;;;;;;;;;;;;;51241829.65;49708086.77;4200000;11.8352587547619;0.000365;0;0.000152;0.000152;0;0
01.657.856/0001-05;2024-03-01;1;2024-03-31;5037;5034;3;;;;;;;;;;;;;;51244119.9;49738952.94;4200000;11.8426078428571;0.000365;0;0.000621;0.000621;0;0
01.964.775/0001-40;2024-01-01;1;2024-01-31;6;;1;;;;;;5;;;;;;;;1602460.46;1597588.18;12583000;0.126964013351347;0.0006;0.0004;-0.1808;-0.1808;0;
01.964.775/0001-40;2024-02-01;1;2024-01-31;6;;1;;;;;;5;;;;;;;;1593654.78;1588854;12583000;0.126269887944052;0.0006;0.0004;-0.005;-0.005;0;
01.964.775/0001-40;2024-03-01;1;2024-03-31;6;;1;;;;;;5;;;;;;;;1591280.71;1586418.74;12583000;0.126076352221251;0.0006;0.0004;-0.0071;-0.005;-0.0021;
02.027.437/0001-44;2024-01-01;1;2024-01-31;12;;;;;;;;;;;;;;;;68131656.44;67738239.5;145000;467.160272413793;0.000495;0;0.00022;0.00022;0;
02.027.437/0001-44;2024-02-01;1;2024-02-29;12;;;;;;;;;;;;;;;;67867147.47;67480211.81;145000;465.380771103448;0.000505;0;-0.003809;-0.003809;0;
02.027.437/0001-44;2024-03-01;1;2024-03-31;12;10;2;;;;;;;;;;;;;;67649628.39;67226142.09;145000;463.628566137931;0.000507;0;-0.003765;-0.003765;0;
02.508.235/0001-14;2024-01-01;1;2024-01-31;4;;;;;;;;;;;;;;;;246681188.61;245197491.69;17100;14339.0346017544;0.000264;0;0.004664;-0.004363;0.009027;0
02.508.235/0001-14;2024-02-01;1;2024-02-29;4;;;;;;;;;;;;;;;;246426133.13;244274600.29;17100;14285.0643444444;0.000266;0;0.000769;-0.003764;0.004533;0
02.508.235/0001-14;2024-03-01;1;2024-03-31;4;4;;;;;;;;;;;;;;;246457974.2;245276250.98;17100;14343.6404081871;0.000265;0;0.008651;0.004101;0.00455;0
03.251.720/0001-18;2024-01-01;1;2024-01-31;904;889;9;0;0;0;1;0;2;0;0;0;3;0;0;0;265271941.93;256228378.89;750000;341.637839;5.9E-05;0;0.008096;0.004564;0.003532;0
03.251.720/0001-18;2024-02-01;1;2024-02-29;894;880;8;0;0;0;1;0;2;0;0;0;3;0;0;0;264977114.88;255584169.36;750000;340.778892;0.000383;0;-0.001375;-0.002514;0.001139;0
03.251.720/0001-18;2024-03-01;1;2024-03-28;889;875;8;0;0;0;1;0;2;0;0;0;3;0;0;0;264869029.61;255693192.87;750000;340.924257;0.000101;0;0.002904;0.000427;0.002477;0
03.507.519/0001-59;2024-01-01;1;2024-01-31;2417;;;;;;;;;;;;;;;;567389757.73;563688286.12;608950;925.672528319238;0.000157;0;0.005638;0.000988;0.00465;0
03.507.519/0001-59;2024-02-01;1;2024-02-29;2409;;;;;;;;;;;;;;;;566624744.67;562921837.47;608950;924.413888611545;0.000161;0;0.003285;-0.00136;0.004645;0
03.507.519/0001-59;2024-03-01;1;2024-03-31;2395;2372;16;;;;1;;;;;;4;2;;;567081449.19;563423040.34;608950;925.236949404713;0.000165;0;0.003757;-0.00089;0.004647;0
03.683.056/0001-86;2024-01-01;1;2024-01-31;31940;;;;;;;;;;;;;;;;868429321.84;758325511.3;3690695;205.469569092;0.000453;3E-06;0.00377;-0.000753;0.004523;0
03.683.056/0001-86;2024-02-01;1;2024-02-29;31940;;;;;;;;;;;;;;;;866966458.53;757500153.9;3690695;205.245937120244;0.001462;3E-06;0.003438;-0.001088;0.004526;0
