;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;LPA;VPA
665;VULC4;18.0;9.93;2.46;1.744;0,00%;1.771;3.39;9.19;4.16;9.34;7.88;18,97%;17,56%;3.83;22,94%;24,81%;0.0;1994990000.0;0.22;24,89%;1.81;7.31
666;TCSL4;7.82;9.95;0.83;1.105;0,00%;0.475;8.93;5.69;-2.2;5.61;2.18;19,44%;11,11%;1.34;9,67%;8,33%;0.0;22847800000.0;0.14;2,29%;0.79;9.44
667;PFRM3;5.67;9.97;0.56;0.081;6,80%;0.142;0.64;2.86;5.0;5.24;3.27;2,84%;0,90%;1.45;8,55%;5,64%;1168360.0;1248350000.0;0.62;16,59%;0.57;10.08
668;EKTR3;50.0;9.98;3.23;1.113;7,71%;0.892;19.18;4.61;-2.05;6.91;5.88;24,13%;11,16%;1.19;22,46%;32,38%;1804.05;2999000000.0;1.84;7,32%;5.01;15.48
669;SOND5;50.65;10.01;2.16;0.734;12,03%;1.291;3.8;3.36;6.21;2.66;2.46;21,84%;7,34%;2.25;55,07%;21,62%;880.63;57540000.0;0.0;30,70%;5.06;23.41
670;BBDC4;14.24;10.02;0.94;0.0;7,82%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;9,38%;724865000.0;161182000000.0;0.0;-10,28%;1.42;15.15
671;POMO4;7.3;10.16;2.34;1.241;5,37%;1.042;3.42;9.22;18.91;10.2;8.77;13,46%;12,13%;2.02;15,99%;23,02%;58531100.0;3545660000.0;0.68;13,73%;0.72;3.12
672;VITT3;7.72;10.17;1.76;1.461;2,86%;1.185;3.02;9.8;3.94;11.01;9.3;14,91%;14,17%;2.67;13,53%;17,27%;4652200.0;618428000.0;0.32;2,56%;0.76;4.40
673;RAPT4;11.81;10.19;1.4;0.357;4,93%;0.303;1.17;2.83;-2.53;4.64;3.84;12,60%;6,09%;1.81;15,68%;13,74%;21513100.0;2777780000.0;1.92;25,26%;1.16;8.43
674;ITUB4;34.75;10.2;1.87;0.0;6,85%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;18,29%;853939000.0;182505000000.0;0.0;50,81%;3.41;18.62
675;ENGI4;8.48;10.25;1.63;0.68;5,25%;0.285;10.46;3.11;-0.55;7.12;5.68;21,85%;9,05%;1.12;10,73%;15,92%;117900.0;11897500000.0;2.72;10,36%;0.83;5.20
676;MRSL3;3.3;10.25;0.99;0.883;0,00%;0.658;2.37;16.32;6.28;17.74;9.5;5,41%;8,69%;2.78;4,44%;9,63%;0.0;375151000.0;0.16;7,10%;0.32;3.34
677;BGIP3;27.4;10.27;0.73;0.0;7,95%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;7,10%;5724.32;668274000.0;0.0;0,40%;2.67;37.56
678;TRFO3;4.53;10.32;2.58;0.804;0,00%;1.039;4.65;5.52;7.37;5.12;5.12;14,58%;7,80%;1.43;27,63%;25,01%;0.0;76165000.0;0.26;16,47%;0.44;1.76
679;DMFN3;12.5;10.35;0.8;0.0;4,27%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;7,76%;30.49;14229000.0;0.0;18,90%;1.21;15.57
680;BESP3;330.0;10.38;2.47;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;23,77%;0.0;5183100000.0;0.0;1,83%;31.80;133.77
681;GRND3;6.55;10.41;1.61;2.428;21,18%;1.45;2.55;15.68;2.59;13.64;10.93;15,49%;23,33%;7.02;12,00%;15,51%;9728900.0;3659440000.0;0.03;6,22%;0.63;4.06
682;TCOC4;27.2;10.43;1.26;1.558;0,00%;0.915;2.65;10.14;3.07;7.89;7.89;15,37%;14,93%;2.53;13,98%;12,06%;0.0;2812920000.0;0.04;16,71%;2.61;21.63
683;TGMA3;28.79;10.47;2.28;1.2;5,94%;1.584;4.58;8.99;7.61;8.7;7.8;13,35%;11,49%;3.09;23,04%;21,72%;4965190.0;835170000.0;0.21;6,46%;2.75;12.65
684;VULC3;19.2;10.59;2.63;1.86;11,42%;1.889;3.62;9.81;4.44;9.95;8.4;18,97%;17,56%;3.83;22,94%;24,81%;25233800.0;1994990000.0;0.22;24,89%;1.81;7.31
685;TRFO4;4.7;10.7;2.68;0.835;0,00%;1.078;4.82;5.73;7.65;5.33;5.33;14,58%;7,80%;1.43;27,63%;25,01%;0.0;76165000.0;0.26;16,47%;0.44;1.76
686;SMLS3;22.4;10.78;4.09;4.212;0,00%;1.017;18.78;10.37;-6.72;10.13;9.06;40,62%;39,07%;1.1;10,69%;37,96%;0.0;679678000.0;0.0;-22,20%;2.08;5.47
687;BESP4;344.0;10.82;2.57;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;23,77%;0.0;5183100000.0;0.0;1,83%;31.80;133.77
688;BMIN4;16.3;10.82;0.59;0.0;8,59%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;5,48%;106297.0;132658000.0;0.0;26,61%;1.51;27.49
689;WIZC3;6.59;10.84;2.29;1.004;6,76%;0.459;-18.09;2.3;-1.28;2.52;2.01;43,65%;17,81%;0.9;24,37%;21,18%;2252270.0;459254000.0;0.77;11,69%;0.61;2.87
690;EVEN3;8.62;10.84;0.89;0.681;5,84%;0.244;0.44;9.05;1.45;10.01;9.52;7,52%;8,80%;3.51;3,20%;8,20%;9003530.0;1937970000.0;0.59;10,70%;0.79;9.69
691;BMGB4;3.84;10.94;0.57;0.0;9,78%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;5,21%;3910510.0;3925170000.0;0.0;-6,07%;0.35;6.73
692;GRNL4;470.0;11.09;1.07;7.231;0,00%;0.975;8.04;-64.72;15.01;-63.22;-63.22;-11,17%;65,19%;4.35;-1,65%;9,69%;0.0;93104000.0;0.05;21,48%;42.37;437.33
693;BRBI11;16.41;11.11;0.0;0.0;8,04%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;0,00%;4253980.0;0.0;0.0;-78,27%;1.48;0.00
694;ELUM3;36.0;11.12;1.5;0.94;0,00%;0.886;2.31;14.76;2.51;10.02;10.02;6,37%;8,46%;2.02;9,40%;13,47%;0.0;443231000.0;0.08;8,40%;3.24;24.05
695;RIPI3;48.01;11.23;-28.94;-7.449;0,00%;7.092;-59.55;-8.79;-16.76;-9.31;-9.31;84,70%;-66,31%;0.87;-99,10%;-257,61%;0.0;-49103000.0;-2.44;5,82%;4.27;-1.66
696;CZLT33;29.23;11.24;1.39;0.526;0,00%;0.145;1.87;3.1;-0.29;10.26;4.03;16,97%;9,14%;1.58;5,31%;12,36%;0.0;5691680000.0;3.93;7,88%;2.60;21.03
697;CYRE3;25.49;11.3;1.31;1.723;3,31%;0.599;1.76;13.04;31.77;15.95;15.38;13,21%;15,19%;2.93;5,54%;11,59%;106612000.0;7782360000.0;0.63;11,18%;2.26;19.47
698;RIPI4;48.5;11.35;-29.24;-7.525;0,00%;7.164;-60.16;-8.88;-16.93;-9.4;-9.4;84,70%;-66,31%;0.87;-99,10%;-257,61%;0.0;-49103000.0;-2.44;5,82%;4.27;-1.66
699;BPAC5;9.79;11.35;2.28;0.0;2,66%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;20,10%;82444.3;49381800000.0;0.0;31,37%;0.86;4.29
700;SANB3;13.42;11.35;1.17;0.0;5,72%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;10,32%;1470490.0;85913600000.0;0.0;-11,09%;1.18;11.46
701;CAML3;8.77;11.39;1.01;0.277;3,31%;0.297;1.17;6.48;-2.7;14.51;9.33;4,28%;2,43%;1.74;6,14%;8,87%;5356670.0;3038400000.0;1.74;20,13%;0.77;8.68
702;EBCO4;1.0;11.46;0.8;0.33;0,00%;0.351;50.21;8.51;-14.31;8.26;8.26;3,88%;2,90%;1.01;5,04%;7,00%;0.0;828097000.0;0.02;6,09%;0.09;1.25
703;BEEF3;6.92;11.51;6.69;0.152;7,96%;0.162;0.6;2.1;-0.44;6.57;5.22;7,27%;1,27%;1.87;15,88%;58,14%;64524700.0;627948000.0;30.93;16,36%;0.60;1.03
704;ECOR3;9.45;11.55;2.4;0.744;0,89%;0.253;-70.36;2.23;-0.37;6.89;5.42;33,32%;6,75%;0.98;13,98%;20,80%;23946700.0;2737990000.0;6.63;22,46%;0.82;3.93
705;PLPL3;13.79;11.58;4.72;1.507;4,82%;1.42;2.5;6.25;7.94;6.51;6.29;24,12%;13,26%;2.96;32,28%;40,72%;10206400.0;597321000.0;0.78;22,36%;1.19;2.92
706;TEMP3;4.15;11.64;4.92;0.98;0,00%;2.014;9.98;10.6;19.39;9.55;7.74;9,25%;8,42%;1.41;34,49%;42,27%;0.0;135736000.0;0.23;-13,11%;0.36;0.84
707;WEGE4;16.1;11.79;3.9;2.079;0,00%;2.146;6.53;9.22;8.53;8.64;7.96;22,55%;18,05%;1.92;32,98%;33,05%;0.0;17342100000.0;0.16;26,08%;1.37;4.13
708;NAFG3;64.37;11.8;2.76;1.102;0,00%;1.153;3.2;7.35;60.48;8.64;6.57;14,99%;9,28%;2.52;19,92%;23,42%;0.0;316392000.0;0.81;9,49%;5.46;23.30
709;NAFG4;64.42;11.81;2.76;1.103;0,00%;1.154;3.2;7.36;60.52;8.65;6.57;14,99%;9,28%;2.52;19,92%;23,42%;0.0;316392000.0;0.81;9,49%;5.46;23.30
