;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;LPA;VPA
761;PDTC3;2.78;14.29;1.44;0.597;0,00%;0.426;1.07;8.14;465.55;10.76;5.5;7,34%;4,18%;2.29;6,79%;10,10%;376337.0;152540000.0;0.86;27,09%;0.19;1.93
762;FIEI3;12.89;14.33;0.38;11.295;0,00%;0.317;-9.92;-4.3;-4.24;-3.8;-3.91;-262,92%;77,75%;0.73;-7,93%;2,63%;157.46;82854000.0;0.0;-37,98%;0.90;34.21
763;TNCP4;182.6;14.42;2.49;3.091;0,00%;1.696;52.65;11.85;-22.3;11.88;8.72;26,08%;21,44%;1.15;16,48%;17,29%;0.0;13081500000.0;0.09;97,79%;12.67;73.23
764;BPAC11;37.4;14.45;2.9;0.0;2,09%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;20,10%;277770000.0;49381800000.0;0.0;31,37%;2.59;12.88
765;AURA33;33.25;14.53;1.54;1.131;5,88%;0.526;2.68;4.65;-2.11;5.58;5.58;24,29%;7,78%;1.92;17,58%;10,62%;1757660.0;1524050000.0;1.06;21,36%;2.29;21.54
766;TNCP3;184.85;14.59;2.52;3.129;0,00%;1.717;53.3;12.0;-22.58;12.03;8.83;26,08%;21,44%;1.15;16,48%;17,29%;0.0;13081500000.0;0.09;97,79%;12.67;73.23
767;KSSA3;5.33;14.66;1.4;0.916;0,00%;0.406;1.72;5.62;6.73;12.3;12.3;16,31%;8,42%;1.47;7,67%;9,58%;0.0;553026000.0;1.8;40,68%;0.36;3.80
768;ELUM4;47.9;14.79;1.99;1.251;0,00%;1.178;3.07;19.64;3.34;14.9;14.9;6,37%;8,46%;2.02;9,40%;13,47%;0.0;443231000.0;0.08;8,40%;3.24;24.05
769;DMVF3;6.26;14.83;0.36;0.181;0,00%;0.205;4.91;7.61;-1.54;7.19;2.05;2,38%;1,22%;1.16;3,38%;2,45%;509384.0;870855000.0;0.03;13,42%;0.42;17.21
770;VVEO3;7.45;14.86;0.77;0.223;0,00%;0.241;0.79;3.93;-2.75;6.59;5.68;5,66%;1,50%;2.04;9,01%;5,17%;10785800.0;3129440000.0;1.06;39,59%;0.50;9.69
771;BSLI3;11.76;14.89;1.73;0.0;1,20%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;11,62%;9426.98;2467570000.0;0.0;1,89%;0.79;6.80
772;VIVT4;45.34;14.9;1.08;1.438;0,00%;0.621;-89.28;10.28;-2.35;12.25;4.32;13,99%;9,67%;0.96;6,74%;7,23%;0.0;69566800000.0;0.27;4,43%;3.04;42.10
773;TCOC3;38.85;14.9;1.8;2.225;0,00%;1.307;3.78;14.48;4.39;12.23;12.23;15,37%;14,93%;2.53;13,98%;12,06%;0.0;2812920000.0;0.04;16,71%;2.61;21.63
774;GMAT3;8.25;14.93;2.1;0.681;0,00%;1.114;2.97;12.81;6.54;14.54;11.64;5,31%;4,61%;2.45;11,83%;14,08%;39590800.0;8672270000.0;0.43;34,58%;0.55;3.93
775;RDCD3;35.16;15.07;14.74;7.936;0,00%;0.925;21.14;13.4;22.7;14.25;14.26;59,23%;52,65%;1.05;6,97%;97,78%;0.0;1605520000.0;1.04;12,16%;2.33;2.39
776;VAMO3;8.82;15.08;2.0;1.617;3,80%;0.507;3.43;4.65;-1.11;8.82;7.1;34,80%;10,72%;2.03;12,61%;13,24%;51044500.0;4878780000.0;2.13;63,64%;0.58;4.42
777;BOAS3;7.95;15.22;1.83;4.929;0,00%;1.699;3.34;25.6;3.54;18.69;8.52;19,25%;32,39%;12.37;12,76%;12,04%;0.0;2298770000.0;0.0;10,99%;0.52;4.34
778;USIM6;16.98;15.3;0.89;0.77;1,94%;0.53;1.71;32.55;4.93;32.41;12.35;2,36%;5,94%;3.25;2,07%;5,83%;301.22;23855600000.0;0.25;21,31%;1.11;19.04
779;TMGC13;966.14;15.31;1.96;1.406;0,00%;1.353;8.18;21.56;14.45;20.23;20.23;6,52%;9,18%;1.69;8,73%;12,83%;0.0;1167010000.0;0.05;10,49%;63.11;491.99
780;BEMA3;10.8;15.32;1.22;1.293;0,00%;0.808;3.18;14.34;11.45;14.43;8.11;9,01%;8,44%;2.66;6,96%;7,95%;0.0;457342000.0;0.19;10,58%;0.70;8.87
781;CRPG6;35.16;15.34;1.47;1.707;14,93%;1.089;2.0;71.68;2.56;65.01;22.7;2,38%;11,13%;4.8;1,79%;9,60%;29976.1;692919000.0;0.01;3,55%;2.29;23.88
782;CRPG5;35.27;15.38;1.48;1.713;14,88%;1.093;2.01;71.9;2.56;65.24;22.78;2,38%;11,13%;4.8;1,79%;9,60%;103545.0;692919000.0;0.01;3,55%;2.29;23.88
783;MDIA3;40.49;15.45;1.8;1.266;1,56%;1.112;4.19;11.54;14.24;11.45;8.76;10,97%;8,20%;2.35;13,48%;11,69%;28818600.0;7604690000.0;0.29;15,98%;2.62;22.43
784;MULT3;26.3;15.48;2.28;7.785;3,79%;1.37;27.08;11.04;-6.04;12.43;11.26;70,52%;50,28%;1.42;14,12%;14,72%;104164000.0;6933920000.0;0.46;14,92%;1.70;11.54
785;PTNT3;12.95;15.66;1.66;0.809;1,64%;0.751;2.47;13.52;14.9;15.95;9.56;5,99%;6,92%;2.5;7,50%;10,59%;14046.2;375241000.0;0.73;10,81%;0.83;7.81
786;ILMD3;29.0;15.73;2.63;0.683;0,00%;1.395;5.7;14.13;7.53;13.13;13.13;4,84%;4,92%;1.6;12,52%;16,69%;0.0;658715000.0;0.02;0,65%;1.84;11.04
787;TIMS3;18.52;15.8;1.72;1.881;4,91%;0.811;-30.32;9.27;-2.51;9.01;3.65;20,29%;11,91%;0.89;10,60%;10,91%;112174000.0;26015900000.0;0.14;8,90%;1.17;10.75
788;CRTP5;62.1;15.98;1.71;1.748;0,00%;1.127;3.98;14.09;5.88;12.48;12.48;12,40%;10,94%;2.14;12,36%;10,68%;0.0;1210570000.0;0.12;10,11%;3.89;36.37
789;BPAN4;8.8;16.07;1.38;0.0;2,45%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;8,57%;19351800.0;8107320000.0;0.0;14,11%;0.55;6.39
790;AFLT3;7.32;16.08;1.82;6.861;8,12%;1.594;12.03;15.33;23.71;15.24;15.14;44,75%;42,66%;3.3;10,69%;11,30%;4052.93;254149000.0;0.0;19,80%;0.46;4.03
791;OPCT3;5.9;16.09;1.5;0.715;0,00%;0.495;9.05;5.66;-1.31;10.1;4.61;12,64%;4,45%;1.23;10,34%;9,30%;4196040.0;788369000.0;1.5;36,71%;0.37;3.94
792;CRPG3;37.29;16.26;1.56;1.811;14,07%;1.155;2.12;76.02;2.71;69.36;24.22;2,38%;11,13%;4.8;1,79%;9,60%;755.76;692919000.0;0.01;3,55%;2.29;23.88
793;ILMD4;30.0;16.28;2.72;0.707;0,00%;1.443;5.89;14.62;7.79;13.62;13.62;4,84%;4,92%;1.6;12,52%;16,69%;0.0;658715000.0;0.02;0,65%;1.84;11.04
794;DURA4;31.39;16.35;2.22;2.182;0,00%;1.224;17.24;10.12;-10.49;11.47;11.47;21,56%;13,39%;1.27;14,38%;13,59%;0.0;1789980000.0;0.52;10,94%;1.92;14.13
795;CCRO3;14.0;16.59;2.27;1.494;1,38%;0.518;11.26;4.68;-0.93;8.56;6.79;31,93%;9,80%;1.3;13,08%;13,68%;93746800.0;12462200000.0;2.46;20,01%;0.84;6.17
796;DURA3;31.9;16.62;2.26;2.218;0,00%;1.244;17.52;10.29;-10.66;11.64;11.64;21,56%;13,39%;1.27;14,38%;13,59%;0.0;1789980000.0;0.52;10,94%;1.92;14.13
797;DPPI3;85.0;16.65;4.99;-1.453;0,00%;3.753;8.7;190.72;9.75;177.18;177.18;-0,76%;-5,04%;3.14;3,00%;29,97%;0.0;545227000.0;0.06;15,14%;5.11;17.04
798;TUPY4;48.21;17.06;2.13;0.613;0,00%;0.696;2.17;7.58;-11.68;10.04;7.23;8,08%;3,70%;2.1;12,30%;12,47%;0.0;3268350000.0;1.04;26,94%;2.83;22.67
799;VIVT3;52.01;17.09;1.24;1.65;3,86%;0.712;-102.42;11.79;-2.7;13.77;4.85;13,99%;9,67%;0.96;6,74%;7,23%;116028000.0;69566800000.0;0.27;4,43%;3.04;42.10
800;ARZZ3;61.5;17.09;2.35;1.408;3,14%;1.142;10.96;13.13;-51.81;13.77;9.64;10,73%;8,23%;1.27;11,84%;13,73%;162401000.0;2909550000.0;0.37;36,32%;3.60;26.21
801;TIMP3;13.46;17.13;1.43;1.903;0,00%;0.818;15.37;9.79;-3.78;9.72;3.77;19,44%;11,11%;1.34;9,67%;8,33%;0.0;22847800000.0;0.14;2,29%;0.79;9.44
802;BMTO4;7.57;17.27;2.07;0.0;0,00%;2.03;0.0;-2625.16;0.0;-2624.05;-1477.48;0,00%;0,00%;0.0;0,00%;12,00%;0.0;1046320000.0;0.0;0,00%;0.44;3.65
803;B3SA3;12.76;17.44;3.55;7.262;3,67%;1.458;10.77;13.74;-7.0;13.36;11.06;52,86%;41,65%;1.55;15,82%;20,38%;498941000.0;20273500000.0;0.69;9,45%;0.73;3.59
804;LREN3;16.91;17.49;1.67;1.216;4,25%;0.816;3.39;5.85;10.81;5.45;3.93;20,79%;6,95%;1.7;18,38%;9,54%;218479000.0;9765090000.0;0.22;13,69%;0.97;10.14
805;SBFG3;13.14;17.54;1.3;0.468;1,03%;0.389;1.81;6.85;-2.1;13.18;6.95;6,83%;2,66%;1.71;6,44%;7,42%;26341100.0;2461640000.0;1.27;35,71%;0.75;10.10
806;BMOB3;13.82;17.54;1.11;0.92;5,46%;0.863;1.85;12.38;1.96;6.87;4.22;7,43%;5,22%;3.35;12,86%;6,35%;3459990.0;1080030000.0;0.0;109,14%;0.79;12.41
807;BFIT4;0.93;17.55;1.96;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;11,15%;0.0;1849420000.0;0.0;35,67%;0.05;0.48
808;RRRP3;29.66;17.59;1.3;1.269;0,00%;0.354;11.34;5.43;-0.67;11.02;7.49;23,38%;7,57%;1.19;7,78%;7,38%;149732000.0;5492440000.0;1.69;194,63%;1.69;22.85
809;SBSP3;76.82;17.62;1.77;2.166;1,66%;0.889;-4193.2;10.21;-2.35;13.33;8.75;21,21%;12,29%;1.0;9,25%;10,07%;223834000.0;29593900000.0;0.64;7,89%;4.36;43.30
810;BMTO3;7.82;17.84;2.14;0.0;0,00%;2.097;0.0;-2711.85;0.0;-2710.74;-1526.3;0,00%;0,00%;0.0;0,00%;12,00%;0.0;1046320000.0;0.0;0,00%;0.44;3.65
811;UCOP4;6.5;18.01;1.3;19.05;0,00%;0.844;5.14;22.7;-8.61;24.17;41.56;83,92%;110,51%;13.37;3,91%;7,23%;0.0;972713000.0;0.16;9,25%;0.36;4.99
812;DESK3;14.05;18.18;1.29;1.761;0,14%;0.551;-23.1;5.37;-1.27;7.66;5.12;32,78%;10,89%;0.84;11,12%;7,08%;2385260.0;1260890000.0;0.68;44,75%;0.77;10.92
813;BFIT3;0.98;18.49;2.06;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;11,15%;0.0;1849420000.0;0.0;35,67%;0.05;0.48
814;TFCO4;13.25;18.5;5.12;3.095;1,33%;3.103;6.51;14.43;9.03;14.76;13.73;21,44%;16,73%;2.83;25,79%;27,66%;1539420.0;413633000.0;0.25;35,49%;0.72;2.59
815;TMCP3;56.0;18.58;1.38;1.525;0,00%;0.937;3.85;24.25;4.74;19.68;19.68;6,29%;9,75%;2.3;5,54%;7,44%;0.0;1798930000.0;0.03;10,49%;3.01;40.51
816;WHRL3;4.43;18.69;2.6;0.605;7,68%;0.701;11.15;10.02;-48.04;9.06;7.22;6,04%;3,26%;1.1;17,17%;13,92%;12753.2;2560310000.0;0.55;12,98%;0.24;1.70
817;GGPS3;18.01;18.84;4.06;1.139;1,44%;1.208;4.0;12.06;-7.78;12.83;10.37;9,44%;6,08%;2.23;13,22%;21,54%;31955000.0;2982270000.0;1.02;30,08%;0.96;4.44
818;IGTA3;33.13;18.85;1.58;5.563;0,00%;0.941;8.97;10.68;-5.89;12.54;9.69;52,08%;29,92%;1.76;10,98%;8,37%;0.0;3665250000.0;0.6;10,84%;1.76;21.01
819;SMLE3;92.82;18.88;21.91;6.635;0,00%;6.477;-124.0;16.5;-42.31;16.32;13.2;40,22%;35,14%;0.91;46,17%;116,04%;0.0;524731000.0;0.0;36,83%;4.92;4.24
820;SOMA3;7.37;18.92;0.76;1.108;1,38%;0.538;3.98;11.35;23.37;13.62;8.56;9,76%;5,86%;1.76;5,17%;4,00%;104848000.0;7637750000.0;0.17;59,59%;0.39;9.73
821;WHRL4;4.5;18.98;2.64;0.615;8,32%;0.713;11.33;10.18;-48.79;9.21;7.35;6,04%;3,26%;1.1;17,17%;13,92%;48030.2;2560310000.0;0.55;12,98%;0.24;1.70
822;FLRY3;14.86;19.19;1.6;1.257;2,93%;0.702;7.28;8.91;-2.22;12.54;7.21;14,11%;6,50%;1.66;9,10%;8,34%;43506300.0;5083450000.0;0.83;22,24%;0.77;9.29
823;CALI4;50.0;19.22;6.0;1.944;0,00%;0.852;132.23;31.23;-1.24;37.45;33.5;6,22%;10,11%;1.04;2,87%;31,19%;0.0;31030000.0;1.44;120,68%;2.60;8.34
824;TMCP4;58.2;19.31;1.44;1.585;0,00%;0.973;4.0;25.21;4.92;20.63;20.63;6,29%;9,75%;2.3;5,54%;7,44%;0.0;1798930000.0;0.03;10,49%;3.01;40.51
825;ENGI3;16.17;19.54;3.11;1.298;2,75%;0.544;19.94;5.94;-1.05;9.95;7.94;21,85%;9,05%;1.12;10,73%;15,92%;91787.4;11897500000.0;2.72;10,36%;0.83;5.20
826;VIVA3;31.81;19.63;4.0;3.66;1,14%;2.486;6.49;17.94;12.79;18.11;13.86;20,40%;18,65%;3.01;15,59%;20,40%;68222500.0;1876600000.0;0.15;29,26%;1.62;7.95
827;EZTC3;16.76;19.68;0.81;3.507;1,22%;0.634;1.76;65.56;2.58;65.88;47.29;5,35%;18,37%;5.19;1,13%;4,09%;29068500.0;4598390000.0;0.18;10,57%;0.85;20.81
828;PORT3;17.8;19.73;3.41;3.31;4,31%;1.359;-54.51;13.27;-2.95;17.43;11.73;24,94%;17,07%;0.85;10,90%;17,27%;6543640.0;2298890000.0;1.16;-14,64%;0.90;5.22
829;AUTM3;19.7;20.0;1.9;0.709;0,00%;0.547;4.08;6.78;-2.42;8.22;8.99;10,47%;4,31%;1.48;11,93%;9,50%;0.0;1304250000.0;0.97;28,21%;0.98;10.37
830;AEDU11;37.35;20.13;1.13;1.405;0,00%;0.732;5.77;13.93;-7.31;16.14;10.82;10,08%;6,98%;2.04;5,77%;5,60%;0.0;2415400000.0;0.3;20,90%;1.86;33.16
831;NUTR3;5.83;20.19;2.35;0.47;0,00%;0.733;2.2;12.31;1544.25;13.27;11.84;3,82%;2,33%;1.94;7,41%;11,63%;51646.6;32895000.0;0.26;34,78%;0.29;2.48
832;EQTL3;32.78;20.2;1.92;0.999;1,05%;0.381;9.91;4.55;-0.72;8.89;7.37;21,95%;7,06%;1.19;9,73%;9,51%;243525000.0;19573900000.0;2.31;23,05%;1.62;17.06
833;JPSA3;29.02;20.27;1.93;4.667;0,29%;0.468;2.34;12.96;-1.68;20.35;12.83;36,02%;46,31%;5.31;4,56%;9,51%;7666510.0;1762140000.0;1.94;1,01%;1.43;15.06
834;PNVL3;11.9;20.33;1.57;0.414;2,11%;0.607;2.47;12.21;-25.03;17.73;7.69;3,39%;2,04%;1.71;6,76%;7,73%;4178760.0;1139060000.0;0.94;14,47%;0.59;7.57
835;EMAE4;84.5;20.75;2.87;5.175;3,89%;1.496;4.09;64.99;-37.28;56.11;48.89;7,96%;24,94%;6.01;2,90%;13,82%;345087.0;1088490000.0;0.0;8,45%;4.07;29.46
836;LUXM4;15.79;20.75;2.72;2.404;0,94%;1.979;4826.17;13.02;-14.87;12.7;8.06;18,47%;11,58%;1.0;16,86%;13,10%;2341.46;120715000.0;0.03;4,08%;0.76;5.81
837;BPAC3;18.1;20.98;4.22;0.0;1,44%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;20,10%;95789.1;49381800000.0;0.0;31,37%;0.86;4.29
838;LAME4;6.55;20.99;1.89;0.476;0,00%;0.282;1.19;7.32;-4.32;11.24;5.46;6,51%;2,51%;1.72;6,53%;9,02%;0.0;6514640000.0;2.54;9,72%;0.31;3.46
839;LAME3;6.62;21.22;1.91;0.481;0,00%;0.285;1.2;7.4;-4.37;11.32;5.49;6,51%;2,51%;1.72;6,53%;9,02%;0.0;6514640000.0;2.54;9,72%;0.31;3.46
840;IGTI3;3.08;21.27;1.55;5.6;1,20%;0.832;6.22;10.82;-3.87;13.77;10.66;51,78%;26,70%;2.16;9,71%;7,29%;320706.0;4177320000.0;0.81;13,43%;0.14;1.99
841;CRTP3;86.5;22.26;2.38;2.435;0,00%;1.57;5.55;19.63;8.19;18.02;18.02;12,40%;10,94%;2.14;12,36%;10,68%;0.0;1210570000.0;0.12;10,11%;3.89;36.37
842;CSED3;4.78;22.33;1.21;0.785;4,92%;0.369;15.16;4.9;-0.78;5.35;3.09;16,00%;3,51%;1.12;9,09%;5,42%;2357440.0;1439560000.0;0.61;10,89%;0.21;3.95
843;BSCT6;2.58;22.49;2.04;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;9,05%;0.0;212960000.0;0.0;1,92%;0.11;1.27
844;RSIP4;0.44;22.7;1.32;0.875;0,00%;0.433;-10.98;9.53;-1.46;18.48;33.21;9,17%;3,85%;0.9;5,00%;5,80%;0.0;66914000.0;1.4;15,13%;0.02;0.33
845;RSIP3;0.44;22.7;1.32;0.875;0,00%;0.433;-10.98;9.53;-1.46;18.48;33.21;9,17%;3,85%;0.9;5,00%;5,80%;0.0;66914000.0;1.4;15,13%;0.02;0.33
846;MATD3;6.4;23.06;1.47;1.134;1,01%;0.473;2.98;5.77;-1.17;7.96;6.36;19,63%;5,90%;2.68;9,05%;6,38%;3337990.0;1662270000.0;0.77;40,24%;0.28;4.35
847;TVIT3;19.3;23.46;5.45;1.705;0,00%;2.424;175.42;16.02;-12.72;17.14;17.14;10,64%;7,27%;1.04;17,58%;23,24%;0.0;314984000.0;0.56;0,00%;0.82;3.54
848;TMGC3;1500.0;23.77;3.05;2.182;0,00%;2.101;12.7;33.47;22.43;32.14;32.14;6,52%;9,18%;1.69;8,73%;12,83%;0.0;1167010000.0;0.05;10,49%;63.11;491.99
849;POWE3;10.9;23.92;0.99;0.618;0,00%;0.378;6.57;17.61;-3.01;10.63;10.01;3,51%;2,59%;1.13;3,54%;4,13%;0.0;988330000.0;0.04;0,00%;0.46;11.02
850;IGTI11;24.25;23.92;1.74;6.299;1,07%;0.936;7.0;12.16;-4.36;15.12;11.71;51,78%;26,70%;2.16;9,71%;7,29%;67238100.0;4177320000.0;0.81;13,43%;1.01;13.90
851;BMGB11;33.6;23.94;1.25;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;5,21%;0.0;3925170000.0;0.0;-6,07%;1.40;26.92
852;TSEP4;29.01;23.97;1.3;1.282;0,00%;0.906;3.8;14.82;4.43;12.29;12.29;8,65%;5,35%;1.88;9,10%;5,43%;0.0;2047020000.0;0.0;4,50%;1.21;22.29
853;ONCO3;10.0;24.05;2.38;1.001;0,00%;0.613;6.05;6.85;-1.61;10.76;8.24;14,62%;6,12%;1.48;10,69%;9,90%;26602300.0;2215000000.0;1.63;44,83%;0.42;4.20
854;ELEK3;19.11;24.46;2.66;0.619;0,34%;1.067;3.75;52.11;-110.34;65.77;26.15;1,19%;2,53%;1.94;2,52%;10,87%;0.0;226327000.0;0.99;5,69%;0.78;7.19
855;MAGS3;62.45;24.49;3.13;2.217;0,00%;2.12;4.9;15.02;6.65;14.19;14.19;14,76%;8,91%;3.06;18,74%;12,78%;0.0;848546000.0;0.13;10,05%;2.55;19.94
856;STBP3;11.52;24.74;4.54;5.14;3,83%;2.17;43.65;17.11;-6.54;16.86;12.29;30,04%;20,77%;1.35;14,93%;18,36%;48141300.0;2191630000.0;0.19;23,95%;0.47;2.54
857;CRUZ3;27.59;25.31;22.46;6.614;0,00%;7.185;62.03;20.74;124.93;20.75;19.27;31,89%;26,13%;1.19;46,80%;88,76%;0.0;1877350000.0;0.63;3,04%;1.09;1.23
858;ELCA4;20.2;25.71;10.6;2.643;0,00%;1.542;30.67;10.14;-3.11;12.47;10.52;26,05%;14,24%;1.21;17,75%;41,22%;0.0;4022100000.0;3.09;10,75%;0.79;1.91
859;TNLP4;20.36;25.96;0.71;0.344;0,00%;0.125;1.29;3.4;-0.33;9.07;9.07;10,12%;-0,07%;1.48;4,58%;2,72%;0.0;13736000000.0;2.02;15,39%;0.78;28.82
860;HGTX4;9.6;26.11;0.92;1.07;0,00%;0.635;1.92;27.1;2.54;28.0;11.15;3,95%;4,10%;2.47;3,00%;3,51%;0.0;1704940000.0;0.12;-4,62%;0.37;10.49
861;TOTS3;31.2;26.21;4.08;4.282;1,41%;2.181;7.53;11.97;213.7;11.11;9.45;35,76%;17,00%;2.9;29,01%;15,57%;118159000.0;4720570000.0;0.37;18,96%;1.19;7.65
862;AMBV4;86.8;26.59;8.74;8.027;0,00%;5.253;144.02;20.54;-37.72;20.36;18.35;39,08%;30,76%;1.18;32,43%;32,88%;0.0;31105700000.0;0.1;21,73%;3.26;9.93
863;AMBV3;87.0;26.65;8.76;8.045;0,00%;5.266;144.35;20.59;-37.8;20.41;18.39;39,08%;30,76%;1.18;32,43%;32,88%;0.0;31105700000.0;0.1;21,73%;3.26;9.93
864;RPSA4;4.9;27.33;1.55;5.697;0,00%;0.805;5.09;107.53;-4.5;137.55;137.55;5,30%;20,85%;2.09;0,85%;5,69%;0.0;1167980000.0;0.61;-14,23%;0.18;3.15
865;ARML3;13.39;27.5;3.82;3.731;1,77%;1.169;6.86;10.9;-3.04;14.23;10.05;34,23%;13,57%;2.22;14,84%;13,89%;7525290.0;1213290000.0;1.82;184,64%;0.49;3.51
866;WEGE3;38.02;27.84;9.2;4.91;1,81%;5.067;15.43;21.77;20.15;21.19;19.52;22,55%;18,05%;1.92;32,98%;33,05%;209737000.0;17342100000.0;0.16;26,08%;1.37;4.13
867;ASAI3;14.7;27.99;4.29;0.299;0,34%;0.46;-10.99;4.34;-0.83;6.46;4.89;6,89%;1,07%;0.89;17,88%;15,33%;140806000.0;4630000000.0;3.28;22,03%;0.53;3.42
868;SEBB11;23.27;28.01;6.44;2.214;0,00%;5.279;24.65;23.96;28.94;23.73;23.73;9,24%;7,40%;2.44;24,15%;23,01%;0.0;145783000.0;0.01;50,04%;0.83;3.61
869;CPLE5;21.99;29.04;2.75;3.054;1,86%;1.175;14.89;17.89;-3.66;20.43;14.84;17,07%;10,83%;1.47;7,64%;9,46%;2295.51;23886200000.0;0.63;7,48%;0.76;8.01
870;CEGR3;68.0;29.58;12.71;3.152;1,54%;3.895;118.6;16.42;-9.14;17.07;14.99;19,20%;10,66%;1.14;30,63%;42,97%;510.54;1389170000.0;0.88;9,99%;2.30;5.35
871;BSCT5;3.5;30.51;2.76;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;9,05%;0.0;212960000.0;0.0;1,92%;0.11;1.27
872;ELET3;43.39;31.27;0.88;2.841;0,51%;0.362;3.69;9.54;-0.95;13.27;9.88;29,78%;8,58%;1.88;4,33%;2,83%;273449000.0;113118000000.0;0.63;19,38%;1.39;49.03
873;ELCA3;24.7;31.44;12.96;3.231;0,00%;1.885;37.5;12.4;-3.81;14.73;12.42;26,05%;14,24%;1.21;17,75%;41,22%;0.0;4022100000.0;3.09;10,75%;0.79;1.91
874;PNVL4;18.62;31.81;2.46;0.647;0,00%;0.951;3.87;19.1;-39.17;24.62;10.68;3,39%;2,04%;1.71;6,76%;7,73%;0.0;1139060000.0;0.94;14,47%;0.59;7.57
875;RENT3;54.5;32.24;2.29;2.014;2,70%;0.719;-89.2;9.87;-1.54;15.0;8.41;20,41%;6,24%;0.96;9,55%;7,11%;416758000.0;25388900000.0;1.6;30,07%;1.69;23.77
876;BRGE6;12.85;32.28;0.71;266.203;6,36%;0.317;0.83;-1.36;1.61;0.93;0.94;-19.636,90%;1.381,29%;3.06;-50,03%;2,21%;12332.5;1324180000.0;0.0;-45,61%;0.40;17.98
877;MOSI3;8.24;32.29;1.56;4.761;0,00%;1.453;1.89;89.69;1.9;42.98;24.91;5,31%;14,75%;13.3;8,12%;4,82%;0.0;670337000.0;0.0;0,00%;0.26;5.30
878;SMFT3;25.2;32.68;3.13;6.978;1,80%;1.12;13.4;34.25;-2.96;35.87;10.11;20,37%;21,52%;1.47;4,26%;9,59%;44856300.0;4713060000.0;0.74;9,81%;0.77;8.04
879;CREM3;14.5;32.69;2.45;0.685;0,00%;0.67;4.89;8.52;-5.41;12.04;7.07;8,05%;2,10%;1.29;11,36%;7,50%;0.0;189701000.0;1.58;-0,27%;0.44;5.91
880;BRGE7;13.07;32.83;0.73;270.76;3,65%;0.322;0.84;-1.38;1.63;0.9;0.92;-19.636,90%;1.381,29%;3.06;-50,03%;2,21%;773.15;1324180000.0;0.0;-45,61%;0.40;17.98
881;TSEP3;40.0;33.05;1.79;1.768;0,00%;1.25;5.24;20.44;6.11;17.91;17.91;8,65%;5,35%;1.88;9,10%;5,43%;0.0;2047020000.0;0.0;4,50%;1.21;22.29
882;BRGE8;13.17;33.08;0.73;272.832;2,59%;0.324;0.85;-1.39;1.65;0.89;0.91;-19.636,90%;1.381,29%;3.06;-50,03%;2,21%;5591.83;1324180000.0;0.0;-45,61%;0.40;17.98
883;BRGE5;13.18;33.11;0.73;273.039;0,00%;0.325;0.85;-1.39;1.65;0.89;0.91;-19.636,90%;1.381,29%;3.06;-50,03%;2,21%;839.9;1324180000.0;0.0;-45,61%;0.40;17.98
884;JOPA3;21.2;33.12;0.39;0.106;3,88%;0.095;0.25;2.55;1.54;9.24;7.88;4,14%;0,65%;2.07;5,64%;1,19%;3215.83;570576000.0;2.19;16,28%;0.64;53.92
885;ELEK4;26.0;33.27;3.62;0.842;0,25%;1.452;5.1;70.89;-150.12;84.56;33.61;1,19%;2,53%;1.94;2,52%;10,87%;0.0;226327000.0;0.99;5,69%;0.78;7.19
886;BRGE3;13.43;33.74;0.75;278.218;0,00%;0.331;0.87;-1.42;1.68;0.87;0.88;-19.636,90%;1.381,29%;3.06;-50,03%;2,21%;17385.7;1324180000.0;0.0;-45,61%;0.40;17.98
887;BRGE12;13.59;34.14;0.76;281.533;0,00%;0.335;0.88;-1.43;1.7;0.85;0.86;-19.636,90%;1.381,29%;3.06;-50,03%;2,21%;3576.76;1324180000.0;0.0;-45,61%;0.40;17.98
888;RDOR3;25.37;34.58;2.55;1.432;1,46%;0.606;2.06;11.55;-2.14;11.96;8.79;12,40%;4,39%;2.7;8,02%;7,37%;104714000.0;22773400000.0;1.48;41,75%;0.73;9.95
889;LIPR3;68.01;34.85;3.71;0.0;3,63%;3.515;12.64;-183.73;13.49;-169.81;-169.81;0,00%;0,00%;9.02;-2,61%;10,64%;989.83;215774000.0;0.0;0,00%;1.95;18.34
