Date,Open,High,Low,Close,Volume,u_bb,bb_m,l_bb,atr
2007-08-01,16.25173391796195,16.76551628112793,16.21928482044208,16.76551628112793,38200,17.69778739506759,16.503215169906618,15.308642944745646,0.7658061023722451
2007-08-02,17.19816947728904,17.19816947728904,16.657346524776326,17.03592300415039,56100,17.462620949660195,16.624900102615356,15.787179255570516,0.7545569448792685
2007-08-03,17.035925436938292,17.035925436938292,16.49510240719422,16.98725128173828,15400,17.405307262551013,16.693314266204833,15.981321269858654,0.7438702491225087
2007-08-06,16.95480594052317,16.981846685378688,16.230102837781644,16.37612533569336,47900,17.395799784647448,16.70088586807251,16.005971951497575,0.7445341588642151
2007-08-07,16.765511527894034,17.144088007268103,16.224688575381325,17.03592300415039,105500,17.420364195433372,16.738472938537598,16.056581681641823,0.7532774225153432
2007-08-08,17.035926161989764,18.25277803070332,17.035926161989764,18.171653747558594,185800,17.735021379465387,16.825004673004152,15.914987966542917,0.7764563027172224
2007-08-09,17.117048918027404,18.38798326152893,17.117048918027404,18.220327377319336,59500,17.992841208719874,16.9058575630188,15.818873917317722,0.8011802047564377
2007-08-10,17.06837234383275,18.08511905565337,17.03592325503473,17.73899269104004,48200,18.078649323434043,16.981843090057374,15.885036856680705,0.820341400632846
2007-08-13,18.11756992340088,18.8206393884102,17.63082841366122,17.847158432006836,207600,18.17137484047025,17.058910369873047,15.946445899275844,0.8388148793386527
2007-08-14,18.38257386208705,18.38257386208705,17.30633523208816,17.684911727905273,7200,18.23648240485749,17.11326322555542,15.990044046253352,0.8506860668716646
2007-08-15,17.576745956663103,17.982363171047634,16.441017550078826,17.03592300415039,6900,18.23158876059445,17.137600326538085,16.043611892481717,0.8852190445765219
2007-08-16,15.954278962365512,17.30092814760773,14.602221423181994,15.683867454528809,148900,18.340534033581022,17.08351788520813,15.82650173683524,0.9758934285689825
2007-08-17,17.30092814760773,17.30092814760773,14.158746715375885,15.683867454528809,135600,18.41869613464372,17.021864128112792,15.625032121581865,1.0842078287521257
2007-08-20,16.008361487317753,16.008361487317753,14.180379114730291,15.413455963134766,123100,18.44997994245551,16.913699531555174,15.377419120654839,1.1213965559438925
2007-08-21,15.548658796719142,15.678456172455038,14.948345031345005,15.143041610717773,82200,18.527282055210257,16.81364698410034,15.100011912990427,1.1018322852021996
2007-08-22,15.143038938866455,15.575696781647574,14.872627529243841,15.034873962402344,358800,18.582393544819446,16.70953826904297,14.836682993266493,1.0818941335622763
2007-08-23,14.878041927924784,15.137636739097458,14.331810534704314,14.818551063537598,184700,18.666919698317116,16.62030234336853,14.573684988419943,1.0680907371038195
2007-08-24,14.60222038911108,15.521619863262892,14.38589140446888,15.51621150970459,172600,18.681572114189766,16.58487825393677,14.488184393683772,1.071472623188329
2007-08-27,15.521619325949601,15.954277280256642,15.462128470405657,15.656825065612793,32800,18.667941853105948,16.53349995613098,14.399058059156015,1.0425064325214617
2007-08-28,15.224167908200066,15.656826946007664,15.224167908200066,15.575702667236328,37200,18.640976537059927,16.47130513191223,14.301633726764535,1.0120140627857683
2007-08-29,15.618970547555241,15.618970547555241,15.413458225097415,15.467540740966797,40900,18.61430652287568,16.406406354904174,14.198506186932669,0.9716889757693714
2007-08-30,15.683864659434969,15.792029655908284,15.629782161198312,15.67845630645752,68600,18.548311290716818,16.338533020019533,14.12875474932225,0.9393289727279772
2007-08-31,15.667642622510863,16.062444213712133,15.278250416868273,15.575702667236328,191900,18.480512992740223,16.267955589294434,14.055398185848645,0.9315722139337712
2007-09-03,15.629782812521475,15.683865313011854,14.661710283049072,15.521618843078613,117100,18.460665796954153,16.225230264663697,13.98979473237324,0.9361013547352218
2007-09-04,15.629782812521475,15.683865313011854,14.661710283049072,15.521618843078613,117300,18.37253330013629,16.149515056610106,13.92649681308392,0.9404040384965999
2007-09-05,15.137636710878041,15.413456584061608,14.661712891282018,15.08896255493164,55400,18.057885189297384,15.99538049697876,13.932875804660135,0.9363791341615997
2007-09-06,15.435086614179905,15.467535700511972,14.980795279379546,15.132225036621094,46500,17.66237363152192,15.840975379943847,14.019577128365775,0.913897198510141
2007-09-10,14.499468703870388,14.872636974982496,13.790990649529224,14.33181381225586,126500,17.384215775571644,15.67061643600464,13.957017096437633,0.9352640579392274
2007-09-11,14.710385389077775,15.034878350092901,14.43997390053986,14.704977035522461,43700,16.954588396366052,15.51350736618042,14.072426335994788,0.9236540819341179
2007-09-12,14.710385389077775,15.034878350092901,14.43997390053986,14.704977035522461,43700,16.448788873779325,15.364510631561279,14.280232389343231,0.9072166003150641
2007-09-13,14.980801207979708,14.980801207979708,14.066809823691743,14.494059562683105,394800,16.076382153506774,15.237417459487915,14.398452765469056,0.9075553395137093
2007-09-14,14.088439457283078,14.759060919304286,14.088439457283078,14.575181007385254,38700,16.04187720357942,15.181983137130738,14.322089070682054,0.895708645639084
2007-09-17,14.710388067403871,14.710388067403871,13.899153454088323,14.548140525817871,25400,15.994962716977005,15.12519679069519,14.255430864413375,0.8914849440229073
2007-09-18,14.84018397378443,14.84018397378443,14.115481043672535,14.596813201904297,229100,15.972645512389017,15.084364652633667,14.196083792878317,0.8831458433273568
2007-09-19,14.840182677902964,14.840182677902964,14.115479811073918,14.629261016845703,229200,15.968147143989993,15.058675622940063,14.149204101890133,0.8752236945024414
2007-09-20,14.60222068607078,15.14304367444377,14.60222068607078,15.040287017822266,26000,15.968392524227102,15.05894627571106,14.149500027195018,0.8585036591959689
2007-09-21,15.386412334933732,15.386412334933732,14.872630153383525,15.143041610717773,114400,15.978440403607237,15.075170803070069,14.1719012025329,0.8412675853136807
2007-09-24,14.980798566247042,15.326924980498696,14.980798566247042,15.08896255493164,183600,15.934265745591295,15.053808355331421,14.173350965071547,0.8165105267605794
2007-09-25,14.926712616974294,15.143041576038707,14.710383657909881,14.87263011932373,116500,15.852986870691407,15.014598608016968,14.176210345342529,0.7973178963289917
2007-09-26,14.926712616974294,15.143041576038707,14.710383657909881,14.87263011932373,116500,15.778829260061372,14.979444980621338,14.180060701181304,0.7790848974189835
2007-09-27,14.980799674987793,15.305292696595659,14.634672203580891,14.980799674987793,199900,15.722570584621543,14.955107927322388,14.187645270023232,0.7736616771987727
2007-09-28,15.137636804783531,15.137636804783531,14.634671211242678,14.634671211242676,102000,15.605765326805358,14.902918672561645,14.200072018317933,0.7601268730158768
2007-10-01,14.926712370717645,14.926712370717645,14.602218421705514,14.710383415222168,249700,15.494784152788542,14.859652709960937,14.224521267133332,0.7383452268156895
2007-10-02,14.710382581488817,15.088957974265112,14.54813510040946,14.975385665893555,185300,15.393987945483273,14.832341051101684,14.270694156720095,0.7284691091676876
2007-10-03,14.710382581488817,15.088957974265112,14.54813510040946,14.975385665893555,185300,15.275704550490206,14.805029392242432,14.334354233994658,0.7190867974020858
