datetime;DIRR3_open;DIRR3_high;DIRR3_low;DIRR3_close;DIRR3_volume;BRAP4_open;BRAP4_high;BRAP4_low;BRAP4_close;BRAP4_volume;POMO4_open;POMO4_high;POMO4_low;POMO4_close;POMO4_volume;LOGG3_open;LOGG3_high;LOGG3_low;LOGG3_close;LOGG3_volume;CMIG4_open;CMIG4_high;CMIG4_low;CMIG4_close;CMIG4_volume;CYRE3_open;CYRE3_high;CYRE3_low;CYRE3_close;CYRE3_volume;SHUL4_open;SHUL4_high;SHUL4_low;SHUL4_close;SHUL4_volume;CSUD3_open;CSUD3_high;CSUD3_low;CSUD3_close;CSUD3_volume;ITSA3_open;ITSA3_high;ITSA3_low;ITSA3_close;ITSA3_volume;TRIS3_open;TRIS3_high;TRIS3_low;TRIS3_close;TRIS3_volume
2025-12-23 10:00:00;13,51;14,01;13,44;14,01;8781900,0;20,59;20,85;20,3;20,3;9048200,0;5,8909091;5,97272728;5,82727273;5,91818182;10288189,98971181;22,8;23,77;22,8;23,53;629200,0;11,0;11,23;10,94;11,15;11931900,0;29,2;29,82;28,96;29,55;4242800,0;5,14;5,23;5,14;5,23;181200,0;17,45;17,52;16,9;17,19;159500,0;11,77;11,9;11,7;11,8;101500,0;6,42;6,62;6,42;6,59;371000,0
2025-12-26 10:00:00;13,94;14,07;13,77;14,03;3659600,0;20,3;20,49;20,25;20,49;2029300,0;5,92;6,07;5,91;6,02;9532500,0;23,53;23,93;23,27;23,93;315000,0;11,0;11,2;10,99;11,12;9211600,0;29,35;29,63;29,17;29,63;2016000,0;5,23;5,24;5,14;5,22;294000,0;17,19;17,35;17,05;17,15;129200,0;11,92;11,94;11,73;11,94;121100,0;6,59;6,62;6,45;6,5;519600,0
2025-12-29 10:00:00;14,0;14,01;13,67;13,83;7662300,0;20,59;20,61;19,96;20,0;2676200,0;6,04;6,05;5,99;6,01;7328300,0;23,96;24,35;23,86;24,21;313300,0;11,1;11,15;11,02;11,08;10899900,0;29,45;29,54;28,9;28,99;3501800,0;5,03;5,08;4,97;5,05;294500,0;17,05;17,37;16,98;17,1;46400,0;11,87;11,95;11,8;11,9;182000,0;6,18;6,28;6,01;6,12;680700,0
2025-12-30 10:00:00;13,88;14,27;13,84;14,12;8914300,0;20,11;20,22;19,89;19,9;2983900,0;6,04;6,07;5,97;5,97;5229900,0;24,36;24,46;23,9;24,2;258400,0;11,15;11,3;11,15;11,2;9433900,0;29,09;29,96;29,07;29,62;5838000,0;5,01;5,09;4,98;5,05;324500,0;17,01;17,55;16,9;16,95;130200,0;11,96;12,1;11,95;11,99;1159700,0;6,12;6,3;6,11;6,26;258300,0
2026-01-02 10:00:00;14,15;14,23;13,52;13,63;10710200,0;19,9;20,08;19,86;20,08;2851300,0;6,0;6,03;5,87;5,88;10710300,0;24,45;25,35;24,27;25,35;700400,0;11,22;11,28;11,15;11,16;12023400,0;25,21;25,95;23,94;23,96;5777400,0;5,1;5,1;4,92;4,92;438000,0;16,95;17,15;16,89;16,89;75800,0;12,0;12,18;11,97;12,11;206100,0;6,3;6,34;6,1;6,15;479900,0
