"Ticker","Nome","Negócios","Última (R$)","Variação"
"RECV3","PetroRecôncavo","2.278.300","23,35","+3,59%"
"FLRY3","Fleury","2.175.700","15,88","-0,13%"
"ARZZ3","Arezzo","2.056.600","58,78","+0,26%"
"KLBN4","Klabin","1.928.400","4,32","+0,23%"
"RAPT4","Randon","1.872.600","10,72","+0,94%"
"MLAS3","Multilaser","1.871.200","1,91","+2,14%"
"VVEO3","Viveo","1.856.800","7,95","+0,51%"
"LJQQ3","Lojas Quero-Quero","1.852.600","4,77","+1,49%"
"AESB3","AES Brasil","1.797.700","10,35","+0,88%"
"GUAR3","Guararapes","1.674.000","5,02","+3,72%"
"ECOR3","EcoRodovias","1.665.500","9,01","-1,31%"
"TTEN3","3tentos","1.663.200","9,63","-1,43%"
"NEOE3","Neoenergia","1.659.700","21,18","+2,12%"
"EGIE3","Engie","1.625.600","40,76","-0,27%"
"CASH3","Méliuz","1.616.300","7,05","-1,40%"
"PGMN3","Pague Menos","1.580.500","2,91","+2,46%"
"GGPS3","GPS","1.571.400","18,29","-0,38%"
"ESPA3","Espaçolaser","1.556.700","0,98","+4,26%"
"USIM3","Usiminas","1.495.500","9,95","+4,19%"
"AZEV4","Azevedo & Travassos","1.355.900","1,53","+0,66%"
"TRPL4","Transmissão Paulista","1.321.600","26,33","-0,68%"
"IRBR3","IRB Brasil RE","1.306.300","40,51","+1,27%"
"GRND3","Grendene","1.302.800","6,45","+0,94%"
"BMGB4","Banco BMG","1.275.900","3,83","-0,26%"
"MTRE3","Mitre Realty","1.271.900","4,87","+1,46%"
"VIVA3","Vivara","1.226.800","32,05","+0,50%"
"CURY3","Cury","1.218.300","17,98","+0,00%"
"SMFT3","Smart Fit","1.155.500","24,40","-0,81%"
"DIRR3","Direcional","1.147.400","22,10","+1,42%"
"MYPK3","Iochpe-Maxion","1.125.700","12,25","+3,03%"
"RCSL4","Recrusul","1.062.800","0,71","+1,43%"
"CSMG3","COPASA","1.027.400","21,79","+0,55%"
"PLPL3","Plano&Plano","966.100","12,10","+5,58%"
"CSED3","Cruzeiro do Sul Educacional","962.700","4,15","+5,60%"
"CPFE3","CPFL Energia","962.200","35,86","-0,61%"
"ELET6","Eletrobras","938.200","46,84","-0,59%"
"TRAD3","Traders Club","883.300","0,74","+4,23%"
"VULC3","Vulcabras","838.100","18,13","+2,14%"
"KEPL3","Kepler Weber","764.400","9,34","+0,54%"
"MBLY3","Mobly","761.800","2,18","+3,32%"
"MILS3","Mills","758.900","11,93","-0,58%"
"VITT3","Vittia","745.300","8,17","+3,16%"
"OPCT3","OceanPact","739.500","5,43","+0,93%"
"ODPV3","Odontoprev","717.500","13,20","+0,00%"
"ABCB4","Banco ABC Brasil","716.000","24,75","+1,14%"
"CAML3","Camil Alimentos","697.800","8,83","-0,11%"
"FESA4","Ferbasa","694.700","9,51","+1,93%"
"MEAL3","IMC Alimentação","681.600","1,83","+1,67%"
"HBOR3","Helbor","651.500","2,64","-1,49%"
"EVEN3","Even","630.900","7,57","+1,20%"
"INTB3","Intelbras","626.900","19,68","-0,10%"
"MDIA3","M. Dias Branco","603.900","39,05","+0,00%"
"POSI3","Positivo","600.300","7,17","-0,69%"
"PDGR3","PDG Realty","598.200","0,34","-2,86%"
"BRSR6","Banrisul","589.800","14,92","+0,00%"
"CLSA3","ClearSale","581.700","3,90","-1,76%"
"BRIT3","Brisanet","579.900","2,87","-0,69%"
"RANI3","Irani","575.700","10,22","+0,99%"
"SGPS3","Springs","570.800","1,01","-1,94%"
"LIGT3","Light","502.800","5,50","+2,80%"
"DESK3","Desktop","486.900","13,09","+0,23%"
"AMBP3","Ambipar","485.700","14,18","+1,36%"
"RNEW4","Renova Energia","473.400","1,34","+3,08%"
"LAVV3","Lavvi Incorporadora","471.500","7,76","+2,11%"
"PTBL3","Portobello","463.600","5,85","+0,86%"
"JALL3","Jalles Machado","454.500","7,47","-0,66%"
"NGRD3","Neogrid","445.300","1,08","+0,93%"
"HBRE3","HBR Realty","445.100","4,82","+1,47%"
"VLID3","Valid","416.500","19,59","+2,35%"
"KLBN3","Klabin","393.500","4,34","+0,93%"
"TRIS3","Trisul","383.700","4,34","+1,64%"
"ARML3","Armac","382.700","13,61","-0,37%"
"PINE4","PINE","363.000","4,43","+5,98%"
"SRNA3","SRNA3","361.400","10,04","+1,21%"
"LEVE3","Mahle Metal Leve","360.200","33,45","+1,15%"
"TAEE4","Taesa","357.200","11,97","-0,42%"
"SHOW3","Time For Fun","351.700","2,03","-2,87%"
"ENJU3","Enjoei","337.500","1,55","+3,33%"
"AZEV3","Azevedo & Travassos","334.400","1,53","+0,00%"
"MATD3","Mater Dei","332.900","6,63","+1,69%"
"JSLG3","JSL","331.100","10,75","+0,37%"
"ORVR3","Orizon","324.200","33,08","+0,49%"
"AMAR3","Lojas Marisa","322.200","2,72","+1,12%"
"PORT3","Wilson Sons","316.000","16,84","+0,00%"
"WIZC3","Wiz Soluções","315.900","6,26","+1,62%"
"ITUB3","Itaú Unibanco","311.800","29,73","+0,61%"
"TUPY3","Tupy","287.300","25,26","+1,04%"
"AGXY3","AgroGalaxy","286.000","1,84","+1,66%"
"AGRO3","BrasilAgro","270.100","23,98","+1,70%"
"POMO3","Marcopolo","254.500","6,42","+1,26%"
"MDNE3","Moura Dubeux","252.300","10,98","+1,86%"
"SOJA3","Boa Safra Sementes","240.400","15,57","+2,77%"
"SHUL4","Schulz","233.500","6,43","+0,31%"
"SAPR3","Sanepar","223.100","5,10","+1,39%"
"BLAU3","Blau Farmacêutica","219.000","12,22","+3,12%"
"TASA4","Taurus","215.900","14,33","+0,63%"
