SMLL - Carteira do Dia 15/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
LJQQ3;QUERO-QUERO;ON      NM;179.429.429;0,351;
RAPT4;RANDON PART;PN      N1;176.608.769;0,754;
ROMI3;ROMI;ON      NM;45.071.574;0,198;
SAPR11;SANEPAR;UNT     N2;201.081.482;1,933;
STBP3;SANTOS BRP;ON      NM;857.415.274;2,536;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;1,407;
SEQL3;SEQUOIA LOG;ON      NM;190.811.427;0,027;
SEER3;SER EDUCA;ON      NM;52.255.107;0,140;
SRNA3;SERENA;ON      NM;334.702.211;1,081;
SIMH3;SIMPAR;ON      NM;227.674.814;0,701;
SLCE3;SLC AGRICOLA;ON  EB  NM;203.648.730;1,238;
SMFT3;SMART FIT;ON  EJ  NM;307.405.718;2,558;
TAEE11;TAESA;UNT     N2;218.568.234;2,645;
TASA4;TAURUS ARMAS;PN      N2;68.454.123;0,335;
TGMA3;TEGMA;ON      NM;32.001.379;0,282;
TEND3;TENDA;ON      NM;118.249.595;0,577;
TRIS3;TRISUL;ON      NM;71.441.396;0,137;
TUPY3;TUPY;ON      NM;67.461.415;0,585;
UNIP6;UNIPAR;PNB;45.770.287;1,143;
USIM5;USIMINAS;PNA     N1;515.117.391;1,471;
VLID3;VALID;ON  EJ  NM;77.300.098;0,533;
VIVA3;VIVARA S.A.;ON      NM;107.725.671;1,187;
VULC3;VULCABRAS;ON      NM;73.322.347;0,499;
WIZC3;WIZ CO;ON      NM;75.273.443;0,177;
YDUQ3;YDUQS PART;ON      NM;289.347.914;2,182;
ZAMP3;ZAMP S.A.;ON      NM;264.114.225;0,563;
Quantidade Teórica Total;;;26.042.098.789;100,000
Redutor;;;130.933.362,22145895
