,Ticker,FM,Tipo,Mod.,A/I/OTM,Strike,Distância % do Strike,Prêmio como % da última cotação,Último,Número de Negócios,Volume Negociado,Data/Hora,Vol. Implícita,Delta,Gamma,Theta,Vega,ativo
28,BBDCL176,,CALL,E,OTM,17.5,28.11,0.15,0.02,2.0,212.0,05/11/2024,,,,,,BBDC4
29,BBDCL20,,CALL,A,OTM,17.75,29.94,0.15,0.02,1.0,2.0,07/11/2024,,,,,,BBDC4
30,BBDCL181,,CALL,E,OTM,18.0,31.77,0.07,0.01,2.0,51.0,07/11/2024,,,,,,BBDC4
31,BBDCL184,,CALL,A,OTM,18.25,33.6,0.07,0.01,10.0,1787.0,06/11/2024,,,,,,BBDC4
32,BBDCL186,,CALL,E,OTM,18.5,35.43,0.07,0.01,2.0,100.0,06/11/2024,,,,,,BBDC4
33,BBDCL189,,CALL,A,OTM,18.75,37.26,0.07,0.01,8.0,353.0,04/11/2024,,,,,,BBDC4
34,BBDCL191,,CALL,E,OTM,19.0,39.09,0.15,0.02,1.0,20.0,01/11/2024,,,,,,BBDC4
35,BBDCL194,,CALL,A,OTM,19.25,40.92,0.15,0.02,5.0,4174.0,30/10/2024,,,,,,BBDC4
36,BBDCL196,,CALL,E,OTM,19.5,42.75,0.15,0.02,3.0,240.0,29/10/2024,,,,,,BBDC4
37,BBDCL199,,CALL,A,OTM,19.75,44.58,0.15,0.02,1.0,100.0,29/10/2024,,,,,,BBDC4
38,BBDCL201,,CALL,E,OTM,20.0,46.41,0.15,0.02,1.0,100.0,30/10/2024,,,,,,BBDC4
39,BBDCL204,,CALL,A,OTM,20.25,48.24,0.15,0.02,1.0,100.0,24/10/2024,,,,,,BBDC4
40,BBDCL206,,CALL,E,OTM,20.5,50.07,0.15,0.02,1.0,40.0,23/10/2024,,,,,,BBDC4
41,BBDCL209,,CALL,A,OTM,20.75,51.9,0.15,0.02,1.0,100.0,17/10/2024,,,,,,BBDC4
42,BBDCL211,,CALL,E,OTM,21.0,53.73,,,,,,,,,,,BBDC4
43,BBDCL214,,CALL,A,OTM,21.25,55.56,,,,,,,,,,,BBDC4
44,BBDCL216,,CALL,E,OTM,21.5,57.39,,,,,,,,,,,BBDC4
45,BBDCL219,,CALL,A,OTM,21.75,59.22,0.07,0.01,1.0,10.0,31/10/2024,,,,,,BBDC4
46,BBDCL224,,CALL,A,OTM,22.25,62.88,,,,,,,,,,,BBDC4
47,BBDCL22,,CALL,E,OTM,22.5,64.71,,,,,,,,,,,BBDC4
48,BBDCL229,,CALL,A,OTM,22.75,66.54,,,,,,,,,,,BBDC4
49,BBDCL234,,CALL,A,OTM,23.25,70.2,,,,,,,,,,,BBDC4
50,BBDCL239,,CALL,A,OTM,23.75,73.87,,,,,,,,,,,BBDC4
51,BBDCL244,,CALL,A,OTM,24.25,77.53,,,,,,,,,,,BBDC4
52,BBDCL249,,CALL,A,OTM,24.75,81.19,,,,,,,,,,,BBDC4
53,BBDCL254,,CALL,A,OTM,25.25,84.85,,,,,,,,,,,BBDC4
54,BBDCL259,,CALL,A,OTM,25.75,88.51,,,,,,,,,,,BBDC4
55,BBDCL262,,CALL,E,OTM,26.0,90.34,0.07,0.01,1.0,10.0,26/08/2024,,,,,,BBDC4
56,BBDCL264,,CALL,A,OTM,26.25,92.17,,,,,,,,,,,BBDC4
57,BBDCL269,,CALL,A,OTM,26.75,95.83,,,,,,,,,,,BBDC4
58,BBDCL274,,CALL,A,OTM,27.25,99.49,,,,,,,,,,,BBDC4
0,BBDCA81,,CALL,A,ITM,8.19,-40.04,,,,,,,,,,,BBDC4
1,BBDCA83,,CALL,A,ITM,8.39,-38.58,,,,,,,,,,,BBDC4
2,BBDCA880,,CALL,A,ITM,8.59,-37.12,46.71,6.38,1.0,638.0,11/10/2024,,,,,,BBDC4
3,BBDCA87,,CALL,A,ITM,8.79,-35.65,,,,,,,,,,,BBDC4
4,BBDCA89,,CALL,A,ITM,8.99,-34.19,,,,,,,,,,,BBDC4
5,BBDCA940,,CALL,A,ITM,9.19,-32.72,43.27,5.91,1.0,591.0,27/09/2024,,,,,,BBDC4
6,BBDCA93,,CALL,A,ITM,9.39,-31.26,,,,,,,,,,,BBDC4
7,BBDCA95,,CALL,A,ITM,9.59,-29.8,,,,,,,,,,,BBDC4
8,BBDCA969,,CALL,A,ITM,9.69,-29.06,,,,,,,,,,,BBDC4
9,BBDCA104,,CALL,A,ITM,9.79,-28.33,39.53,5.4,1.0,540.0,03/10/2024,,,,,,BBDC4
10,BBDCA103,,CALL,A,ITM,10.29,-24.67,,,,,,,,,,,BBDC4
11,BBDCA114,,CALL,A,ITM,10.79,-21.01,33.67,4.6,3.0,1345.0,15/08/2024,,,,,,BBDC4
12,BBDCA110,,CALL,E,ITM,11.04,-19.18,,,,,,,,,,,BBDC4
13,BBDCA11,,CALL,A,ITM,11.29,-17.35,,,,,,,,,,,BBDC4
14,BBDCA116,,CALL,E,ITM,11.54,-15.52,,,,,,,,,,,BBDC4
15,BBDCM160,,PUT,E,ITM,15.79,15.59,14.06,1.92,4.0,16195.0,06/11/2024,,,,,,BBDC4
16,BBDCM162,,PUT,E,ITM,16.04,17.42,15.01,2.05,2.0,10705.0,06/11/2024,,,,,,BBDC4
17,BBDCM169,,PUT,E,ITM,16.29,19.25,17.72,2.42,2.0,3166.0,07/11/2024,,,,,,BBDC4
18,BBDCM167,,PUT,E,ITM,16.54,21.08,16.4,2.24,6.0,1288.0,04/11/2024,,,,,,BBDC4
19,BBDCM170,,PUT,E,ITM,16.79,22.91,20.13,2.75,4.0,2212.0,07/11/2024,,,,,,BBDC4
20,BBDCM172,,PUT,E,ITM,17.04,24.74,23.06,3.15,4.0,6293.0,06/11/2024,,,,,,BBDC4
21,BBDCM175,,PUT,E,ITM,17.29,26.57,20.35,2.78,2.0,558.0,01/11/2024,,,,,,BBDC4
22,BBDCM177,,PUT,E,ITM,17.54,28.4,16.84,2.3,12.0,2816.0,30/10/2024,,,,,,BBDC4
23,BBDCM18,,PUT,E,ITM,17.79,30.23,25.62,3.5,1.0,700.0,07/11/2024,,,,,,BBDC4
24,BBDCM179,,PUT,E,ITM,18.04,32.06,21.45,2.93,3.0,204680.0,25/10/2024,,,,,,BBDC4
25,BBDCM183,,PUT,E,ITM,18.29,33.89,,,,,,,,,,,BBDC4
26,BBDCM184,,PUT,E,ITM,18.54,35.72,22.55,3.08,2.0,412560.0,24/10/2024,,,,,,BBDC4
27,BBDCM190,,PUT,E,ITM,18.79,37.55,23.28,3.18,4.0,1295.0,24/10/2024,,,,,,BBDC4
28,BBDCM19,,PUT,E,ITM,19.04,39.39,,,,,,,,,,,BBDC4
29,BBDCM193,,PUT,E,ITM,19.29,41.22,26.5,3.62,1.0,1448000.0,21/10/2024,,,,,,BBDC4
30,BBDCM195,,PUT,E,ITM,19.54,43.05,,,,,,,,,,,BBDC4
31,BBDCM198,,PUT,E,ITM,19.79,44.88,,,,,,,,,,,BBDC4
32,BBDCM199,,PUT,E,ITM,20.04,46.71,,,,,,,,,,,BBDC4
33,BBDCM205,,PUT,E,ITM,20.29,48.54,,,,,,,,,,,BBDC4
34,BBDCM204,,PUT,E,ITM,20.54,50.37,,,,,,,,,,,BBDC4
35,BBDCM210,,PUT,E,ITM,20.79,52.2,49.71,6.79,3.0,8837.0,07/11/2024,,,,,,BBDC4
36,BBDCM213,,PUT,E,ITM,21.29,55.86,,,,,,,,,,,BBDC4
37,BBDCM22,,PUT,E,ITM,21.79,59.52,51.24,7.0,1.0,1400.0,04/11/2024,,,,,,BBDC4
38,BBDCM223,,PUT,E,ITM,22.29,63.18,,,,,,,,,,,BBDC4
39,BBDCM228,,PUT,E,ITM,22.79,66.84,,,,,,,,,,,BBDC4
40,BBDCM233,,PUT,E,ITM,23.29,70.5,,,,,,,,,,,BBDC4
41,BBDCM238,,PUT,E,ITM,23.79,74.16,,,,,,,,,,,BBDC4
42,BBDCM241,,PUT,E,ITM,24.29,77.82,,,,,,,,,,,BBDC4
43,BBDCM246,,PUT,E,ITM,24.79,81.48,,,,,,,,,,,BBDC4
0,BBDCA124,,CALL,A,ITM,11.79,-13.69,27.45,3.75,47.0,171375.0,07/10/2024,,,,,,BBDC4
1,BBDCA119,,CALL,E,ITM,12.04,-11.86,,,,,,,,,,,BBDC4
2,BBDCA129,,CALL,A,ITM,12.29,-10.03,12.01,1.64,3.0,26630.0,07/11/2024,,,,,,BBDC4
3,BBDCA127,,CALL,E,ITM,12.54,-8.2,11.35,1.55,1.0,1705.0,07/11/2024,,,,,,BBDC4
4,BBDCA128,,CALL,A,ITM,12.79,-6.37,,,,,,,,,,,BBDC4
5,BBDCM147,,PUT,E,ITM,14.54,6.44,6.59,0.9,12.0,7808.0,07/11/2024,,,,,,BBDC4
6,BBDCM150,,PUT,E,ITM,14.79,8.27,7.69,1.05,5.0,589.0,07/11/2024,,,,,,BBDC4
7,BBDCM751,,PUT,E,ITM,15.04,10.1,9.3,1.27,7.0,7520.0,07/11/2024,,,,,,BBDC4
8,BBDCM155,,PUT,E,ITM,15.29,11.93,11.2,1.53,5.0,7817.0,07/11/2024,,,,,,BBDC4
9,BBDCM161,,PUT,E,ITM,15.54,13.76,12.01,1.64,3.0,8477.0,06/11/2024,,,,,,BBDC4
0,BBDCA130,,CALL,E,ITM,13.04,-4.54,,,,,,,,,,,BBDC4
1,BBDCM130,,PUT,E,OTM,13.04,-4.54,,,,,,,,,,,BBDC4
2,BBDCA135,✔,CALL,A,ITM,13.29,-2.71,7.39,1.01,3.0,4055.0,06/11/2024,,,,,,BBDC4
3,BBDCM135,✔,PUT,E,OTM,13.29,-2.71,1.9,0.26,27.0,4584.0,07/11/2024,,,,,,BBDC4
4,BBDCA141,,CALL,E,ATM,13.54,-0.88,5.12,0.7,13.0,10096.0,07/11/2024,,,,,,BBDC4
5,BBDCM141,,PUT,E,ATM,13.54,-0.88,2.64,0.36,61.0,10272.0,07/11/2024,,,,,,BBDC4
6,BBDCA144,✔,CALL,A,ATM,13.79,0.95,5.05,0.69,11.0,17719.0,07/11/2024,,,,,,BBDC4
7,BBDCM144,✔,PUT,E,ATM,13.79,0.95,3.37,0.46,72.0,10010.0,07/11/2024,,,,,,BBDC4
8,BBDCA14,,CALL,E,OTM,14.04,2.78,,,,,,,,,,,BBDC4
9,BBDCM14,,PUT,E,ITM,14.04,2.78,,,,,,,,,,,BBDC4
10,BBDCA145,✔,CALL,A,OTM,14.29,4.61,2.42,0.33,11.0,9502.0,07/11/2024,,,,,,BBDC4
11,BBDCM145,,PUT,E,ITM,14.29,4.61,5.34,0.73,59.0,51449.0,07/11/2024,,,,,,BBDC4
0,BBDCM124,,PUT,E,OTM,11.79,-13.69,0.37,0.05,2.0,150.0,06/11/2024,,,,,,BBDC4
1,BBDCM119,,PUT,E,OTM,12.04,-11.86,,,,,,,,,,,BBDC4
2,BBDCM129,,PUT,E,OTM,12.29,-10.03,0.59,0.08,6.0,153.0,07/11/2024,,,,,,BBDC4
3,BBDCM127,,PUT,E,OTM,12.54,-8.2,0.88,0.12,15.0,661.0,07/11/2024,,,,,,BBDC4
4,BBDCM128,✔,PUT,E,OTM,12.79,-6.37,,,,,,,,,,,BBDC4
5,BBDCA147,,CALL,E,OTM,14.54,6.44,2.05,0.28,1.0,28.0,07/11/2024,,,,,,BBDC4
6,BBDCA150,✔,CALL,A,OTM,14.79,8.27,1.46,0.2,17.0,1100012.0,07/11/2024,,,,,,BBDC4
7,BBDCA751,,CALL,E,OTM,15.04,10.1,1.02,0.14,15.0,1687.0,07/11/2024,,,,,,BBDC4
8,BBDCA155,,CALL,A,OTM,15.29,11.93,0.88,0.12,17.0,484.0,07/11/2024,,,,,,BBDC4
9,BBDCA161,,CALL,E,OTM,15.54,13.76,0.66,0.09,2.0,18.0,07/11/2024,,,,,,BBDC4
0,BBDCM81,,PUT,E,OTM,8.19,-40.04,,,,,,,,,,,BBDC4
1,BBDCM83,,PUT,E,OTM,8.39,-38.58,,,,,,,,,,,BBDC4
2,BBDCM880,,PUT,E,OTM,8.59,-37.12,0.07,0.01,1.0,1.0,06/11/2024,,,,,,BBDC4
3,BBDCM87,,PUT,E,OTM,8.79,-35.65,,,,,,,,,,,BBDC4
4,BBDCM89,,PUT,E,OTM,8.99,-34.19,,,,,,,,,,,BBDC4
5,BBDCM940,,PUT,E,OTM,9.19,-32.72,,,,,,,,,,,BBDC4
6,BBDCM93,,PUT,E,OTM,9.39,-31.26,,,,,,,,,,,BBDC4
7,BBDCM95,,PUT,E,OTM,9.59,-29.8,,,,,,,,,,,BBDC4
8,BBDCM969,,PUT,E,OTM,9.69,-29.06,,,,,,,,,,,BBDC4
9,BBDCM104,,PUT,E,OTM,9.79,-28.33,0.07,0.01,2.0,15.0,07/11/2024,,,,,,BBDC4
10,BBDCM103,,PUT,E,OTM,10.29,-24.67,,,,,,,,,,,BBDC4
11,BBDCM114,,PUT,E,OTM,10.79,-21.01,0.15,0.02,2.0,20.0,05/11/2024,,,,,,BBDC4
12,BBDCM110,,PUT,E,OTM,11.04,-19.18,,,,,,,,,,,BBDC4
13,BBDCM11,,PUT,E,OTM,11.29,-17.35,0.22,0.03,2.0,30.0,28/10/2024,,,,,,BBDC4
14,BBDCM116,,PUT,E,OTM,11.54,-15.52,,,,,,,,,,,BBDC4
15,BBDCA160,,CALL,A,OTM,15.79,15.59,0.51,0.07,5.0,8109.0,07/11/2024,,,,,,BBDC4
16,BBDCA162,,CALL,E,OTM,16.04,17.42,0.51,0.07,1.0,7.0,07/11/2024,,,,,,BBDC4
17,BBDCA169,,CALL,A,OTM,16.29,19.25,0.37,0.05,4.0,50.0,07/11/2024,,,,,,BBDC4
18,BBDCA167,,CALL,E,OTM,16.54,21.08,0.29,0.04,2.0,12.0,07/11/2024,,,,,,BBDC4
19,BBDCA170,,CALL,A,OTM,16.79,22.91,0.37,0.05,2.0,130.0,05/11/2024,,,,,,BBDC4
20,BBDCA172,,CALL,E,OTM,17.04,24.74,0.22,0.03,1.0,6.0,07/11/2024,,,,,,BBDC4
21,BBDCA175,,CALL,A,OTM,17.29,26.57,0.22,0.03,1.0,6.0,06/11/2024,,,,,,BBDC4
22,BBDCA177,,CALL,E,OTM,17.54,28.4,0.07,0.01,1.0,6.0,07/11/2024,,,,,,BBDC4
23,BBDCA18,,CALL,A,OTM,17.79,30.23,,,,,,,,,,,BBDC4
24,BBDCA179,,CALL,E,OTM,18.04,32.06,0.44,0.06,1.0,18.0,05/11/2024,,,,,,BBDC4
25,BBDCA183,,CALL,A,OTM,18.29,33.89,,,,,,,,,,,BBDC4
26,BBDCA184,,CALL,E,OTM,18.54,35.72,0.15,0.02,1.0,300.0,07/11/2024,,,,,,BBDC4
27,BBDCA190,,CALL,A,OTM,18.79,37.55,0.51,0.07,2.0,560.0,23/10/2024,,,,,,BBDC4
28,BBDCA19,,CALL,E,OTM,19.04,39.39,,,,,,,,,,,BBDC4
29,BBDCA193,,CALL,A,OTM,19.29,41.22,0.15,0.02,1.0,2.0,31/10/2024,,,,,,BBDC4
30,BBDCA195,,CALL,E,OTM,19.54,43.05,,,,,,,,,,,BBDC4
31,BBDCA198,,CALL,A,OTM,19.79,44.88,,,,,,,,,,,BBDC4
32,BBDCA199,,CALL,E,OTM,20.04,46.71,,,,,,,,,,,BBDC4
33,BBDCA205,,CALL,A,OTM,20.29,48.54,,,,,,,,,,,BBDC4
34,BBDCA204,,CALL,E,OTM,20.54,50.37,,,,,,,,,,,BBDC4
35,BBDCA210,,CALL,A,OTM,20.79,52.2,0.15,0.02,1.0,60.0,30/10/2024,,,,,,BBDC4
36,BBDCA213,,CALL,A,OTM,21.29,55.86,,,,,,,,,,,BBDC4
37,BBDCA22,,CALL,A,OTM,21.79,59.52,,,,,,,,,,,BBDC4
38,BBDCA223,,CALL,A,OTM,22.29,63.18,,,,,,,,,,,BBDC4
39,BBDCA228,,CALL,A,OTM,22.79,66.84,,,,,,,,,,,BBDC4
40,BBDCA233,,CALL,A,OTM,23.29,70.5,,,,,,,,,,,BBDC4
41,BBDCA238,,CALL,A,OTM,23.79,74.16,,,,,,,,,,,BBDC4
42,BBDCA241,,CALL,A,OTM,24.29,77.82,,,,,,,,,,,BBDC4
43,BBDCA246,,CALL,A,OTM,24.79,81.48,,,,,,,,,,,BBDC4
0,BBDCB948,,CALL,E,ITM,7.79,-42.97,56.08,7.66,1.0,9192.0,24/10/2024,,,,,,BBDC4
1,BBDCB901,,CALL,E,ITM,8.99,-34.19,,,,,,,,,,,BBDC4
2,BBDCB921,,CALL,E,ITM,9.19,-32.72,,,,,,,,,,,BBDC4
3,BBDCB104,,CALL,A,ITM,9.79,-28.33,41.51,5.67,1.0,2268.0,24/10/2024,,,,,,BBDC4
4,BBDCB114,,CALL,A,ITM,10.79,-21.01,,,,,,,,,,,BBDC4
5,BBDCB115,,CALL,E,ITM,11.54,-15.52,,,,,,,,,,,BBDC4
6,BBDCN160,,PUT,E,ITM,15.79,15.59,13.76,1.88,12.0,2125.0,07/11/2024,,,,,,BBDC4
7,BBDCN159,,PUT,E,ITM,16.04,17.42,14.86,2.03,2.0,2840.0,07/11/2024,,,,,,BBDC4
8,BBDCN180,,PUT,E,ITM,16.29,19.25,13.98,1.91,2.0,382.0,04/11/2024,,,,,,BBDC4
9,BBDCN165,,PUT,E,ITM,16.54,21.08,16.11,2.2,1.0,8800.0,07/11/2024,,,,,,BBDC4
10,BBDCN170,,PUT,E,ITM,16.79,22.91,13.84,1.89,4.0,758.0,31/10/2024,,,,,,BBDC4
11,BBDCN17,,PUT,E,ITM,17.04,24.74,18.3,2.5,1.0,250.0,01/11/2024,,,,,,BBDC4
12,BBDCN19,,PUT,E,ITM,17.29,26.57,20.2,2.76,3.0,2828750.0,04/11/2024,,,,,,BBDC4
13,BBDCN176,,PUT,E,ITM,17.79,30.23,22.99,3.14,1.0,150092.0,07/11/2024,,,,,,BBDC4
14,BBDCN200,,PUT,E,ITM,18.29,33.89,26.72,3.65,4.0,1449.0,04/11/2024,,,,,,BBDC4
15,BBDCN189,,PUT,E,ITM,18.79,37.55,18.3,2.5,1.0,25000.0,12/09/2024,,,,,,BBDC4
16,BBDCN198,,PUT,E,ITM,19.79,44.88,,,,,,,,,,,BBDC4
17,BBDCN207,,PUT,E,ITM,20.54,50.37,40.34,5.51,4.0,27549.0,25/09/2024,,,,,,BBDC4
18,BBDCN213,,PUT,E,ITM,21.29,55.86,,,,,,,,,,,BBDC4
19,BBDCN233,,PUT,E,ITM,23.29,70.5,64.42,8.8,2.0,28132.0,07/11/2024,,,,,,BBDC4
0,BBDCB124,,CALL,A,ITM,11.79,-13.69,18.52,2.53,1.0,7590.0,05/11/2024,,,,,,BBDC4
1,BBDCB123,,CALL,A,ITM,12.29,-10.03,19.03,2.6,2.0,8581.0,31/10/2024,,,,,,BBDC4
2,BBDCB125,,CALL,E,ITM,12.54,-8.2,12.15,1.66,1.0,1826.0,07/11/2024,,,,,,BBDC4
3,BBDCB144,,CALL,A,ITM,12.79,-6.37,21.96,3.0,1.0,300.0,28/10/2024,,,,,,BBDC4
4,BBDCN147,,PUT,E,ITM,14.54,6.44,6.95,0.95,102.0,130232.0,07/11/2024,,,,,,BBDC4
5,BBDCN150,,PUT,E,ITM,14.79,8.27,8.93,1.22,6.0,5636.0,07/11/2024,,,,,,BBDC4
6,BBDCN153,,PUT,E,ITM,15.29,11.93,10.98,1.5,5.0,889.0,07/11/2024,,,,,,BBDC4
0,BBDCB135,,CALL,A,ITM,13.29,-2.71,7.98,1.09,5.0,28013.0,06/11/2024,,,,,,BBDC4
1,BBDCN135,,PUT,E,OTM,13.29,-2.71,2.78,0.38,33.0,3809.0,07/11/2024,,,,,,BBDC4
2,BBDCB14,,CALL,A,ATM,13.79,0.95,6.88,0.94,2.0,2068.0,06/11/2024,,,,,,BBDC4
3,BBDCN14,,PUT,E,ATM,13.79,0.95,4.25,0.58,4.0,274.0,07/11/2024,,,,,,BBDC4
0,BBDCN124,,PUT,E,OTM,11.79,-13.69,0.81,0.11,8.0,431.0,06/11/2024,,,,,,BBDC4
1,BBDCN123,,PUT,E,OTM,12.29,-10.03,1.02,0.14,4.0,341.0,07/11/2024,,,,,,BBDC4
2,BBDCN125,,PUT,E,OTM,12.54,-8.2,3.66,0.5,1.0,100000.0,06/11/2024,,,,,,BBDC4
3,BBDCN144,,PUT,E,OTM,12.79,-6.37,1.61,0.22,6.0,2012.0,07/11/2024,,,,,,BBDC4
4,BBDCB147,,CALL,E,OTM,14.54,6.44,3.37,0.46,7.0,1348.0,07/11/2024,,,,,,BBDC4
5,BBDCB150,,CALL,A,OTM,14.79,8.27,2.86,0.39,3.0,1285.0,07/11/2024,,,,,,BBDC4
6,BBDCB153,,CALL,A,OTM,15.29,11.93,1.83,0.25,6.0,838.0,07/11/2024,,,,,,BBDC4
0,BBDCN948,,PUT,E,OTM,7.79,-42.97,0.07,0.01,1.0,12.0,01/10/2024,,,,,,BBDC4
1,BBDCN901,,PUT,E,OTM,8.99,-34.19,,,,,,,,,,,BBDC4
2,BBDCN921,,PUT,E,OTM,9.19,-32.72,,,,,,,,,,,BBDC4
3,BBDCN104,,PUT,E,OTM,9.79,-28.33,0.15,0.02,1.0,2.0,07/11/2024,,,,,,BBDC4
4,BBDCN114,,PUT,E,OTM,10.79,-21.01,0.15,0.02,2.0,7.0,05/11/2024,,,,,,BBDC4
5,BBDCN115,,PUT,E,OTM,11.54,-15.52,3.59,0.49,1.0,178850.0,04/11/2024,,,,,,BBDC4
6,BBDCB160,,CALL,E,OTM,15.79,15.59,1.32,0.18,2.0,378.0,06/11/2024,,,,,,BBDC4
7,BBDCB159,,CALL,E,OTM,16.04,17.42,1.17,0.16,3.0,336.0,07/11/2024,,,,,,BBDC4
8,BBDCB180,,CALL,A,OTM,16.29,19.25,1.1,0.15,3.0,310.0,06/11/2024,,,,,,BBDC4
9,BBDCB165,,CALL,E,OTM,16.54,21.08,0.73,0.1,2.0,22.0,07/11/2024,,,,,,BBDC4
10,BBDCB170,,CALL,A,OTM,16.79,22.91,0.66,0.09,2.0,270.0,07/11/2024,,,,,,BBDC4
11,BBDCB17,,CALL,E,OTM,17.04,24.74,0.59,0.08,1.0,8.0,07/11/2024,,,,,,BBDC4
12,BBDCB19,,CALL,A,OTM,17.29,26.57,0.81,0.11,1.0,121.0,01/11/2024,,,,,,BBDC4
13,BBDCB176,,CALL,A,OTM,17.79,30.23,,,,,,,,,,,BBDC4
14,BBDCB200,,CALL,A,OTM,18.29,33.89,0.29,0.04,1.0,4.0,07/11/2024,,,,,,BBDC4
15,BBDCB189,,CALL,A,OTM,18.79,37.55,1.1,0.15,1.0,15.0,31/10/2024,,,,,,BBDC4
16,BBDCB198,,CALL,A,OTM,19.79,44.88,,,,,,,,,,,BBDC4
17,BBDCB207,,CALL,E,OTM,20.54,50.37,0.15,0.02,1.0,200.0,06/11/2024,,,,,,BBDC4
18,BBDCB213,,CALL,A,OTM,21.29,55.86,,,,,,,,,,,BBDC4
19,BBDCB233,,CALL,A,OTM,23.29,70.5,,,,,,,,,,,BBDC4
0,BBDCC780,,CALL,E,ITM,6.13,-55.12,59.3,8.1,1.0,810.0,04/11/2024,,,,,,BBDC4
1,BBDCC800,,CALL,E,ITM,6.33,-53.66,65.89,9.0,2.0,3600.0,17/10/2024,,,,,,BBDC4
2,BBDCC820,,CALL,E,ITM,6.53,-52.2,57.1,7.8,3.0,6240.0,01/11/2024,,,,,,BBDC4
3,BBDCC114,,CALL,E,ITM,11.38,-16.69,,,,,,,,,,,BBDC4
4,BBDCO161,,PUT,E,ITM,16.13,18.08,,,,,,,,,,,BBDC4
5,BBDCO166,,PUT,E,ITM,16.38,19.91,,,,,,,,,,,BBDC4
6,BBDCO169,,PUT,E,ITM,16.88,23.57,,,,,,,,,,,BBDC4
7,BBDCO174,,PUT,E,ITM,17.38,27.23,19.55,2.67,10.0,21887.0,01/11/2024,,,,,,BBDC4
8,BBDCO194,,PUT,E,ITM,19.38,41.87,24.16,3.3,1.0,16500.0,17/10/2024,,,,,,BBDC4
9,BBDCO268,,PUT,E,ITM,26.88,96.78,84.04,11.48,1.0,543004.0,04/11/2024,,,,,,BBDC4
0,BBDCC813,,CALL,A,ITM,12.13,-11.2,26.21,3.58,2.0,714.0,22/10/2024,,,,,,BBDC4
1,BBDCO142,,PUT,E,ITM,14.38,5.27,,,,,,,,,,,BBDC4
2,BBDCO152,,PUT,E,ITM,14.63,7.1,6.52,0.89,5.0,19668.0,06/11/2024,,,,,,BBDC4
3,BBDCO155,,PUT,E,ITM,14.88,8.93,4.54,0.62,5.0,12080.0,29/10/2024,,,,,,BBDC4
4,BBDCO151,,PUT,E,ITM,15.13,10.76,7.54,1.03,2.0,512.0,05/11/2024,,,,,,BBDC4
0,BBDCC138,,CALL,A,ITM,13.13,-3.88,10.76,1.47,3.0,2061.0,07/11/2024,,,,,,BBDC4
1,BBDCO138,,PUT,E,OTM,13.13,-3.88,2.49,0.34,6.0,892.0,07/11/2024,,,,,,BBDC4
2,BBDCC3,,CALL,E,ITM,13.38,-2.05,8.64,1.18,1.0,118.0,07/11/2024,,,,,,BBDC4
3,BBDCO3,,PUT,E,OTM,13.38,-2.05,3.07,0.42,10.0,4890.0,07/11/2024,,,,,,BBDC4
4,BBDCC141,,CALL,E,ATM,13.88,1.61,6.95,0.95,1.0,95.0,06/11/2024,,,,,,BBDC4
5,BBDCO141,,PUT,E,ATM,13.88,1.61,4.39,0.6,1.0,60.0,07/11/2024,,,,,,BBDC4
6,BBDCC143,,CALL,A,OTM,14.13,3.44,7.17,0.98,1.0,980.0,05/11/2024,,,,,,BBDC4
7,BBDCO143,,PUT,E,ITM,14.13,3.44,5.34,0.73,6.0,1661.0,07/11/2024,,,,,,BBDC4
0,BBDCO813,,PUT,E,OTM,12.13,-11.2,0.73,0.1,1.0,100.0,31/10/2024,,,,,,BBDC4
1,BBDCC142,,CALL,E,OTM,14.38,5.27,2.64,0.36,1.0,59400.0,06/11/2024,,,,,,BBDC4
2,BBDCC152,,CALL,A,OTM,14.63,7.1,4.25,0.58,1.0,58.0,07/11/2024,,,,,,BBDC4
3,BBDCC155,,CALL,E,OTM,14.88,8.93,3.73,0.51,1.0,51.0,07/11/2024,,,,,,BBDC4
4,BBDCC151,,CALL,A,OTM,15.13,10.76,2.86,0.39,2.0,585.0,07/11/2024,,,,,,BBDC4
0,BBDCO780,,PUT,E,OTM,6.13,-55.12,0.07,0.01,2.0,5.0,24/07/2024,,,,,,BBDC4
1,BBDCO800,,PUT,E,OTM,6.33,-53.66,0.15,0.02,1.0,100.0,24/06/2024,,,,,,BBDC4
2,BBDCO820,,PUT,E,OTM,6.53,-52.2,0.07,0.01,4.0,120.0,24/10/2024,,,,,,BBDC4
3,BBDCO114,,PUT,E,OTM,11.38,-16.69,0.73,0.1,1.0,30000.0,04/10/2024,,,,,,BBDC4
4,BBDCC161,,CALL,A,OTM,16.13,18.08,1.46,0.2,1.0,20.0,06/11/2024,,,,,,BBDC4
5,BBDCC166,,CALL,E,OTM,16.38,19.91,1.39,0.19,4.0,73.0,06/11/2024,,,,,,BBDC4
6,BBDCC169,,CALL,E,OTM,16.88,23.57,0.95,0.13,1.0,26.0,06/11/2024,,,,,,BBDC4
7,BBDCC174,,CALL,E,OTM,17.38,27.23,1.39,0.19,2.0,38.0,31/10/2024,,,,,,BBDC4
8,BBDCC194,,CALL,E,OTM,19.38,41.87,,,,,,,,,,,BBDC4
9,BBDCC268,,CALL,E,OTM,26.88,96.78,,,,,,,,,,,BBDC4
0,BBDCP174,,PUT,E,ITM,15.85,16.03,6.08,0.83,1.0,830.0,07/10/2024,,,,,,BBDC4
