,Ticker,FM,Tipo,Mod.,A/I/OTM,Strike,Distância % do Strike,Prêmio como % da última cotação,Último,Número de Negócios,Volume Negociado,Data/Hora,Vol. Implícita,Delta,Gamma,Theta,Vega,ativo
9,BBDCL170W1,,CALL,A,OTM,16.98,24.3,,,,,,,,,,,BBDC4
10,BBDCL175W1,,CALL,A,OTM,17.48,27.96,,,,,,,,,,,BBDC4
11,BBDCL180W1,,CALL,A,OTM,17.98,31.63,,,,,,,,,,,BBDC4
12,BBDCL185W1,,CALL,A,OTM,18.48,35.29,,,,,,,,,,,BBDC4
13,BBDCL190W1,,CALL,A,OTM,18.98,38.95,,,,,,,,,,,BBDC4
14,BBDCL195W1,,CALL,A,OTM,19.48,42.61,,,,,,,,,,,BBDC4
15,BBDCL200W1,,CALL,A,OTM,19.98,46.27,,,,,,,,,,,BBDC4
16,BBDCL205W1,,CALL,A,OTM,20.48,49.93,,,,,,,,,,,BBDC4
17,BBDCL210W1,,CALL,A,OTM,20.98,53.59,,,,,,,,,,,BBDC4
18,BBDCL215W1,,CALL,A,OTM,21.48,57.25,,,,,,,,,,,BBDC4
0,BBDCL900W2,,CALL,A,ITM,9.0,-34.11,,,,,,,,,,,BBDC4
1,BBDCL920W2,,CALL,A,ITM,9.2,-32.65,,,,,,,,,,,BBDC4
2,BBDCL940W2,,CALL,A,ITM,9.4,-31.19,,,,,,,,,,,BBDC4
3,BBDCL960W2,,CALL,A,ITM,9.6,-29.72,,,,,,,,,,,BBDC4
4,BBDCL980W2,,CALL,A,ITM,9.8,-28.26,,,,,,,,,,,BBDC4
5,BBDCL100W2,,CALL,A,ITM,10.0,-26.79,,,,,,,,,,,BBDC4
6,BBDCL105W2,,CALL,A,ITM,10.5,-23.13,,,,,,,,,,,BBDC4
7,BBDCL110W2,,CALL,A,ITM,11.0,-19.47,,,,,,,,,,,BBDC4
8,BBDCL115W2,,CALL,A,ITM,11.5,-15.81,,,,,,,,,,,BBDC4
9,BBDCX160W2,,PUT,E,ITM,16.0,17.13,,,,,,,,,,,BBDC4
10,BBDCX165W2,,PUT,E,ITM,16.5,20.79,,,,,,,,,,,BBDC4
