TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
TELF11;0,00;;0,00;;;;;;;;;;0,00
TELM11;0,00;;0,00;;;;;;;;;;500.000,00
TEPP11;93,10;0,900000;7,84;94,98;0,98;1.208.499,89;2,16;9,90;1,49;400.989.058,57;23.130,00;Ativa;4.221.967,00
TFOF11;138,00;2,370000;0,00;121,20;1,14;;13,36;29,98;;103.080.374,68;3.278,00;Ativa;850.530,00
TGAR11;121,20;1,320000;13,61;111,49;1,09;6.931.171,96;36,83;5,31;-3,77;1.536.775.352,97;124.930,00;Ativa;13.784.500,00
THRA11;138,50;0,130000;0,00;9,54;14,52;;140,47;90,73;1,87;14.050.683,35;2.084,00;Passiva;1.472.728,00
TJKB11;262,50;2,720000;11,33;270,88;0,97;2.785,50;0,14;;;205.051.412,28;82,00;Ativa;756.974,00
TMPS11;98,30;1,110000;6,63;105,02;0,94;142.095,85;0,56;;;102.808.938,20;1.848,00;Ativa;978.968,00
TORD11;2,24;0,050000;2,23;12,72;0,18;153.213,26;0,47;;-42,51;445.719.466,82;94.035,00;Ativa;35.051.354,00
TORM13;142,00;10,562960;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
TOUR11;8,80;0,242328;0,00;0,00;;;;;-57,86;0,00;0,00;Ativa;0,00
TRBL11;97,93;0,720000;9,53;95,22;1,03;740.817,41;2,37;6,20;-1,44;608.934.142,78;62.066,00;Ativa;6.395.050,00
TRNT11;121,01;0,220000;4,00;197,70;0,61;18.606,40;0,79;-2,75;-14,99;778.079.988,02;689,00;Passiva;3.935.562,00
TRXB11;146,00;2,210000;9,16;108,62;1,34;1.353,68;13,30;11,34;5,31;310.754.359,53;211,00;Passiva;2.860.950,00
TRXF11;111,23;1,700000;10,20;103,83;1,07;10.629.727,07;11,69;8,89;2,93;1.377.838.035,77;117.516,00;Ativa;13.269.951,00
TSER11;100,00;0,940000;11,36;102,59;0,97;850,00;5,01;;;131.816.824,93;31,00;Ativa;1.284.884,00
TSNC11;0,00;0,625958;0,00;91,93;;;7,12;-23,66;;99.909.013,39;66,00;Ativa;1.086.780,00
TSNM11;0,00;;0,00;;;;;;;;;;3.500.000,00
TVRI11;99,87;0,910000;10,84;99,05;1,01;1.473.846,30;3,43;-2,97;-3,69;1.576.857.849,29;72.157,00;Ativa;15.919.690,00
URPR11;89,50;1,110000;16,45;102,66;0,87;1.915.720,78;5,75;-14,35;-10,74;1.198.595.690,39;91.137,00;Ativa;11.675.248,00
VCJR11;93,96;0,900000;11,74;97,47;0,96;1.864.855,37;2,34;-2,00;-3,36;1.435.144.945,67;26.122,00;Ativa;14.723.970,00
