IBBR - Carteira do Dia 05/01/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,684;
USIM5;USIMINAS;PNA     N1;515.117.999;0,094;
VALE3;VALE;ON      NM;4.267.772.018;9,409;
VAMO3;VAMOS;ON  EJ  NM;390.902.974;0,039;
VBBR3;VIBRA;ON      NM;1.192.531.648;0,936;
VIVA3;VIVARA S.A.;ON  ED  NM;123.160.591;0,121;
WEGE3;WEG;ON  ED  NM;1.485.954.732;2,184;
XPBR31;XP INC;DR1;415.457.000;1,114;
YDUQ3;YDUQS PART;ON  ED  NM;261.365.845;0,097;
Quantidade Teórica Total;;;123.034.593.337;100,000
Redutor;;;2.437.340.002,15461000
