TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BLMO11;88,87;0,530000;7,16;98,45;0,90;6.475,00;1,93;-77,01;;97.939.357,15;273,00;;994.814,00
BLMR11;6,78;0,053000;0,00;0,00;0,11;;3,50;;-2,25;0,00;0,00;;0,00
BLOG11;6,60;0,020000;0,30;11,26;0,59;8,24;0,11;;;346.922.775,80;132,00;;30.796.704,00
BLUR11;76,03;1,010650;0,00;76,13;1,00;;100,42;-14,85;-3,31;6.851.720,42;1,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;454,06;;;0,27;;;34.190.505,41;24,00;Ativa;75.300,00
BMLC11;100,20;0,750000;8,57;107,89;0,93;18.716,40;5,35;-1,54;12,64;107.715.546,33;1.210,00;;998.405,00
BNFS11;39,70;0,500000;22,04;69,86;0,57;28.104,71;8,09;-19,36;-20,33;48.900.107,31;5.065,00;;700.000,00
BPFF11;54,53;0,670000;3,80;62,15;0,88;512.062,00;4,94;1,28;-0,18;279.190.787,97;20.101,00;;4.492.326,00
BPLC11;0,00;14,420464;0,00;9.935,96;;;0,25;;;323.206.888,13;126,00;;32.529,00
BPML11;86,16;0,920000;15,27;123,88;0,70;760.206,14;9,90;3,99;24,09;921.878.950,64;6.242,00;;7.441.745,00
BPRP11;107,50;0,925000;0,00;125,57;0,86;2.150,00;0,19;2,64;0,65;169.496.975,27;171,00;Passiva;1.349.837,00
BRCO11;113,31;1,050000;9,60;115,72;0,98;5.197.776,95;3,27;0,65;7,90;2.085.468.575,60;137.451,00;;18.021.303,00
BRCR11;40,75;0,410000;12,07;80,80;0,50;966.207,05;1,53;-2,57;-4,07;2.152.303.066,79;112.683,00;;26.638.202,00
BREV11;105,00;0,580000;0,00;0,00;1,65;532.138,00;3,50;8,81;1,65;0,00;320,00;;967.201,00
BRHT11B;86,80;;0,00;58,66;1,48;;0,63;;;108.032.458,29;11,00;;1.841.677,00
BRIM11;95,00;48,330000;0,00;11,39;8,34;0,00;128,69;;;1.414.482,94;719,00;;124.137,00
BRIP11;320,00;11,770000;0,00;469,51;0,68;689,26;9,85;;6,94;101.166.719,79;397,00;;215.475,00
BROF11;61,00;0,560000;10,49;109,82;0,56;1.469.802,90;0,98;-1,56;6,95;1.275.089.415,10;11.096,00;;11.610.812,00
BROL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
BRSE11;0,00;;0,00;4.652,47;;;0,02;;;9.304.942,83;12,00;;2.000,00
BSLT11;68,00;;0,00;114,65;0,59;87.717,57;0,01;;;154.781.619,11;2.524,00;;1.350.000,00
BTCI11;9,15;0,105000;11,69;10,23;0,89;3.883.283,43;4,17;0,40;10,65;1.018.465.541,64;208.872,00;;99.521.172,00
BTCR11;88,00;0,900000;0,00;95,27;0,92;571.148,00;8,00;32,78;;458.252.683,73;16.934,00;;4.810.097,00
BTHF11;8,99;0,101000;11,91;9,97;0,90;3.051.342,52;75,03;;;2.052.861.600,57;316.625,00;;205.846.940,00
BTHI11;43,24;0,450000;11,08;64,77;0,67;20.258,48;-0,01;-11,97;-22,76;597.104.845,87;1.740,00;;9.218.512,00
BTHI12;45,00;0,560000;0,00;64,77;0,69;;-0,01;;10,34;597.104.845,87;1.740,00;;9.218.512,00
BTHR11;0,00;0,210000;0,00;9,87;;;8,72;;;332.505.271,79;24,00;;33.675.336,00
BTLG11;102,55;0,810000;9,30;102,40;1,00;9.567.950,57;22,54;1,25;9,20;7.105.228.967,29;501.290,00;;69.389.648,00
BTML11;101,37;1,100000;11,93;128,27;0,79;;3,36;;;145.476.950,69;1,00;;1.134.132,00
BTSG11;145,92;1,000000;5,48;156,08;0,93;146,00;0,75;3,00;7,58;120.961.555,01;106,00;;775.015,00
BTSI11;109,17;0,830000;8,93;123,72;0,88;29,13;0,06;3,40;;788.559.958,83;220,00;;6.373.961,00
BTWR11;90,00;0,940000;9,49;118,61;0,76;0,00;0,57;5,95;;95.985.219,78;139,00;;809.269,00
BTYU11;7,68;0,090000;13,73;10,24;0,75;3.002,33;4,93;;;307.155.136,13;881,00;;30.000.000,00
BVAR11;1.246,69;8,400000;10,98;694,70;1,79;1.260,00;0,16;-12,09;;434.564.729,75;128,00;;625.540,00
BZEL11;0,00;5,092421;0,00;148,68;;;0,15;;;526.045.991,98;3,00;;3.538.046,00
BZLI11;19,78;;0,00;16,74;1,18;;0,02;;5,18;732.922.445,55;18,00;;43.785.754,00
CACR11;20,78;0,230000;57,19;97,58;0,21;578.140,95;0,40;-5,01;-31,67;471.926.680,37;25.317,00;;4.836.324,00
CARE11;3,30;0,008385;0,00;34,64;0,10;2.424,90;1,69;;-30,66;249.416.931,74;6.772,00;;7.201.226,00
CBOP11;31,14;0,160000;6,29;72,14;0,43;8.086,14;1,35;9,08;-0,19;102.081.535,85;1.986,00;;1.415.000,00
CCLB11;0,00;;0,00;0,00;;;3,50;;;0,00;0,00;;0,00
CCME11;8,87;0,086000;10,53;10,68;0,83;247.663,29;16,23;-2,17;1,99;723.891.982,59;9.617,00;;67.797.053,00
CCRF11;92,50;0,632531;0,00;93,23;0,99;;3,10;;2,66;146.548.498,31;317,00;;1.571.900,00
CCVA11;98,97;0,500000;6,38;102,27;0,97;;2,35;;;64.196.049,44;1,00;;627.724,00
CENU11;100,00;;0,00;98,98;1,01;;0,75;;;112.813.630,65;27,00;;1.139.780,00
CEOC11;40,35;0,485038;13,81;68,46;0,59;10.287,52;3,03;1,07;-2,23;124.299.758,89;3.637,00;;1.815.696,00
CFHI11;20,10;10,620000;226,47;26,58;0,76;40,00;154,38;;22,55;2.514.034,94;96,00;;94.600,00
CFII11;317,25;57,500000;77,42;497,25;0,64;0,00;42,31;;;62.812.673,81;103,00;;126.319,00
CIXM11;9,04;0,150000;0,00;41,54;0,22;;2,20;;;254.544.355,67;108,00;;6.127.180,00
CIXR11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;0,00
CJCT11;67,00;0,460000;4,60;73,94;0,91;166,11;0,43;22,88;5,33;232.168.790,15;781,00;;3.140.000,00
CJFI11;0,00;;0,00;2,91;;;2,88;;;276.020.038,85;1,00;;94.711.593,00
CLIN11;90,57;1,150000;11,86;98,67;0,92;696.747,43;12,20;;;428.908.370,71;10.768,00;;4.346.763,00
CNES11;1,46;0,007439;6,74;6,37;0,23;33.099,33;6,02;8,94;-8,73;217.270.081,13;75.774,00;;34.134.825,00
COPP11;103,00;0,750000;0,00;126,60;0,81;;0,20;;0,99;694.923.954,59;118,00;;5.489.284,00
CPFF11;69,90;0,500000;0,00;62,49;1,12;;8,22;-0,91;3,15;67.464.811,29;6.536,00;Ativa;1.079.696,00
CPFO11;0,00;;0,00;31,93;;;0,87;;;90.509.108,49;528,00;;2.834.551,00
CPHH11;0,00;;0,00;73,46;;;30,00;;;108.236.367,68;420,00;;1.473.378,00
CPLG11;11,18;0,120000;13,24;10,52;1,06;75.348,62;0,03;;;592.814.804,02;5.398,00;;56.355.750,00
CPOF11;114,50;0,430000;3,88;126,60;0,90;31.356.251,53;0,20;;11,63;694.923.954,59;118,00;;5.489.284,00
CPSH11;10,00;0,110000;13,30;11,57;0,86;1.541.390,76;0,21;3,37;8,27;1.424.897.810,43;37.178,00;;123.163.844,00
CPTS11;7,54;0,090000;13,03;8,79;0,86;8.119.214,95;0,02;6,70;7,39;3.195.466.071,47;381.877,00;;363.503.147,00
CPUR11;10,40;0,100000;10,32;9,68;1,07;1.062.230,14;0,26;5,59;13,52;656.300.153,83;1.860,00;;67.825.745,00
CRFF11;66,50;0,650000;11,37;84,57;0,79;8.010,14;5,88;1,50;2,93;58.358.289,75;1.144,00;;690.040,00
