Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
BMGB4;3.73;7.88;0.55;0.0;11,79%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;6,93%;1740140.0;3985940000.0;0.0;-12,10%
LEVE4;44.49;7.91;5.44;1.39;0,00%;1.932;7.56;7.44;-141.46;8.05;7.15;18,67%;17,57%;1.68;35,32%;68,84%;0.0;1107580000.0;0.82;17,50%
WLMM3;25.51;7.91;1.28;0.339;5,05%;1.052;2.25;6.04;2.66;5.85;5.66;5,60%;4,28%;5.56;19,07%;16,12%;887.52;728425000.0;0.03;26,88%
EQPA6;8.0;7.92;3.48;1.693;9,50%;1.209;12.27;5.4;-3.37;6.51;5.74;31,34%;21,37%;1.5;26,38%;43,96%;145.48;5075140000.0;0.96;17,69%
EKTR4;39.4;7.94;2.36;0.876;23,27%;0.658;11.24;3.69;-1.63;5.97;5.06;23,73%;11,03%;1.23;21,22%;29,71%;50210.0;3235000000.0;1.79;7,24%
CEBR6;19.31;7.97;1.32;3.921;10,81%;0.939;1.95;11.26;2.15;5.65;5.31;34,81%;63,31%;8.05;16,00%;16,60%;72806.5;1051840000.0;0.0;-41,30%
JSLG3;9.98;7.97;1.68;0.354;3,18%;0.203;0.84;2.91;-0.43;8.7;5.81;12,17%;4,44%;2.42;10,07%;21,11%;4027310.0;1698340000.0;5.57;12,25%
PRIO3;45.29;7.98;2.62;3.287;0,16%;1.313;12.8;5.66;-4.7;6.65;4.69;58,03%;41,20%;1.87;27,31%;32,89%;364435000.0;15396500000.0;0.72;66,69%
WSON33;67.0;8.07;0.98;1.067;0,00%;0.4;13.41;2.42;-0.89;5.08;5.08;44,14%;13,58%;1.26;18,36%;12,17%;0.0;2148530000.0;1.21;5,23%
BBDC3;11.46;8.1;0.76;0.0;10,41%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;9,37%;76497200.0;160563000000.0;0.0;-14,68%
CMET4;3.91;8.1;5.38;3.068;0,00%;3.136;9.47;5.72;27.2;5.34;5.34;53,63%;43,03%;2.64;81,40%;66,40%;0.0;2847970000.0;0.18;30,18%
RDTR3;6.3;8.11;1.37;0.0;0,00%;1.32;0.0;-1919.75;0.0;-1897.05;-219.41;0,00%;0,00%;0.0;0,00%;16,95%;0.0;497092000.0;0.0;0,00%
EQPA7;8.24;8.16;3.59;1.744;9,22%;1.245;12.64;5.56;-3.47;6.68;5.89;31,34%;21,37%;1.5;26,38%;43,96%;56.18;5075140000.0;0.96;17,69%
BRSR5;16.99;8.23;0.71;0.0;3,70%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;8,62%;177.02;9798830000.0;0.0;4,70%
CAML3;8.87;8.28;0.96;0.27;3,29%;0.266;0.94;4.64;-2.76;9.8;7.04;5,82%;3,26%;1.83;8,70%;11,61%;6627100.0;3227230000.0;1.7;17,44%
CPRE3;18.23;8.3;2.17;3.015;0,00%;0.964;-3.82;5.06;-2.29;5.22;4.2;59,56%;36,91%;0.33;20,54%;26,15%;0.0;4985740000.0;0.2;17,21%
LJQQ3;4.09;8.31;1.29;0.329;3,96%;0.244;0.95;14.14;-1.4;17.18;5.31;2,33%;3,96%;1.67;2,17%;15,46%;12595000.0;620719000.0;0.85;11,40%
BGIP4;22.98;8.33;0.63;0.0;9,99%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;7,57%;10598.2;676771000.0;0.0;1,22%
BEES4;9.72;8.34;1.35;0.0;6,73%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;16,21%;31942.2;2271980000.0;0.0;12,49%
ITUB3;29.36;8.36;1.62;0.0;7,99%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;19,41%;11441200.0;177342000000.0;0.0;39,30%
BBSE3;34.1;8.38;5.67;0.0;8,41%;3.821;0.0;7.48;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;67,70%;141026000.0;12020300000.0;0.0;0,00%
PLPL3;11.05;8.38;3.62;1.034;4,56%;1.112;1.97;3.75;5.75;3.89;3.78;27,61%;12,98%;2.84;40,24%;43,21%;9706110.0;623151000.0;0.59;28,40%
POMO4;6.59;8.45;2.1;1.12;6,58%;0.933;3.04;8.32;22.84;9.6;8.21;13,47%;13,33%;2.08;15,39%;24,84%;39428800.0;3566490000.0;0.74;15,28%
AGIN3;5.29;8.46;1.23;1.816;0,00%;0.565;1.29;10.92;3.55;14.68;14.68;16,63%;21,83%;2.72;5,59%;14,56%;0.0;1028210000.0;0.55;44,17%
BMKS3;329.15;8.46;0.72;10.201;11,93%;0.619;0.85;-34.69;0.99;4.09;4.19;-29,41%;120,58%;19.87;-6,33%;8,46%;9317.31;209194000.0;0.03;-2,83%
AELP3;1.93;8.49;-200.57;-0.062;0,00%;5.216;0.0;-12.58;0.0;-11.94;-11.98;0,49%;-0,73%;0.0;0,00%;-2.363,83%;0.0;-904000.0;0.0;1,18%
BLAU3;11.29;8.51;1.0;1.374;2,48%;0.641;1.69;9.56;4.26;10.3;8.53;14,37%;15,98%;3.82;8,45%;11,78%;2148260.0;2019480000.0;0.3;8,41%
CPSL3;38.02;8.56;3.49;0.787;0,00%;2.043;7.39;5.79;11.84;5.48;5.48;13,59%;9,20%;1.89;57,15%;40,82%;0.0;1634730000.0;0.17;16,21%
VULC3;15.62;8.58;2.14;1.509;18,37%;1.476;3.03;8.02;3.55;7.74;6.52;18,82%;17,58%;3.04;24,19%;24,97%;9174490.0;2002700000.0;0.21;25,98%
TTEN3;10.85;8.61;1.57;0.548;1,08%;0.726;3.21;11.19;6.39;11.87;10.39;4,89%;6,35%;1.53;11,97%;18,29%;8996030.0;3435220000.0;0.41;29,99%
CEBR3;20.93;8.64;1.43;4.25;9,07%;1.018;2.12;12.21;2.33;6.59;6.2;34,81%;63,31%;8.05;16,00%;16,60%;81572.7;1051840000.0;0.0;-41,30%
HAGA3;2.72;8.66;-0.61;1.17;0,00%;0.513;1.06;-18.35;-0.53;-4.77;-14.28;-6,38%;13,51%;2.24;-10,28%;-7,09%;29186.2;-52754200.0;-0.39;1,40%
TGMA3;24.18;8.66;1.83;0.975;7,57%;1.306;3.55;7.41;5.74;6.83;6.12;13,15%;11,29%;3.55;24,56%;21,11%;5643210.0;872453000.0;0.2;8,66%
TMGC12;550.0;8.71;1.12;0.8;0,00%;0.77;4.66;12.27;8.22;10.94;10.94;6,52%;9,18%;1.69;8,73%;12,83%;0.0;1167010000.0;0.05;10,49%
ACES4;94.73;8.74;2.27;1.683;0,00%;1.43;6.37;7.16;20.65;6.5;6.5;23,52%;19,27%;2.05;26,90%;25,95%;0.0;3105800000.0;0.09;13,34%
BGIP3;24.17;8.76;0.66;0.0;8,64%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;7,57%;4453.66;676771000.0;0.0;1,22%
ACES3;95.27;8.79;2.28;1.693;0,00%;1.438;6.4;7.2;20.77;6.54;6.54;23,52%;19,27%;2.05;26,90%;25,95%;0.0;3105800000.0;0.09;13,34%
EGIE3;45.6;8.79;3.45;3.563;5,12%;0.818;12.8;7.03;-1.48;10.05;8.53;50,67%;40,52%;1.51;13,51%;39,26%;55400100.0;10778800000.0;1.97;-0,19%
BPAC5;8.09;8.81;1.79;0.0;4,89%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;20,33%;50446.8;51962100000.0;0.0;51,65%
BBDC4;12.49;8.83;0.83;0.0;10,50%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;9,37%;437187000.0;160563000000.0;0.0;-14,68%
ENGI11;46.3;8.85;1.39;0.707;3,27%;0.299;5.13;3.01;-0.65;6.31;5.11;23,48%;10,71%;1.28;11,84%;15,72%;121540000.0;15247500000.0;2.12;11,07%
PFRM3;5.53;8.88;0.55;0.077;6,98%;0.13;0.65;3.11;6.3;5.89;3.47;2,47%;0,96%;1.38;7,55%;6,15%;1025790.0;1254510000.0;0.72;15,96%
BRBI11;14.5;8.88;1.84;5.457;9,10%;0.136;2.05;62.54;2.05;12.88;10.06;8,73%;61,44%;1.07;20,39%;20,74%;3748910.0;826376000.0;11.92;-34,76%
CZRS4;2.49;8.89;0.3;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;3,34%;0.0;1145670000.0;0.0;14,44%
SHUL4;6.54;8.9;1.77;1.236;5,65%;0.966;2.3;10.4;4.65;9.63;7.45;11,89%;13,88%;2.74;15,18%;19,89%;2459660.0;1319420000.0;0.47;19,16%
EQPA5;9.0;8.91;3.92;1.905;8,44%;1.36;13.81;6.08;-3.79;7.19;6.34;31,34%;21,37%;1.5;26,38%;43,96%;0.0;5075140000.0;0.96;17,69%
AFLU5;5.03;8.93;2.14;2.911;0,00%;1.875;9.63;8.32;11.92;7.38;7.05;34,98%;32,59%;3.27;31,18%;23,93%;0.0;44270000.0;0.0;8,61%
VIVO3;65.79;8.99;2.69;1.366;0,00%;1.175;-29.21;6.21;-4.74;6.65;6.65;22,01%;15,20%;0.89;23,92%;29,88%;0.0;9816290000.0;0.35;13,06%
CNFB4;5.99;9.01;1.57;1.511;0,00%;0.872;3.47;8.27;53.95;10.05;7.85;18,27%;16,77%;2.2;12,01%;17,39%;0.0;1552470000.0;0.47;-10,61%
CSUD3;20.18;9.12;1.89;1.572;5,37%;1.254;21.31;7.1;-25.33;7.15;4.68;22,15%;17,23%;1.26;21,92%;20,67%;770387.0;447312000.0;0.22;5,40%
AFLU3;5.15;9.15;2.19;2.981;0,00%;1.919;9.86;8.52;12.21;7.57;7.24;34,98%;32,59%;3.27;31,18%;23,93%;0.0;44270000.0;0.0;8,61%
GRND3;6.04;9.33;1.48;2.222;5,33%;1.28;2.35;13.75;2.37;10.97;8.99;16,15%;23,82%;5.09;13,56%;15,92%;5832540.0;3669650000.0;0.05;6,12%
IRBR3;29.99;9.44;0.55;0.441;0,00%;0.165;0.0;-47.34;0.0;0.0;0.0;-0,93%;4,67%;0.0;0,00%;5,86%;34747300.0;4456840000.0;0.0;0,00%
MRSL4;3.05;9.48;0.91;0.816;0,00%;0.609;2.19;15.08;5.8;16.51;8.83;5,41%;8,69%;2.78;4,44%;9,63%;0.0;375151000.0;0.16;7,10%
RAPT3;9.85;9.5;1.13;0.301;5,91%;0.239;0.86;2.51;-2.22;4.86;3.94;12,00%;5,91%;1.89;13,64%;11,87%;471298.0;2875310000.0;2.09;23,40%
BMIN4;15.6;9.55;0.55;0.0;8,97%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;5,77%;2576.39;136460000.0;0.0;26,60%
DXCO3;7.08;9.64;0.91;0.764;4,05%;0.318;2.35;7.27;-1.01;13.15;5.23;10,51%;8,17%;1.7;5,56%;9,45%;19179200.0;6372670000.0;1.18;10,71%
ELPL3;49.32;9.65;3.15;0.507;0,00%;0.341;-4.64;2.96;-0.52;5.18;4.01;17,11%;5,26%;0.76;12,72%;32,66%;0.0;3091000000.0;2.43;6,98%
CTWR3;100.0;9.76;56.77;0.317;0,00%;1.141;3.79;-10.64;-142.17;-8.91;-8.91;-2,98%;3,25%;1.45;-21,86%;581,91%;0.0;879000.0;5.52;4,94%
ITUB4;34.26;9.76;1.89;0.0;6,85%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;19,41%;705968000.0;177342000000.0;0.0;39,30%
