;Fundos;Setor;Preço Atual (R$);Liquidez Diária (R$);P/VP;Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas;Tax. Gestão;Tax. Performance;Tax. Administração
92;CNES11;LAJES CORPORATIVAS;1,31;53.659,35;0,17;0,01;0,40 %;1,25 %;2,82 %;5,36 %;0,42 %;0,47 %;0,45 %;4,66 %;-8,57 %;-8,21 %;-29,05 %;262.055.991,81;7,68;0,17;0,08 %;-91,41 %;-91,41 %;-91,03 %;15;68,76;112.157;N/A;N/A;N/A
93;COPP11;LAJES CORPORATIVAS;103,00;1.827.632,00;0,93;0,75;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;310.776.544,09;N/A;N/A;N/A;N/A;N/A;N/A;17;17,75;131;N/A;N/A;N/A
94;CORM11;LAJES CORPORATIVAS;N/A;N/A;N/A;0,77;0,90 %;2,76 %;5,35 %;11,38 %;0,92 %;0,89 %;0,95 %;6,20 %;-2,97 %;-2,10 %;-4,27 %;N/A;90,56;N/A;0,89 %;-2,33 %;-1,45 %;0,21 %;0;N/A;0;N/A;N/A;N/A
95;CPFF11;FUNDO DE FUNDOS;61,55;288.798,26;0,81;0,60;0,89 %;2,64 %;5,25 %;10,40 %;0,88 %;0,88 %;0,87 %;8,56 %;-5,24 %;-4,39 %;-2,31 %;195.654.849,04;76,64;0,80;0,78 %;-0,83 %;-0,05 %;5,50 %;14;12,61;8.277;N/A;N/A;N/A
96;CPFO11;FUNDO DE FUNDOS;N/A;N/A;N/A;31,42;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;8.102;N/A;N/A;N/A
97;CPLG11;MISTO;10,90;3.679.398,26;1,03;0,08;0,76 %;0,76 %;0,76 %;0,76 %;0,76 %;0,76 %;0,76 %;0,76 %;0,00 %;0,00 %;N/A;364.166.074,20;N/A;N/A;N/A;N/A;N/A;N/A;14;8,98;164;N/A;N/A;N/A
98;CPOF11;MISTO;109,00;331,00;0,99;0,85;0,78 %;1,58 %;3,04 %;4,51 %;0,53 %;0,51 %;0,45 %;4,51 %;1,66 %;2,45 %;6,23 %;310.776.544,09;N/A;N/A;N/A;N/A;N/A;N/A;17;7,37;131;N/A;N/A;N/A
99;CPSH11;INDEFINIDO;9,88;1.346.823,91;0,88;0,10;1,03 %;2,97 %;5,79 %;11,66 %;0,99 %;0,97 %;0,97 %;9,73 %;-5,64 %;-4,67 %;2,95 %;889.492.755,95;N/A;N/A;N/A;N/A;N/A;N/A;20;11,04;8.341;N/A;N/A;N/A
100;CPTI11;INDEFINIDO;86,90;3.530.491,52;N/A;1,00;1,07 %;2,12 %;5,26 %;13,00 %;0,71 %;0,88 %;1,08 %;11,94 %;-2,08 %;-1,03 %;11,87 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;7,61;0;N/A;N/A;N/A
101;CPTR11;INDEFINIDO;6,40;1.534.535,00;0,67;0,10;1,19 %;2,44 %;6,14 %;13,29 %;0,81 %;1,02 %;1,11 %;11,13 %;5,13 %;6,38 %;10,51 %;392.727.764,45;9,49;0,67;1,05 %;-90,38 %;-90,28 %;-90,14 %;0;17,42;31.481;N/A;N/A;N/A
102;CPTS11;PAPÉIS;7,27;15.069.734,83;0,83;0,07;0,96 %;2,99 %;5,94 %;11,12 %;1,00 %;0,99 %;0,93 %;9,51 %;-6,48 %;-5,58 %;9,64 %;2.768.458.621,75;8,71;0,83;0,93 %;-90,19 %;-90,10 %;-90,00 %;14;13,83;386.174;N/A;N/A;N/A
103;CRAA11;INDEFINIDO;100,29;1.274.447,78;0,99;1,05;1,07 %;3,48 %;6,94 %;14,40 %;1,16 %;1,16 %;1,20 %;11,85 %;-4,05 %;-3,02 %;15,32 %;239.802.194,35;101,19;0,99;0,99 %;0,00 %;0,00 %;0,00 %;0;14,12;7.996;N/A;N/A;N/A
104;CRFF11;FUNDO DE FUNDOS;72,01;29.999,74;0,90;0,61;0,85 %;2,45 %;4,55 %;9,30 %;0,82 %;0,76 %;0,78 %;9,30 %;-5,57 %;-4,77 %;3,72 %;58.316.777,51;84,51;0,85;0,73 %;0,61 %;1,35 %;7,02 %;14;28,84;1.380;N/A;N/A;N/A
105;CSMC11;INDEFINIDO;N/A;N/A;N/A;15,16;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;1.316.482.535,73;N/A;N/A;N/A;N/A;N/A;N/A;1;N/A;1;N/A;N/A;N/A
106;CTXT11;LAJES CORPORATIVAS;6,70;1.596,87;0,24;0,01;0,04 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;1,33 %;1,00 %;1,04 %;-50,75 %;106.667.016,27;48,33;0,14;0,19 %;-0,10 %;0,09 %;0,54 %;15;26,89;2.459;N/A;N/A;N/A
107;CVBI11;PAPÉIS;85,09;2.133.487,43;0,91;0,78;0,89 %;2,89 %;6,04 %;12,16 %;0,96 %;1,01 %;1,01 %;10,36 %;-4,81 %;-3,96 %;14,13 %;1.031.968.173,62;93,73;0,91;0,92 %;-0,14 %;0,78 %;7,53 %;14;12,84;94.921;N/A;N/A;N/A
108;CVPR11;INDEFINIDO;N/A;N/A;N/A;0,10;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;3.766.704,03;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;2;N/A;N/A;N/A
109;CXAG11;AGÊNCIAS DE BANCOS;71,42;187.298,87;0,62;0,69;0,95 %;2,78 %;5,56 %;11,06 %;0,93 %;0,93 %;0,92 %;10,12 %;-2,42 %;-1,49 %;6,37 %;241.616.131,10;115,57;0,62;0,60 %;0,80 %;1,40 %;20,71 %;46;8,91;12.577;N/A;N/A;N/A
110;CXCE11B;LAJES CORPORATIVAS;44,01;9.205,00;0,62;0,43;1,08 %;3,17 %;6,32 %;11,99 %;1,06 %;1,05 %;1,00 %;10,99 %;0,30 %;1,38 %;4,47 %;110.429.083,91;64,50;0,68;0,64 %;-1,68 %;-1,04 %;0,11 %;15;22,21;3.328;N/A;N/A;N/A
111;CXCI11;INDEFINIDO;73,01;160.720,87;0,82;0,75;0,97 %;2,82 %;5,73 %;11,61 %;0,94 %;0,96 %;0,97 %;9,54 %;-4,45 %;-3,53 %;4,78 %;183.484.940,24;89,17;0,82;0,84 %;-4,23 %;-3,43 %;-1,35 %;14;15,75;5.342;N/A;N/A;N/A
112;CXCO11;LAJES CORPORATIVAS;57,11;191.820,48;0,57;0,49;0,81 %;2,73 %;5,49 %;11,18 %;0,91 %;0,92 %;0,93 %;10,17 %;-8,35 %;-7,60 %;-7,91 %;399.786.890,63;101,87;0,56;0,67 %;2,59 %;3,27 %;16,37 %;24;12,95;13.723;N/A;N/A;N/A
113;CXRI11;FUNDO DE FUNDOS;71,61;48.976,65;0,86;0,59;0,80 %;2,33 %;4,64 %;9,09 %;0,78 %;0,77 %;0,76 %;9,09 %;-2,83 %;-2,05 %;6,00 %;134.018.541,62;85,05;0,84;0,69 %;2,90 %;3,62 %;8,43 %;1;45,71;1.984;N/A;N/A;N/A
114;CXTL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;216,00;1.811,87;0,55;1,55;0,69 %;2,48 %;4,43 %;9,59 %;0,83 %;0,74 %;0,80 %;9,59 %;1,22 %;1,92 %;7,55 %;21.392.528,84;399,14;0,54;0,56 %;-18,46 %;-18,00 %;-31,25 %;1;35,57;704;N/A;N/A;N/A
115;CYCR11;INDEFINIDO;8,75;501.038,30;0,91;0,09;1,03 %;2,87 %;6,60 %;13,42 %;0,96 %;1,10 %;1,12 %;12,30 %;-10,17 %;-9,25 %;10,36 %;345.756.286,09;9,46;0,92;1,06 %;-0,84 %;0,21 %;-89,19 %;14;10,91;16.771;N/A;N/A;N/A
116;DAMA11;MISTO;9,79;56.049,09;1,02;0,08;0,82 %;2,54 %;4,09 %;4,09 %;0,85 %;1,36 %;1,36 %;4,09 %;-1,32 %;-0,51 %;2,77 %;44.206.710,71;N/A;N/A;N/A;N/A;N/A;N/A;14;17,50;699;N/A;N/A;N/A
117;DAMT11B;SHOPPINGS;11,45;14,00;0,83;0,04;0,33 %;0,00 %;0,00 %;0,68 %;0,00 %;0,00 %;0,68 %;0,33 %;-17,00 %;-16,72 %;-16,72 %;243.954.885,38;N/A;N/A;N/A;N/A;N/A;N/A;2;73,80;553;N/A;N/A;N/A
118;DCRA11;MISTO;7,69;107.014,87;N/A;0,10;1,25 %;3,68 %;7,92 %;15,40 %;1,23 %;1,32 %;1,28 %;12,88 %;-3,60 %;-2,40 %;5,75 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;12,06;0;N/A;N/A;N/A
119;DEVA11;PAPÉIS;32,94;860.981,96;0,33;0,45;1,23 %;3,64 %;7,24 %;15,27 %;1,21 %;1,21 %;1,27 %;12,87 %;-3,90 %;-2,72 %;-0,81 %;1.397.215.436,97;99,48;0,33;0,45 %;-1,80 %;-1,35 %;18,29 %;14;25,39;102.184;N/A;N/A;N/A
120;DLMT11;VAREJO;N/A;N/A;N/A;0,00;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;7.821.102,86;N/A;N/A;N/A;N/A;N/A;N/A;21;N/A;9;N/A;N/A;N/A
121;DPRO11;INDEFINIDO;6,70;4.291,35;0,75;0,06;0,91 %;2,42 %;4,77 %;8,78 %;0,81 %;0,80 %;0,73 %;7,42 %;-6,93 %;-6,09 %;-26,35 %;46.223.356,72;N/A;N/A;N/A;N/A;N/A;N/A;2;55,91;743;N/A;N/A;N/A
122;DRIT11B;LAJES CORPORATIVAS;83,30;1.547,00;0,65;0,76;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;59.359.067,92;128,13;0,65;0,37 %;-3,20 %;-2,83 %;5,37 %;18;29,85;1;N/A;N/A;N/A
123;DVFF11;FUNDO DE FUNDOS;6,85;16.011,43;0,79;0,07;0,99 %;2,89 %;5,74 %;11,37 %;0,96 %;0,96 %;0,95 %;9,43 %;-5,09 %;-4,15 %;-0,17 %;94.349.889,73;8,57;0,80;0,82 %;-90,59 %;-90,52 %;-89,65 %;14;17,15;1.734;N/A;N/A;N/A
124;EDFO11B;LAJES CORPORATIVAS;229,98;7.938,50;1,03;1,30;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;52.709.925,84;223,35;1,03;0,81 %;16,40 %;17,34 %;27,77 %;15;181,93;520;N/A;N/A;N/A
125;EDGA11;LAJES CORPORATIVAS;17,93;19.310,48;0,29;0,06;0,34 %;0,83 %;2,26 %;4,62 %;0,83 %;0,38 %;0,39 %;3,93 %;-0,95 %;-0,61 %;-11,06 %;238.474.358,50;62,63;0,29;0,10 %;2,17 %;2,27 %;-4,14 %;15;20,97;4.456;N/A;N/A;N/A
126;EGAF11;INDEFINIDO;87,49;579.794,48;0,89;1,25;1,42 %;3,88 %;7,63 %;14,94 %;1,29 %;1,27 %;1,25 %;13,73 %;-4,43 %;-3,08 %;1,61 %;308.579.376,04;98,53;0,89;1,20 %;0,00 %;0,00 %;0,00 %;0;9,27;12.212;N/A;N/A;N/A
127;ENDD11;INDEFINIDO;105,97;279.867,17;N/A;3,05;2,79 %;0,00 %;2,79 %;5,72 %;0,00 %;0,47 %;0,64 %;5,72 %;10,66 %;13,74 %;23,19 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;12,19;0;N/A;N/A;N/A
128;EQIA11;FIAGRO;N/A;N/A;N/A;0,45;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;0;N/A;N/A;N/A
129;EQIR11;INDEFINIDO;8,46;302.280,43;0,87;0,10;1,07 %;3,23 %;6,52 %;12,84 %;1,08 %;1,09 %;1,07 %;10,53 %;0,79 %;1,87 %;5,81 %;106.156.021,03;9,73;0,87;0,98 %;-0,31 %;0,67 %;-89,44 %;14;12,02;11.725;N/A;N/A;N/A
130;ERCR11;VAREJO;16.155,16;N/A;0,57;1.595,49;8,99 %;8,99 %;8,99 %;8,99 %;3,00 %;1,50 %;0,75 %;8,99 %;0,00 %;0,00 %;N/A;67.015.924,31;28.205,36;0,57;8,13 %;-57,61 %;-54,16 %;-51,37 %;14;55,95;10;N/A;N/A;N/A
131;ERPA11;LAJES CORPORATIVAS;133,99;123.513,22;0,94;0,84;0,63 %;1,27 %;1,91 %;3,13 %;0,42 %;0,32 %;0,26 %;3,13 %;0,00 %;0,00 %;N/A;71.092.835,38;141,92;0,94;0,59 %;3,54 %;4,15 %;28,13 %;1;53,83;421;N/A;N/A;N/A
132;ESUD11;INDEFINIDO;315,99;1.858,76;N/A;182,43;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;76,67;0;N/A;N/A;N/A
133;ESUT11;INDEFINIDO;32,00;6.400,00;N/A;64,25;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;70,68;0;N/A;N/A;N/A
134;ESUU11;INDEFINIDO;32,00;3.200,00;N/A;16,28;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;23,76;0;N/A;N/A;N/A
135;EURO11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;222,48;35.873,91;0,66;1,88;0,85 %;2,38 %;4,68 %;9,38 %;0,79 %;0,78 %;0,78 %;8,59 %;-8,14 %;-7,36 %;0,88 %;129.768.031,70;337,99;0,66;0,56 %;4,08 %;4,66 %;16,59 %;4;18,27;2.231;N/A;N/A;N/A
136;EVBI11;MISTO;9,50;286.897,04;0,95;0,08;0,87 %;2,39 %;4,71 %;9,43 %;0,80 %;0,79 %;0,79 %;7,84 %;-6,01 %;-5,20 %;6,28 %;415.216.580,97;9,95;0,95;0,75 %;-90,02 %;-89,95 %;-89,14 %;1;15,08;1.372;N/A;N/A;N/A
137;EXES11;INDEFINIDO;9,60;89.564,13;1,05;0,10;1,04 %;3,43 %;4,79 %;5,36 %;1,14 %;0,80 %;0,45 %;5,36 %;1,05 %;2,10 %;1,47 %;64.832.664,06;N/A;N/A;N/A;N/A;N/A;N/A;14;26,84;347;N/A;N/A;N/A
138;FAED11;EDUCACIONAL;138,22;79.069,57;0,64;1,58;1,08 %;3,14 %;6,29 %;12,17 %;1,05 %;1,05 %;1,01 %;10,13 %;-4,53 %;-3,50 %;8,30 %;152.205.713,73;219,83;0,63;0,72 %;1,01 %;1,74 %;8,28 %;18;14,00;4.488;N/A;N/A;N/A
139;FAMB11B;LAJES CORPORATIVAS;609,99;47.041,93;0,28;9,16;0,56 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;6,43 %;-47,80 %;-47,51 %;-50,38 %;263.155.960,84;3.593,26;0,17;0,25 %;0,53 %;0,79 %;12,82 %;15;48,36;2.285;N/A;N/A;N/A
140;FAOE11;INDEFINIDO;926,90;N/A;14,53;11,16;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;N/A;N/A;N/A;N/A;N/A;N/A;3;N/A;8.102;N/A;N/A;N/A
141;FATN11;LAJES CORPORATIVAS;87,96;551.396,48;0,86;0,85;0,94 %;2,83 %;5,65 %;11,35 %;0,94 %;0,94 %;0,95 %;9,42 %;-0,25 %;0,68 %;12,34 %;353.240.653,25;102,51;0,86;0,83 %;3,54 %;4,39 %;10,09 %;65;7,12;19.454;N/A;N/A;N/A
142;FCFL11;EDUCACIONAL;114,19;279.361,04;0,92;0,85;0,75 %;2,23 %;4,45 %;8,97 %;0,74 %;0,74 %;0,75 %;7,38 %;-1,43 %;-0,69 %;13,30 %;426.904.810,21;122,89;0,93;0,70 %;5,78 %;6,52 %;25,57 %;15;14,41;3.907;N/A;N/A;N/A
143;FEXC11;PAPÉIS;83,50;860.137,12;0,10;0,50;0,00 %;1,08 %;4,14 %;11,48 %;0,36 %;0,69 %;0,96 %;0,00 %;0,00 %;0,00 %;N/A;1.001.470.167,13;90,75;0,92;0,99 %;-1,13 %;-0,15 %;7,12 %;0;14,57;36.232;N/A;N/A;N/A
144;FGAA11;INDEFINIDO;8,15;1.173.659,35;0,85;0,11;1,26 %;3,73 %;7,51 %;14,84 %;1,24 %;1,25 %;1,24 %;12,37 %;-3,91 %;-2,70 %;6,10 %;434.008.539,98;9,63;0,85;1,09 %;0,00 %;0,00 %;0,00 %;0;11,38;54.116;N/A;N/A;N/A
145;FIGS11;SHOPPINGS;49,77;105.944,83;0,61;0,43;0,84 %;2,47 %;4,83 %;9,35 %;0,82 %;0,81 %;0,78 %;8,56 %;-2,05 %;-1,23 %;-2,47 %;231.766.108,29;81,32;0,61;0,53 %;6,33 %;6,89 %;-14,01 %;16;10,24;13.282;N/A;N/A;N/A
146;FIIB11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;503,22;257.048,09;1,07;3,75;0,74 %;2,22 %;4,32 %;8,45 %;0,74 %;0,72 %;0,70 %;7,72 %;2,12 %;2,87 %;9,58 %;323.504.373,59;472,27;1,07;0,77 %;2,34 %;3,13 %;13,40 %;7;13,24;15.800;N/A;N/A;N/A
147;FIIP11B;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;161,37;39.426,09;0,80;1,40;0,87 %;2,58 %;5,03 %;10,04 %;0,86 %;0,84 %;0,84 %;9,17 %;-3,92 %;-3,09 %;6,42 %;186.292.089,42;200,93;0,80;0,72 %;7,93 %;8,70 %;9,61 %;8;15,88;6.990;N/A;N/A;N/A
148;FISC11;LAJES CORPORATIVAS;65,00;29.955,74;0,54;0,47;0,63 %;2,27 %;3,26 %;4,82 %;0,76 %;0,54 %;0,40 %;4,21 %;23,99 %;24,77 %;10,25 %;204.834.951,57;120,49;0,54;0,42 %;4,72 %;5,16 %;5,68 %;1;101,78;184;N/A;N/A;N/A
149;FLCR11;PAPÉIS;96,95;723.624,04;1,03;1,15;1,18 %;3,54 %;7,24 %;14,29 %;1,18 %;1,21 %;1,19 %;12,01 %;1,33 %;2,52 %;18,59 %;59.850.291,08;94,46;1,03;1,22 %;-4,02 %;-2,86 %;6,83 %;1;6,80;3.255;N/A;N/A;N/A
150;FLFL11;FUNDO DE DESENVOLVIMENTO;N/A;N/A;N/A;0,18;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;492.126.263,94;N/A;N/A;N/A;N/A;N/A;N/A;2;N/A;1;N/A;N/A;N/A
151;FLMA11;LAJES CORPORATIVAS;134,00;50.376,48;0,62;1,01;0,73 %;2,33 %;4,61 %;8,69 %;0,78 %;0,77 %;0,72 %;7,22 %;-2,73 %;-2,02 %;11,48 %;300.153.023,92;217,40;0,62;0,46 %;35,66 %;36,29 %;48,75 %;16;12,24;13.437;N/A;N/A;N/A
152;FLRP11;SHOPPINGS;1.997,85;9.387,39;0,87;13,00;0,66 %;1,99 %;3,35 %;6,78 %;0,66 %;0,56 %;0,57 %;6,07 %;4,56 %;5,25 %;9,33 %;164.758.568,88;2.288,31;0,87;0,57 %;25,27 %;25,98 %;40,67 %;15;32,70;815;N/A;N/A;N/A
153;FMOF11;LAJES CORPORATIVAS;50,97;406,13;0,44;0,50;0,93 %;0,00 %;0,93 %;0,93 %;0,00 %;0,93 %;0,93 %;0,93 %;0,00 %;0,00 %;N/A;59.529.689,77;117,07;0,44;0,43 %;-1,28 %;-0,86 %;-3,95 %;1;52,64;266;N/A;N/A;N/A
154;FPAB11;LAJES CORPORATIVAS;234,00;16.875,13;0,68;1,00;0,44 %;0,80 %;1,83 %;5,02 %;0,80 %;0,31 %;0,42 %;3,72 %;-8,40 %;-7,99 %;6,51 %;256.351.560,63;341,80;0,68;0,26 %;-8,86 %;-8,62 %;-12,34 %;1;44,33;797;N/A;N/A;N/A
155;FRHY11;INDEFINIDO;N/A;N/A;N/A;1,03;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;2.353.983,36;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;7;N/A;N/A;N/A
156;FVPQ11;SHOPPINGS;57,10;73.138,09;0,30;0,41;0,66 %;1,26 %;3,42 %;8,21 %;0,42 %;0,57 %;0,68 %;7,33 %;-13,00 %;-12,43 %;-39,73 %;536.375.789,79;191,55;0,30;0,22 %;-0,37 %;-0,15 %;1,51 %;15;17,31;4.180;N/A;N/A;N/A
157;FZDA11;INDEFINIDO;116,00;1.634,74;0,64;1,05;0,83 %;0,00 %;0,00 %;0,83 %;0,00 %;0,00 %;0,83 %;0,83 %;6,72 %;7,61 %;7,61 %;279.704.249,63;223,84;0,52;0,47 %;0,00 %;0,00 %;0,00 %;0;54,81;375;N/A;N/A;N/A
158;FZDB11;INDEFINIDO;124,00;589,65;0,73;3,91;3,49 %;0,00 %;0,00 %;3,49 %;0,00 %;0,00 %;3,49 %;3,49 %;0,00 %;0,00 %;N/A;607.517.152,33;99,99;1,24;3,91 %;0,00 %;0,00 %;0,00 %;0;38,29;103;N/A;N/A;N/A
159;GAME11;INDEFINIDO;8,93;91.949,91;0,93;0,09;1,02 %;3,03 %;6,10 %;12,60 %;1,01 %;1,02 %;1,05 %;10,29 %;-1,99 %;-0,99 %;14,80 %;208.009.510,65;9,59;0,93;0,94 %;-2,54 %;-1,63 %;-98,85 %;14;8,52;24.514;N/A;N/A;N/A
160;GARE11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;9,02;6.541.871,83;1,00;0,09;1,01 %;2,98 %;5,96 %;11,65 %;0,99 %;0,99 %;0,97 %;10,75 %;1,33 %;2,36 %;9,13 %;1.146.606.296,61;N/A;N/A;N/A;N/A;N/A;N/A;1;8,16;260.897;N/A;N/A;N/A
161;GCFF11;FUNDO DE FUNDOS;69,30;87.694,83;1,09;3,07;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;4,27 %;0,00 %;0,00 %;N/A;118.155.565,38;77,31;0,90;0,97 %;-5,00 %;-4,08 %;-7,97 %;1;1,15;8.102;N/A;N/A;N/A
162;GCOI11;INDEFINIDO;98,99;645,57;1,04;0,81;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;10.763.224,09;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;354;N/A;N/A;N/A
163;GCRA11;INDEFINIDO;48,32;239.974,57;0,56;0,64;1,22 %;3,53 %;7,26 %;15,55 %;1,18 %;1,21 %;1,30 %;12,76 %;-14,34 %;-13,30 %;-13,07 %;151.139.585,89;86,32;0,56;0,78 %;-11,92 %;-11,23 %;0,07 %;0;19,92;8.316;N/A;N/A;N/A
164;GCRI11;PAPÉIS;67,25;162.778,22;0,75;0,87;1,36 %;3,81 %;7,34 %;14,27 %;1,27 %;1,22 %;1,19 %;11,94 %;-7,50 %;-6,24 %;-9,53 %;130.328.158,16;89,64;0,75;0,95 %;-5,01 %;-4,11 %;-2,06 %;14;11,17;4.540;N/A;N/A;N/A
165;GESE11B;EDUCACIONAL;1.520,00;N/A;23,82;1.112,72;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;1.119,08;1,36;104,32 %;-36,85 %;29,02 %;33,17 %;14;N/A;8.102;N/A;N/A;N/A
166;GGRC11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;10,15;1.530.659,78;0,90;0,10;0,97 %;2,75 %;5,28 %;10,13 %;0,92 %;0,88 %;0,84 %;9,30 %;-3,02 %;-2,08 %;1,97 %;1.198.307.235,87;11,33;0,90;0,80 %;-90,89 %;-90,82 %;-90,57 %;1;7,46;132.517;N/A;N/A;N/A
167;GLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;60,60;27.168,48;0,56;0,50;0,86 %;2,54 %;5,00 %;10,32 %;0,85 %;0,83 %;0,86 %;9,28 %;-0,10 %;0,76 %;4,75 %;81.401.651,67;N/A;N/A;N/A;N/A;N/A;N/A;2;18,80;2.422;N/A;N/A;N/A
168;GRUL11;LOGÍSTICA;8,50;541.394,89;0,91;0,11;1,24 %;1,24 %;1,24 %;1,24 %;1,24 %;1,24 %;1,24 %;1,24 %;0,00 %;0,00 %;N/A;236.651.074,27;N/A;N/A;N/A;N/A;N/A;N/A;14;67,27;3.638;N/A;N/A;N/A
169;GRWA11;INDEFINIDO;8,98;22.231,78;0,89;0,11;1,15 %;3,31 %;6,60 %;14,06 %;1,10 %;1,10 %;1,17 %;11,31 %;-7,42 %;-6,35 %;-7,83 %;27.671.946,05;10,03;0,90;1,05 %;0,00 %;0,00 %;0,00 %;0;21,10;2.637;N/A;N/A;N/A
170;GSFI11;SHOPPINGS;7,59;186.838,83;0,56;0,00;0,03 %;0,03 %;0,03 %;0,03 %;0,01 %;0,00 %;0,00 %;0,03 %;0,00 %;0,03 %;0,03 %;1.249.778.359,29;11,90;0,64;0,01 %;0,01 %;0,02 %;0,02 %;23;15,10;7.390;N/A;N/A;N/A
171;GTLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;63,99;22.885,25;1,00;60,62;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;37,59 %;0,00 %;0,00 %;N/A;118.155.565,38;60,62;1,06;100,00 %;-35,83 %;28,33 %;35,22 %;1;34,61;8.102;N/A;N/A;N/A
172;GTWR11;LAJES CORPORATIVAS;73,74;812.797,96;0,73;0,79;1,05 %;3,04 %;5,97 %;11,75 %;1,01 %;1,00 %;0,98 %;10,75 %;-3,75 %;-2,74 %;5,42 %;1.216.799.173,79;101,43;0,73;0,78 %;7,11 %;7,94 %;13,63 %;17;12,47;43.187;N/A;N/A;N/A
173;GURB11;INDEFINIDO;108,00;5.000.076,00;0,94;0,70;0,65 %;0,00 %;0,00 %;0,65 %;0,00 %;0,00 %;0,65 %;0,65 %;0,00 %;0,00 %;N/A;131.121.732,66;N/A;N/A;N/A;N/A;N/A;N/A;2;1,17;1;N/A;N/A;N/A
174;GZIT11;INDEFINIDO;45,74;1.473.524,17;0,49;0,78;1,63 %;4,49 %;8,71 %;12,41 %;1,50 %;1,45 %;1,24 %;12,41 %;-12,25 %;-10,82 %;-20,32 %;2.074.219.314,09;N/A;N/A;N/A;N/A;N/A;N/A;22;18,32;5.624;N/A;N/A;N/A
