;Fundos;Setor;Preço Atual (R$);Liquidez Diária (R$);P/VP;Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas;Tax. Gestão;Tax. Performance;Tax. Administração
32;BCIA11;FUNDO DE FUNDOS;86,55;652.447,65;0,85;0,84;0,92 %;2,71 %;5,30 %;10,39 %;0,90 %;0,88 %;0,87 %;9,51 %;-2,08 %;-1,18 %;4,18 %;379.810.891,17;102,13;0,85;0,85 %;1,87 %;2,73 %;7,37 %;14;15,29;28.300;N/A;N/A;N/A
33;BCRI11;PAPÉIS;63,27;539.285,17;0,73;0,84;1,30 %;3,63 %;7,20 %;13,73 %;1,21 %;1,20 %;1,14 %;12,60 %;-2,41 %;-1,14 %;10,60 %;546.529.312,13;87,33;0,72;0,93 %;-13,46 %;-12,65 %;-6,12 %;14;12,84;44.149;N/A;N/A;N/A
34;BDIF11;INDEFINIDO;77,50;5.897.201,43;N/A;0,78;0,98 %;2,80 %;6,00 %;12,77 %;0,93 %;1,00 %;1,06 %;10,52 %;-2,12 %;-1,16 %;1,06 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;11,51;0;N/A;N/A;N/A
35;BDIV11;INDEFINIDO;36,67;961.040,43;N/A;65,73;52,92 %;59,18 %;65,70 %;78,53 %;19,73 %;10,95 %;6,54 %;72,50 %;-2,82 %;48,61 %;100,54 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;68,80;0;N/A;N/A;N/A
36;BETW11;INDEFINIDO;N/A;N/A;N/A;0,51;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;251.600.631,09;N/A;N/A;N/A;N/A;N/A;N/A;15;N/A;1;N/A;N/A;N/A
37;BICE11;FUNDO DE FUNDOS;950,00;314,35;0,93;4,93;0,51 %;1,50 %;4,13 %;5,46 %;0,50 %;0,69 %;0,46 %;5,46 %;0,46 %;0,98 %;9,60 %;122.296.559,14;1.024,66;0,93;0,46 %;2,80 %;3,27 %;10,74 %;14;47,38;119;N/A;N/A;N/A
38;BICR11;PAPÉIS;35,92;2.371,04;0,82;0,36;1,01 %;2,31 %;3,81 %;5,13 %;0,77 %;0,64 %;0,43 %;4,47 %;-10,54 %;-9,63 %;-27,01 %;22.167.440,02;44,33;0,81;0,59 %;-55,37 %;-55,11 %;-50,76 %;14;86,70;668;N/A;N/A;N/A
39;BIDB11;INDEFINIDO;85,00;481.161,04;N/A;1,00;1,14 %;3,53 %;6,70 %;14,37 %;1,18 %;1,12 %;1,20 %;13,08 %;-1,61 %;-0,49 %;19,30 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;10,81;0;N/A;N/A;N/A
40;BIME11;INDEFINIDO;7,31;75.654,87;0,85;0,09;1,18 %;3,59 %;7,07 %;13,95 %;1,20 %;1,18 %;1,16 %;11,64 %;1,82 %;3,02 %;18,27 %;50.169.666,70;8,58;0,85;0,99 %;-4,98 %;-4,04 %;2,89 %;3;6,75;8.945;N/A;N/A;N/A
41;BIPD11;INDEFINIDO;915,10;94.906,00;0,92;73,07;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;79.381.822,14;N/A;N/A;N/A;N/A;N/A;N/A;15;15,97;111;N/A;N/A;N/A
42;BLCA11;INDEFINIDO;97,51;41.548,52;0,82;0,50;0,51 %;1,55 %;3,01 %;18,77 %;0,52 %;0,50 %;1,56 %;8,88 %;-0,19 %;0,32 %;-15,31 %;190.814.526,77;119,26;0,82;0,42 %;-16,96 %;-16,61 %;17,90 %;15;30,45;499;N/A;N/A;N/A
43;BLCP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;91,00;103.127,50;1,43;0,56;0,63 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;4,26 %;0,00 %;0,00 %;N/A;118.155.565,38;111,74;0,81;0,50 %;-0,02 %;0,49 %;15,81 %;14;0,87;8.102;N/A;N/A;N/A
44;BLMC11;PAPÉIS;85,75;150.671,33;1,34;5,34;0,00 %;0,00 %;0,00 %;2,41 %;0,00 %;0,00 %;0,20 %;0,74 %;0,00 %;0,00 %;N/A;118.155.565,38;94,69;0,91;1,13 %;-1,48 %;-0,36 %;2,88 %;14;19,96;8.102;N/A;N/A;N/A
45;BLMG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;34,27;742.366,70;0,49;0,50;1,30 %;3,85 %;7,49 %;13,97 %;1,28 %;1,25 %;1,16 %;12,09 %;-6,75 %;-5,54 %;-8,41 %;299.788.809,70;69,96;0,49;0,71 %;-27,08 %;-26,56 %;-23,39 %;16;18,92;14.148;N/A;N/A;N/A
46;BLMO11;LAJES CORPORATIVAS;72,93;32.774,48;0,70;0,45;0,62 %;1,83 %;3,46 %;176,86 %;0,61 %;0,58 %;14,74 %;5,49 %;-0,48 %;0,14 %;-13,68 %;103.478.787,38;104,02;0,70;0,43 %;-99,65 %;-99,65 %;-99,60 %;15;54,86;397;N/A;N/A;N/A
47;BLMR11;FUNDO DE FUNDOS;6,78;1.157.702,33;0,11;0,37;0,00 %;0,00 %;0,00 %;0,79 %;0,00 %;0,00 %;0,79 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;7,61;0,89;0,70 %;-1,68 %;-0,99 %;1,82 %;14;19,38;8.102;N/A;N/A;N/A
48;BLOG11;MISTO;10,50;436,39;1,03;0,07;0,70 %;0,70 %;0,70 %;0,70 %;0,70 %;0,70 %;0,70 %;0,70 %;0,00 %;0,00 %;N/A;145.432.458,26;N/A;N/A;N/A;N/A;N/A;N/A;14;19,23;4;N/A;N/A;N/A
49;BLUR11;PAPÉIS;80,05;1.330,00;0,95;0,60;0,60 %;2,08 %;3,06 %;6,35 %;0,69 %;0,51 %;0,53 %;5,75 %;1,57 %;2,18 %;15,42 %;7.604.839,18;N/A;N/A;N/A;N/A;N/A;N/A;14;86,36;1;N/A;N/A;N/A
50;BMLC11;LAJES CORPORATIVAS;99,28;36.114,87;1,00;0,70;0,72 %;2,07 %;4,50 %;22,22 %;0,69 %;0,75 %;1,85 %;21,48 %;-1,33 %;-0,62 %;16,89 %;99.077.569,99;99,24;1,00;0,68 %;-12,54 %;-11,95 %;-3,86 %;2;21,64;1.384;N/A;N/A;N/A
51;BNFS11;AGÊNCIAS DE BANCOS;107,56;103.709,96;1,28;1,36;1,21 %;3,59 %;7,19 %;14,16 %;1,20 %;1,20 %;1,18 %;13,00 %;-3,35 %;-2,18 %;8,90 %;59.129.173,28;84,47;1,27;1,65 %;-7,58 %;-6,05 %;0,04 %;32;10,20;114.536;N/A;N/A;N/A
52;BODB11;INDEFINIDO;8,11;2.101.478,65;N/A;0,10;1,21 %;3,23 %;6,51 %;11,86 %;1,08 %;1,09 %;0,99 %;11,86 %;-5,49 %;-4,34 %;2,94 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;8,59;0;N/A;N/A;N/A
53;BPFF11;FUNDO DE FUNDOS;60,25;310.146,35;0,83;0,60;0,97 %;2,82 %;5,54 %;10,88 %;0,94 %;0,92 %;0,91 %;9,96 %;-5,99 %;-5,08 %;2,14 %;328.607.977,19;73,15;0,82;0,85 %;-0,46 %;0,38 %;3,33 %;14;12,20;21.211;N/A;N/A;N/A
54;BPLC11;MISTO;N/A;N/A;N/A;14,42;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;328.533.893,90;N/A;N/A;N/A;N/A;N/A;N/A;15;N/A;114;N/A;N/A;N/A
55;BPML11;SHOPPINGS;81,00;770.221,91;0,62;1,07;1,34 %;3,81 %;7,37 %;11,61 %;1,27 %;1,23 %;0,97 %;11,61 %;-11,73 %;-10,55 %;62,18 %;961.122.014,82;129,15;0,63;0,83 %;3,53 %;4,38 %;5,37 %;19;20,05;6.147;N/A;N/A;N/A
56;BPRP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;107,50;560,87;0,86;0,93;0,00 %;0,86 %;2,68 %;4,54 %;0,86 %;0,45 %;0,38 %;4,54 %;0,00 %;0,00 %;N/A;169.496.975,27;N/A;N/A;N/A;N/A;N/A;N/A;15;44,81;171;N/A;N/A;N/A
57;BRCO11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;104,30;3.404.649,43;0,88;0,87;0,81 %;2,37 %;4,69 %;9,29 %;0,79 %;0,78 %;0,77 %;8,46 %;-2,47 %;-1,68 %;2,22 %;1.891.275.643,49;118,91;0,88;0,73 %;-2,12 %;-1,40 %;7,30 %;26;13,20;120.569;N/A;N/A;N/A
58;BRCR11;LAJES CORPORATIVAS;44,33;1.435.022,78;0,49;0,50;1,12 %;3,15 %;6,07 %;10,67 %;1,05 %;1,01 %;0,89 %;9,16 %;-8,83 %;-7,81 %;-14,38 %;2.375.457.375,38;89,17;0,50;0,56 %;-10,88 %;-10,38 %;-11,68 %;20;16,59;133.840;N/A;N/A;N/A
59;BREV11;LAJES CORPORATIVAS;105,00;231.364,35;1,65;0,58;0,55 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;10,03 %;0,32 %;0,87 %;22,08 %;118.155.565,38;N/A;N/A;0,00 %;-100,00 %;0,00 %;0,00 %;1;0,34;8.102;N/A;N/A;N/A
60;BRFT11;MISTO;82,99;113.163,74;N/A;1,10;1,35 %;4,23 %;6,91 %;6,91 %;1,41 %;1,73 %;1,73 %;6,91 %;-2,70 %;-1,39 %;7,91 %;N/A;N/A;N/A;0,00 %;0,00 %;0,00 %;0,00 %;0;47,65;0;N/A;N/A;N/A
61;BRIM11;FUNDO DE DESENVOLVIMENTO;1.120,00;33.888,43;1,46;48,33;4,39 %;12,45 %;18,18 %;24,94 %;4,15 %;3,03 %;2,08 %;24,94 %;-3,83 %;0,39 %;33,70 %;93.606.557,34;N/A;N/A;N/A;N/A;N/A;N/A;1;78,60;330;N/A;N/A;N/A
62;BRIP11;FUNDO DE DESENVOLVIMENTO;947,99;8.500,22;0,97;26,06;3,07 %;7,43 %;11,67 %;15,89 %;2,48 %;1,95 %;1,32 %;15,89 %;-6,27 %;-3,39 %;15,69 %;210.701.788,81;N/A;N/A;N/A;N/A;N/A;N/A;10;58,82;305;N/A;N/A;N/A
63;BRLA11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;148,00;21.194,28;0,85;1,15;0,78 %;0,78 %;2,26 %;3,04 %;0,78 %;0,38 %;0,25 %;3,04 %;0,00 %;0,00 %;N/A;792.805.570,32;164,72;0,90;0,70 %;4,26 %;4,99 %;-3,27 %;22;76,52;349;N/A;N/A;N/A
64;BROF11;LAJES CORPORATIVAS;47,19;388.674,96;0,43;0,44;0,96 %;2,78 %;5,67 %;11,54 %;0,93 %;0,95 %;0,96 %;9,59 %;-2,45 %;-1,51 %;-8,06 %;1.261.652.855,07;N/A;N/A;N/A;N/A;N/A;N/A;3;21,78;10.228;N/A;N/A;N/A
65;BRZP11;N/A;99,80;669.141,91;N/A;0,66;0,65 %;1,88 %;3,54 %;6,47 %;0,63 %;0,59 %;0,54 %;5,95 %;-4,27 %;-3,65 %;20,74 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;14,85;0;N/A;N/A;N/A
66;BTAG11;INDEFINIDO;81,01;665.963,70;N/A;1,15;1,31 %;3,82 %;7,23 %;14,66 %;1,27 %;1,21 %;1,22 %;12,04 %;-3,16 %;-1,89 %;1,50 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;20,49;0;N/A;N/A;N/A
67;BTAL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;70,26;546.888,09;0,63;0,84;1,17 %;3,36 %;6,87 %;12,44 %;1,12 %;1,15 %;1,04 %;10,64 %;-5,74 %;-4,64 %;14,34 %;672.696.794,75;112,44;0,62;0,75 %;7,02 %;7,82 %;16,89 %;23;16,16;42.074;N/A;N/A;N/A
68;BTCI11;PAPÉIS;9,12;1.802.848,70;0,92;0,09;0,95 %;2,87 %;5,76 %;11,65 %;0,96 %;0,96 %;0,97 %;9,56 %;-3,46 %;-2,54 %;13,82 %;998.958.585,38;N/A;N/A;N/A;N/A;N/A;N/A;14;11,52;180.045;N/A;N/A;N/A
69;BTCR11;PAPÉIS;88,00;223.492,70;1,38;0,90;0,98 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;12,53 %;-5,96 %;-5,04 %;14,54 %;118.155.565,38;95,27;0,92;0,94 %;0,64 %;1,59 %;4,62 %;14;32,78;8.102;N/A;N/A;N/A
70;BTHI11;HOTÉIS;39,00;58.379,35;0,61;0,41;1,07 %;2,63 %;5,08 %;9,73 %;0,88 %;0,85 %;0,81 %;8,79 %;4,73 %;5,85 %;-4,10 %;581.380.927,35;N/A;N/A;N/A;N/A;N/A;N/A;26;31,75;1.110;N/A;N/A;N/A
71;BTLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;95,85;9.386.396,91;0,92;0,78;0,81 %;2,35 %;4,69 %;9,35 %;0,78 %;0,78 %;0,78 %;7,78 %;-3,41 %;-2,63 %;7,17 %;4.513.805.717,93;104,37;0,92;0,75 %;5,67 %;6,46 %;11,95 %;1;9,59;360.950;N/A;N/A;N/A
