TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CGRA3;25,24;5,66;5,91;0,58;0,42;53,77;6,83;12,81;11,07;8,08;-3,05;-0,16;0,76;1,56;-0,74;2,66;9,80;7,10;3,78;0,72;0,28;0,55;9,76;6,93;45.976,75;43,61;4,27;-0,23;509.936.459,64
CGRA4;25,50;5,60;5,97;0,58;0,42;53,77;6,83;12,81;11,18;8,08;-3,05;-0,16;0,76;1,58;-0,74;2,66;9,80;7,10;3,78;0,72;0,28;0,55;9,76;6,93;209.167,08;43,61;4,27;-0,23;509.936.459,64
CIEL3;4,94;5,74;6,94;1,12;0,14;46,49;32,18;18,27;3,94;5,57;1,63;0,46;1,27;1,08;-1,20;1,17;16,16;2,00;12,10;0,12;0,85;0,11;-1,62;-13,77;145.718.959,46;4,41;0,71;0,19;13.421.066.401,34
CLSA3;3,36;;-22,52;0,88;0,70;34,44;-16,03;-5,38;-7,55;-3,09;4,47;-0,52;1,21;1,48;-2,05;3,59;-3,92;-3,12;-12,16;0,80;0,20;0,58;;;3.652.721,33;3,81;-0,15;0,33;631.431.561,60
CLSC3;68,82;2,44;4,65;0,83;0,23;15,15;9,04;5,50;2,82;4,67;1,90;0,56;0,26;-3,67;-0,33;0,83;17,93;4,93;13,59;0,27;0,73;0,90;7,34;53,76;29.590,80;82,64;14,82;0,06;2.605.412.205,60
CLSC4;66,69;2,77;4,50;0,81;0,22;15,15;9,04;5,50;2,74;4,67;1,90;0,56;0,25;-3,55;-0,32;0,83;17,93;4,93;13,59;0,27;0,73;0,90;7,34;53,76;283.200,21;82,64;14,82;0,06;2.605.412.205,60
CMIG3;15,08;6,57;4,97;1,36;0,59;24,73;21,11;18,52;4,36;4,69;1,04;0,32;0,92;10,36;-0,79;1,30;27,35;11,90;17,70;0,43;0,56;0,64;9,68;46,18;6.780.074,04;11,10;3,04;17,01;27.744.924.176,96
CMIG4;11,36;8,72;3,74;1,02;0,45;24,73;21,11;18,52;3,28;4,69;1,04;0,32;0,69;7,81;-0,59;1,30;27,35;11,90;17,70;0,43;0,56;0,64;9,68;46,18;134.471.222,46;11,10;3,04;12,81;27.744.924.176,96
CMIN3;6,63;10,52;11,80;3,18;1,23;46,73;30,79;17,76;6,81;6,40;-0,41;-0,19;2,10;4,08;-2,25;2,96;26,92;10,40;22,14;0,39;0,61;0,59;19,26;28,57;50.326.760,13;2,09;0,56;1,10;36.367.796.495,94
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,23;0,23;-0,96;;0,00;0,00;111,51;-421,62;-418,01;-415,76;0,99;0,01;0,00;;;;0,00;0,00;0,00;0,00
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,23;0,23;-0,96;;0,00;0,00;111,51;-421,62;-418,01;-415,76;0,99;0,01;0,00;;;;0,00;0,00;0,00;0,00
CNSY3;30,22;;-86,19;-23,75;5,37;18,72;7,08;-7,71;93,87;109,95;16,08;;6,65;-28,61;-6,18;0,41;-27,56;-6,23;4,37;-0,23;1,23;0,81;2,97;;;-1,27;-0,35;0,14;935.885.083,86
COCE3;50,01;0,62;7,10;0,92;0,30;17,53;14,52;6,27;3,06;6,65;4,31;1,29;0,44;-2,26;-0,39;0,64;12,93;4,18;10,92;0,32;0,68;0,67;13,27;4,72;10.002,00;54,49;7,05;1,36;2.974.901.258,91
COCE5;40,74;0,76;5,78;0,75;0,24;17,53;14,52;6,27;2,49;6,65;4,31;1,29;0,36;-1,84;-0,31;0,64;12,93;4,18;10,92;0,32;0,68;0,67;13,27;4,72;827.725,13;54,49;7,05;1,11;2.974.901.258,91
COCE6;19,17;1,61;2,72;0,35;0,11;17,53;14,52;6,27;1,17;6,65;4,31;1,29;0,17;-0,87;-0,15;0,64;12,93;4,18;10,92;0,32;0,68;0,67;13,27;4,72;;54,49;7,05;0,52;2.974.901.258,91
COGN3;2,68;;-16,82;0,42;0,20;64,83;9,61;-5,26;9,21;20,33;11,13;0,50;0,89;6,49;-0,24;1,21;-2,47;-1,19;2,42;0,48;0,48;0,23;-1,73;;76.626.091,29;6,44;-0,16;-1,13;5.029.304.642,80
CORR3;2,71;2.762,62;0,01;0,01;0,00;100,00;2.689,16;2.211,14;0,01;-1,20;-1,35;-2,58;0,19;0,01;-0,02;4,25;157,36;45,49;138,37;0,29;0,71;0,02;-16,36;;;201,49;317,06;0,00;1.278.894,65
CORR4;82,00;91,30;0,26;0,41;0,12;100,00;2.689,16;2.211,14;0,21;-1,20;-1,35;-2,58;5,72;0,20;-0,48;4,25;157,36;45,49;138,37;0,29;0,71;0,02;-16,36;;;201,49;317,06;0,00;1.278.894,65
CPFE3;35,63;9,40;7,65;2,26;0,56;33,17;28,29;13,44;3,63;5,35;1,72;1,07;1,03;-13,39;-0,72;0,85;29,54;7,28;19,86;0,25;0,74;0,54;8,03;35,39;69.258.114,46;15,77;4,66;1,24;41.054.825.697,20
CPLE11;50,12;3,28;14,94;1,29;0,54;21,02;13,52;9,07;10,03;13,24;3,21;0,41;1,36;6,92;-0,71;1,48;8,61;3,59;7,22;0,42;0,58;0,40;9,35;14,12;12.760.068,47;38,98;3,35;0,12;29.899.693.364,18
CPLE3;9,00;3,38;13,42;1,15;0,48;21,02;13,52;9,07;9,00;13,24;3,21;0,41;1,22;6,22;-0,63;1,48;8,61;3,59;7,22;0,42;0,58;0,40;9,35;14,12;55.742.865,58;7,80;0,67;0,10;29.899.693.364,18
CPLE5;23,50;1,77;35,03;3,01;1,26;21,02;13,52;9,07;23,50;13,24;3,21;0,41;3,18;16,23;-1,65;1,48;8,61;3,59;7,22;0,42;0,58;0,40;9,35;14,12;9.822,73;7,80;0,67;0,27;29.899.693.364,18
CPLE6;10,06;3,32;15,00;1,29;0,54;21,02;13,52;9,07;10,06;13,24;3,21;0,41;1,36;6,95;-0,71;1,48;8,61;3,59;7,22;0,42;0,58;0,40;9,35;14,12;134.760.078,92;7,80;0,67;0,12;29.899.693.364,18
CPRE3;18,23;;8,36;1,81;0,89;54,95;40,56;44,52;9,18;8,84;-0,34;-0,07;3,72;-4,97;-1,09;0,50;21,64;10,67;13,12;0,49;0,50;0,24;12,91;157,26;;10,07;2,18;6,11;10.824.655.047,92
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
CRFB3;10,91;1,35;29,95;1,16;0,26;19,28;4,13;0,70;5,05;8,75;3,69;0,85;0,21;-5,90;-0,47;0,91;3,88;0,88;9,16;0,23;0,76;1,26;15,40;-13,64;90.076.300,38;9,38;0,36;-0,42;23.001.492.024,01
CRIV3;6,04;;22,45;0,58;0,04;23,64;0,82;1,29;35,47;36,00;;;0,29;0,09;-0,09;86,37;2,60;0,19;;0,07;0,92;0,15;18,33;-15,68;56.925,38;10,35;0,27;-0,10;631.056.358,51
CRIV4;6,25;;23,23;0,60;0,05;23,64;0,82;1,29;36,71;36,00;;;0,30;0,09;-0,09;86,37;2,60;0,19;;0,07;0,92;0,15;18,33;-15,68;558.554,19;10,35;0,27;-0,11;631.056.358,51
CRPG3;40,99;12,80;17,88;1,72;1,27;7,03;3,33;11,13;59,75;50,12;-4,76;-0,14;1,99;2,34;-4,05;4,80;9,60;7,10;0,75;0,74;0,26;0,64;7,16;-3,38;6.148,50;23,88;2,29;-0,48;1.092.536.245,67
CRPG5;35,85;14,64;15,64;1,50;1,11;7,03;3,33;11,13;52,26;50,12;-4,76;-0,14;1,74;2,04;-3,54;4,80;9,60;7,10;0,75;0,74;0,26;0,64;7,16;-3,38;104.575,54;23,88;2,29;-0,42;1.092.536.245,67
CRPG6;36,20;14,50;15,79;1,52;1,12;7,03;3,33;11,13;52,77;50,12;-4,76;-0,14;1,76;2,06;-3,58;4,80;9,60;7,10;0,75;0,74;0,26;0,64;7,16;-3,38;47.578,69;23,88;2,29;-0,42;1.092.536.245,67
CSAB3;30,50;1,97;12,39;1,11;0,57;-124,00;1.656,27;2.521,73;18,86;24,57;;;312,32;3,54;-0,71;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;3.075,00;27,56;2,46;-0,02;305.164.800,00
CSAB4;48,97;1,35;19,89;1,78;0,91;-124,00;1.656,27;2.521,73;30,28;24,57;;;501,45;5,68;-1,15;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;60.668,75;27,56;2,46;-0,03;305.164.800,00
CSAN3;17,95;2,39;-72,80;1,82;0,24;26,67;30,14;-1,14;2,75;6,60;3,85;2,55;0,83;3,12;-0,31;1,62;-2,50;-0,34;10,29;0,13;0,65;0,29;38,95;;115.680.190,79;9,86;-0,25;0,57;33.639.573.229,40
CSED3;4,05;1,70;18,92;1,03;0,31;46,83;17,37;3,51;3,83;4,24;0,41;0,11;0,66;12,84;-0,40;1,12;5,42;1,65;16,50;0,30;0,70;0,47;15,05;-2,13;2.245.640,25;3,95;0,21;0,29;1.476.397.335,60
CSMG3;21,11;13,70;6,21;1,02;0,57;40,21;23,61;18,47;4,86;6,88;2,03;0,42;1,15;8,02;-0,71;1,58;16,38;9,22;10,82;0,56;0,44;0,50;7,38;18,19;29.772.626,46;20,75;3,40;0,06;8.027.142.286,59
CSNA3;17,12;11,45;-25,79;1,28;0,26;25,98;10,23;-1,98;4,98;10,93;5,95;1,53;0,51;2,06;-0,40;1,53;-4,96;-1,00;7,11;0,20;0,77;0,50;19,08;;110.407.031,25;13,39;-0,66;0,19;22.702.728.372,64
CSRN3;28,40;3,91;8,19;3,34;0,83;31,55;26,27;16,02;4,99;7,57;2,59;1,73;1,31;-144,65;-1,11;0,98;40,77;10,10;18,81;0,25;0,75;0,63;10,30;25,36;8.410,92;8,51;3,47;2,09;4.757.971.271,60
CSRN5;28,00;4,36;8,07;3,29;0,82;31,55;26,27;16,02;4,92;7,57;2,59;1,73;1,29;-142,61;-1,09;0,98;40,77;10,10;18,81;0,25;0,75;0,63;10,30;25,36;4.481,33;8,51;3,47;2,06;4.757.971.271,60
CSRN6;25,38;4,81;7,32;2,98;0,74;31,55;26,27;16,02;4,46;7,57;2,59;1,73;1,17;-129,26;-0,99;0,98;40,77;10,10;18,81;0,25;0,75;0,63;10,30;25,36;2.572,25;8,51;3,47;1,87;4.757.971.271,60
CSUD3;19,05;5,28;9,22;1,93;1,31;39,20;21,27;16,20;7,02;6,97;-0,05;-0,01;1,49;20,42;-1,82;1,29;20,92;14,16;17,83;0,68;0,32;0,87;1,99;13,82;1.353.833,75;9,87;2,07;0,35;796.290.000,00
CTCA3;0,00;;0,00;0,00;0,00;57,29;23,31;29,83;0,00;-4,02;-4,02;-0,39;0,00;0,00;0,00;4,66;12,50;10,96;5,58;0,88;0,12;0,37;20,53;49,76;;2,69;0,34;0,00;0,00
CTKA3;14,83;;2,40;-0,74;0,15;40,51;10,29;6,12;1,43;8,59;7,05;;0,15;0,51;-0,47;1,75;-30,92;6,18;15,47;-0,20;1,20;1,01;14,61;;4.432,50;-20,01;6,19;-0,01;99.245.238,32
CTKA4;17,00;;2,75;-0,85;0,17;40,51;10,29;6,12;1,64;8,59;7,05;;0,17;0,58;-0,54;1,75;-30,92;6,18;15,47;-0,20;1,20;1,01;14,61;;15.728,63;-20,01;6,19;-0,01;99.245.238,32
CTNM3;9,46;;-0,69;1,21;0,09;14,02;-22,47;-29,57;-0,90;-3,89;-3,41;4,56;0,20;-0,29;-0,12;0,49;-175,93;-12,81;-18,67;0,07;0,86;0,43;-3,61;;56.535,07;7,84;-13,80;0,00;155.362.680,94
CTNM4;1,42;;-0,10;0,18;0,01;14,02;-22,47;-29,57;-0,14;-3,89;-3,41;4,56;0,03;-0,04;-0,02;0,49;-175,93;-12,81;-18,67;0,07;0,86;0,43;-3,61;;154.114,04;7,84;-13,80;0,00;155.362.680,94
CTSA3;3,82;;-2,16;0,46;0,17;-22,39;-15,56;-45,69;-6,34;-16,85;-10,51;0,76;0,99;2,06;-0,24;1,37;-21,36;-7,79;-4,49;0,36;0,64;0,17;-0,42;;85.859,08;8,28;-1,77;-0,05;106.290.663,42
CTSA4;1,77;;-1,00;0,21;0,08;-22,39;-15,56;-45,69;-2,94;-16,85;-10,51;0,76;0,46;0,95;-0,11;1,37;-21,36;-7,79;-4,49;0,36;0,64;0,17;-0,42;;103.454,04;8,28;-1,77;-0,02;106.290.663,42
CTSA8;0,00;;0,00;0,00;0,00;-22,39;-15,56;-45,69;0,00;-16,85;-10,51;0,76;0,00;0,00;0,00;1,37;-21,36;-7,79;-4,49;0,36;0,64;0,17;-0,42;;;8,28;-1,77;0,00;106.290.663,42
CURY3;18,23;3,19;12,88;5,76;1,69;37,81;19,69;15,56;10,18;9,29;-0,89;-0,50;2,00;4,01;-6,38;2,34;44,76;13,12;26,74;0,29;0,66;0,84;22,62;29,64;31.442.755,38;3,16;1,42;0,62;5.320.882.854,24
CVCB3;3,03;;-3,32;3,65;0,40;100,00;-7,43;-37,97;-16,98;-21,15;-4,16;0,90;1,26;-3,85;-0,88;0,84;-109,80;-11,90;-7,90;0,11;0,89;0,31;0,61;;65.883.572,42;0,83;-0,91;3,41;1.592.541.023,91
CXSE3;14,27;7,08;12,13;3,35;3,32;;;;10,92;10,44;-0,48;-0,15;;22,40;-3,94;17,58;27,65;27,40;26,40;0,99;0,01;0,00;;22,12;54.509.946,46;4,25;1,18;0,32;42.810.000.000,00
CYRE3;22,52;3,75;9,98;1,16;0,53;32,09;17,55;15,25;8,68;10,87;2,19;0,29;1,52;1,55;-1,10;2,93;11,59;5,30;6,62;0,46;0,50;0,35;15,15;;127.092.522,46;19,47;2,26;0,98;9.002.207.833,48
