Date,ABEV3.SA,ALSO3.SA,ARZZ3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BOVA11.SA,BPAC11.SA,BPAN4.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ITSA4.SA,ITUB3.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,JSLG3.SA,LREN3.SA,LWSA3.SA,MATB11.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,POSI3.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RRRP3.SA,SANB11.SA,SMAL11.SA,SQIA3.SA,TAEE11.SA,TOTS3.SA,UGPA3.SA,UNIP6.SA,USIM5.SA,VALE3.SA,VBBR3.SA,VIIA3.SA,VLID3.SA
2021-11-22,15.835101127624512,20.82353973388672,70.16409301757812,13.597360610961914,27.200000762939453,11.266339302062988,25.165935516357422,14.238086700439453,16.624492645263672,18.276424407958984,7.873820781707764,98.23999786376953,18.906286239624023,9.86142349243164,31.9910945892334,21.389999389648438,38.327720642089844,11.209189414978027,1.7810609340667725,7.952400207519531,4.32320499420166,20.67906951904297,5.354783535003662,15.29460620880127,18.38496971130371,17.76692008972168,14.829999923706055,13.38951587677002,12.549710273742676,8.63359260559082,34.9026985168457,31.248010635375977,29.271390914916992,15.029999732971191,38.27444839477539,22.110260009765625,17.74179458618164,16.35108184814453,20.330949783325195,8.962419509887695,16.200000762939453,12.763522148132324,27.17748260498047,19.742298126220703,99.56678771972656,7.511605262756348,18.437116622924805,20.633480072021484,31.584749221801758,4.230437278747559,6.030965328216553,29.585397720336914,13.541050910949707,53.040000915527344,8.84000015258789,17.844343185424805,10.87876033782959,19.090179443359375,22.413747787475586,12.779303550720215,11.454909324645996,7.668859004974365,21.530000686645508,19.567113876342773,16.326988220214844,22.006610870361328,16.784000396728516,5.2009711265563965,53.15275955200195,29.1200008392334,30.311521530151367,114.0,16.876842498779297,29.377357482910156,32.32263946533203,12.415502548217773,68.58605194091797,11.26891803741455,58.5780143737793,20.63817596435547,5.710000038146973,7.321340560913086
2021-11-23,15.725390434265137,20.699533462524414,68.05735778808594,13.6663818359375,26.899999618530273,11.154605865478516,26.2181396484375,14.590757369995117,16.945783615112305,18.025146484375,8.163433074951172,100.0,19.07712745666504,9.726336479187012,32.730430603027344,21.579999923706055,40.889427185058594,11.055109977722168,1.7894620895385742,8.082672119140625,4.402862548828125,20.768415451049805,5.451186656951904,15.507568359375,18.92780113220215,18.3781681060791,15.390000343322754,13.408112525939941,12.893436431884766,8.314200401306152,34.920494079589844,32.056739807128906,30.00040626525879,15.010000228881836,39.024574279785156,22.572294235229492,17.31485366821289,16.281169891357422,20.45087242126465,9.07275390625,15.640000343322754,12.833486557006836,26.97869300842285,19.153696060180664,101.80704498291016,7.580239295959473,18.594301223754883,20.979394912719727,31.765724182128906,4.318023681640625,5.914813041687012,29.556934356689453,13.094969749450684,53.83000183105469,8.600000381469727,18.32161521911621,10.888236045837402,18.98784637451172,22.66945457458496,13.380080223083496,12.080670356750488,7.872908115386963,22.670000076293945,19.806058883666992,16.29807472229004,22.242328643798828,17.480844497680664,5.237922668457031,52.9658088684082,30.68000030517578,30.49873924255371,113.0,16.489667892456055,29.319293975830078,30.71139144897461,13.034871101379395,69.54789733886719,11.805108070373535,60.12067794799805,21.224864959716797,5.920000076293945,7.476337432861328
2021-11-24,15.633962631225586,20.7281494140625,68.2776107788086,13.528338432312012,26.559999465942383,11.350136756896973,26.703824996948242,14.853209495544434,17.382402420043945,18.117279052734375,8.063879013061523,100.66000366210938,19.551677703857422,10.230664253234863,33.176692962646484,21.610000610351562,41.656307220458984,11.151409149169922,1.8230674266815186,7.982008934020996,4.504243850708008,20.809024810791016,5.354783535003662,15.585009574890137,18.87440299987793,18.679716110229492,15.729999542236328,13.482498168945312,13.039704322814941,8.404029846191406,34.795936584472656,31.959300994873047,29.806617736816406,14.890000343322754,39.62289047241211,22.350902557373047,17.191513061523438,16.246212005615234,20.786657333374023,9.166111946105957,15.59000015258789,12.523643493652344,26.969226837158203,19.147905349731445,104.54512786865234,7.700094699859619,19.093603134155273,21.540340423583984,31.248645782470703,4.34429931640625,6.039900302886963,29.044551849365234,13.72939682006836,54.959999084472656,8.819999694824219,17.92982292175293,10.831379890441895,18.950634002685547,22.807144165039062,13.640881538391113,12.328369140625,8.119467735290527,21.899999618530273,19.92995834350586,16.278797149658203,22.11033058166504,17.470888137817383,5.145542144775391,51.31277847290039,29.799999237060547,31.11388397216797,113.30000305175781,16.231552124023438,29.65106201171875,31.36565399169922,12.98794937133789,67.09151458740234,12.216187477111816,61.51601791381836,20.912595748901367,5.869999885559082,7.476337432861328
2021-11-25,15.752815246582031,21.25279426574707,68.7659912109375,13.656522750854492,27.149999618530273,11.517736434936523,28.09023094177246,14.910619735717773,17.52244758605957,18.53607940673828,8.091029167175293,101.98999786376953,20.72857666015625,11.077215194702148,33.329891204833984,21.559999465942383,42.251869201660156,11.382526397705078,1.8230674266815186,8.082672119140625,4.489760875701904,21.125789642333984,5.3986029624938965,15.81733226776123,19.150270462036133,19.09536361694336,16.809999465942383,14.142675399780273,13.449252128601074,8.563725471496582,35.00056457519531,32.748538970947266,30.49872398376465,14.880000114440918,40.23013687133789,22.28352165222168,18.14975929260254,16.560823440551758,20.978534698486328,9.25947093963623,17.100000381469727,12.263775825500488,27.30054473876953,20.13309097290039,105.78971099853516,7.769814968109131,19.260034561157227,21.73666763305664,30.481647491455078,4.440645217895508,6.334746837615967,29.196367263793945,14.185391426086426,55.45000076293945,8.699999809265137,17.416933059692383,11.267287254333496,19.25763702392578,23.308725357055664,14.204401016235352,12.871563911437988,8.24699878692627,22.079999923706055,20.83264923095703,16.558305740356445,22.157470703125,17.829265594482422,5.616678237915039,51.16518783569336,29.709999084472656,31.63096809387207,115.37000274658203,16.817277908325195,29.84182357788086,31.62931251525879,13.269481658935547,67.83879089355469,12.350234985351562,61.10001754760742,21.073461532592773,5.949999809265137,7.631333827972412
2021-11-26,15.259113311767578,19.936416625976562,66.20916748046875,13.17336654663086,23.299999237060547,10.96838665008545,27.16301918029785,14.385714530944824,16.82221031188965,18.03352165222168,7.873820781707764,98.38999938964844,19.76048469543457,10.329729080200195,32.51728820800781,20.549999237060547,41.085227966308594,11.25733757019043,1.7474558353424072,7.92871618270874,4.3449296951293945,20.914613723754883,5.302199840545654,15.15908432006836,18.95449447631836,18.158119201660156,14.949999809265137,13.556884765625,13.222537994384766,8.443953514099121,34.69807052612305,31.793657302856445,29.705110549926758,14.359999656677246,39.48000717163086,21.91774559020996,17.637432098388672,15.748076438903809,20.42688751220703,9.038804054260254,15.079999923706055,11.654085159301758,26.353925704956055,19.000272750854492,103.05162811279297,7.614882946014404,18.825456619262695,21.32530403137207,29.628475189208984,4.30926513671875,6.379420757293701,27.858476638793945,13.620354652404785,54.29999923706055,8.0600004196167,16.882671356201172,10.774520874023438,18.280803680419922,22.767803192138672,13.58499526977539,12.37182331085205,7.9664306640625,20.149999618530273,20.257404327392578,15.89327335357666,21.365455627441406,17.540573120117188,5.459632873535156,49.974613189697266,27.600000381469727,30.356103897094727,110.69999694824219,16.082639694213867,29.7257022857666,30.594207763671875,12.800262451171875,67.17290496826172,11.537013053894043,59.48801803588867,20.505701065063477,5.679999828338623,7.394279956817627
2021-11-29,14.939119338989258,19.869644165039062,65.30901336669922,12.867697715759277,23.489999771118164,10.707677841186523,27.207168579101562,14.303698539733887,16.698637008666992,17.924633026123047,7.828567981719971,99.01000213623047,20.443843841552734,10.608909606933594,32.77039337158203,20.399999618530273,42.58635330200195,11.083999633789062,1.7390546798706055,7.9642438888549805,4.32320499420166,21.401945114135742,5.346019268035889,15.042922019958496,19.114675521850586,18.370018005371094,14.550000190734863,13.054777145385742,13.419998168945312,8.254314422607422,34.57351303100586,32.07622146606445,29.797391891479492,14.260000228881836,40.596275329589844,21.927371978759766,17.390756607055664,15.625727653503418,20.626760482788086,9.123675346374512,15.600000381469727,11.893962860107422,25.89008140563965,19.312908172607422,104.29621124267578,7.607136249542236,18.751487731933594,21.185077667236328,29.930103302001953,4.274230480194092,6.254333972930908,27.459957122802734,14.542256355285645,55.0,8.039999961853027,17.010894775390625,10.670282363891602,18.252891540527344,22.70879554748535,14.046056747436523,12.806379318237305,8.102462768554688,20.84000015258789,20.22200584411621,15.613767623901367,21.31831169128418,17.540573120117188,5.3487772941589355,50.42723083496094,27.969999313354492,30.266950607299805,110.5999984741211,16.22162437438965,30.198463439941406,31.385183334350586,13.316400527954102,67.1211166381836,12.242996215820312,60.23334884643555,20.49623680114746,5.849999904632568,7.6404523849487305
2021-11-30,14.683123588562012,19.612091064453125,64.31310272216797,12.571887969970703,23.3799991607666,10.344547271728516,28.11672592163086,13.959229469299316,16.402067184448242,17.48908042907715,7.765216827392578,98.3499984741211,19.608627319335938,10.140605926513672,33.1367301940918,19.75,40.83231735229492,11.854392051696777,1.7390546798706055,7.780681610107422,4.32320499420166,21.442556381225586,5.381074905395508,14.839639663696289,18.910001754760742,17.73431968688965,13.619999885559082,12.645654678344727,13.185972213745117,8.284256935119629,34.27991485595703,31.793657302856445,29.575918197631836,13.949999809265137,40.53376388549805,21.725229263305664,17.210493087768555,15.26741886138916,20.626760482788086,9.038804054260254,16.0,10.904465675354004,25.672359466552734,18.196495056152344,107.28321838378906,7.490937232971191,18.585060119628906,20.923290252685547,30.72295570373535,4.116574287414551,6.45089864730835,26.995018005371094,13.075143814086914,54.709999084472656,7.800000190734863,16.79006576538086,10.509186744689941,18.234285354614258,22.03018569946289,14.036742210388184,12.7889986038208,7.7878875732421875,20.290000915527344,19.699861526489258,15.160775184631348,21.101457595825195,17.490798950195312,5.043925762176514,49.36456298828125,27.6200008392334,29.36651611328125,108.80000305175781,15.357927322387695,29.908178329467773,30.945751190185547,13.541626930236816,65.91512298583984,12.144695281982422,60.62334442138672,20.590864181518555,5.670000076293945,7.531042575836182
2021-12-01,14.50027084350586,18.715431213378906,65.8069839477539,12.295799255371094,21.860000610351562,10.251437187194824,27.639873504638672,13.885416030883789,16.336164474487305,17.11216163635254,7.602309226989746,97.08999633789062,19.703536987304688,9.8524169921875,33.25661849975586,19.239999771118164,43.05953598022461,11.337089538574219,1.6886472702026367,7.674095630645752,4.2435479164123535,21.661853790283203,5.354783535003662,14.549235343933105,18.883304595947266,17.59577178955078,13.329999923706055,12.245828628540039,13.142090797424316,8.124561309814453,34.13756561279297,31.910579681396484,29.56669044494629,13.75,40.43553161621094,21.802234649658203,16.78354835510254,14.795501708984375,20.922571182250977,9.166111946105957,14.800000190734863,10.324759483337402,25.369436264038086,17.271135330200195,103.5494613647461,7.470381259918213,18.51810646057129,20.79010581970215,29.28375816345215,4.055263519287109,6.254333972930908,26.843198776245117,11.776551246643066,55.619998931884766,6.880000114440918,15.579071998596191,10.30070686340332,17.880762100219727,21.351577758789062,14.134544372558594,12.862873077392578,7.549829483032227,20.309999465942383,19.204269409179688,14.563211441040039,20.56402015686035,17.431068420410156,5.071639060974121,47.23924255371094,27.600000381469727,29.018823623657227,106.9000015258789,15.099810600280762,29.700824737548828,29.109905242919922,13.063024520874023,67.08411407470703,12.001710891723633,60.86601638793945,20.032562255859375,5.199999809265137,7.558394908905029
2021-12-02,14.637411117553711,19.507164001464844,69.23522186279297,12.276079177856445,22.309999465942383,10.67043399810791,28.39930534362793,14.581010818481445,17.16816520690918,17.631473541259766,7.692813396453857,100.43000030517578,19.826919555664062,9.915459632873535,34.915122985839844,19.770000457763672,47.155006408691406,11.695612907409668,1.7978633642196655,7.934637069702148,4.410103797912598,22.39284896850586,5.495006561279297,14.491155624389648,19.524023056030273,19.209461212158203,13.220000267028809,12.924601554870605,13.25910472869873,8.354124069213867,34.92939376831055,33.61573028564453,31.08009147644043,14.020000457763672,41.060638427734375,22.36052703857422,17.85564422607422,15.66942310333252,22.113807678222656,9.666851997375488,15.039999961853027,11.014410018920898,26.088871002197266,18.04210662841797,105.78971099853516,7.687815189361572,19.119640350341797,21.5760555267334,30.257585525512695,4.396851062774658,6.290073394775391,27.146833419799805,11.63776969909668,57.56999969482422,6.760000228881836,15.771404266357422,10.774520874023438,18.643625259399414,21.85315704345703,15.397021293640137,13.844319343566895,8.161978721618652,20.959999084472656,19.947660446166992,15.286070823669434,20.960023880004883,17.53061866760254,5.2563982009887695,47.859130859375,29.350000381469727,29.87468147277832,109.1500015258789,15.18915843963623,30.886865615844727,29.559101104736328,13.37270736694336,67.94976806640625,12.895360946655273,63.69135665893555,20.335369110107422,5.150000095367432,7.731626987457275
2021-12-03,14.628268241882324,19.936416625976562,71.0355224609375,13.114205360412598,22.43000030517578,10.828721046447754,28.434627532958984,14.62205696105957,17.118684768676758,17.740360260009766,7.801417827606201,101.31999969482422,20.026235580444336,10.410781860351562,34.43555450439453,19.6200008392334,49.35774612426758,12.170413970947266,1.8482708930969238,8.171492576599121,4.359413146972656,22.65275764465332,5.442422866821289,14.307232856750488,19.90667152404785,18.973115921020508,14.149999618530273,13.88232421875,13.33223819732666,8.80327033996582,35.11623001098633,34.482913970947266,31.744510650634766,14.529999732971191,41.19458770751953,22.678176879882812,18.794918060302734,16.219993591308594,22.26570701599121,9.666851997375488,15.170000076293945,11.424201965332031,26.770437240600586,18.772552490234375,104.04729461669922,7.648987293243408,19.156658172607422,21.501203536987305,28.79253578186035,4.545748233795166,6.781485080718994,27.754104614257812,12.638975143432617,57.599998474121094,7.050000190734863,14.866724967956543,11.343097686767578,19.25763702392578,22.128536224365234,15.683887481689453,14.039584159851074,8.434043884277344,21.209999084472656,19.87685775756836,15.63304328918457,21.516313552856445,18.018409729003906,5.56125020980835,48.52820587158203,31.219999313354492,29.821189880371094,111.8499984741211,15.95357894897461,31.077625274658203,29.78369903564453,13.832541465759277,67.45404815673828,12.716629981994629,62.287353515625,20.72334098815918,5.360000133514404,8.151031494140625
