IBXX - Carteira do Dia 13/09/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;0,360;
ALSO3;ALIANSCSONAE;ON      NM;532.616.595;0,588;
ALPA4;ALPARGATAS;PN      N1;208.965.950;0,083;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,794;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,203;
ASAI3;ASSAI;ON      NM;1.349.645.897;0,805;
AURE3;AUREN;ON      NM;301.966.319;0,195;
AZUL4;AZUL;PN      N2;327.593.725;0,208;
B3SA3;B3;ON      NM;5.694.552.584;3,475;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;0,995;
BBDC3;BRADESCO;ON  EJ  N1;1.500.728.902;0,913;
BBDC4;BRADESCO;PN  EJ  N1;5.146.576.868;3,539;
BRAP4;BRADESPAR;PN      N1;251.003.438;0,263;
BBAS3;BRASIL;ON  EJ  NM;1.420.949.112;3,117;
BRKM5;BRASKEM;PNA     N1;265.479.055;0,281;
BRFS3;BRF SA;ON      NM;1.677.525.446;0,695;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,689;
CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,255;
CBAV3;CBA;ON      NM;191.350.000;0,041;
CCRO3;CCR SA;ON      NM;995.335.937;0,579;
CMIG4;CEMIG;PN      N1;1.437.415.777;0,834;
CIEL3;CIELO;ON      NM;1.095.462.329;0,186;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,243;
CSMG3;COPASA;ON      NM;188.469.206;0,161;
CPLE6;COPEL;PNB     N2;1.679.335.290;0,684;
CSAN3;COSAN;ON      NM;1.168.097.881;0,966;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,302;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,221;
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,051;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,278;
DXCO3;DEXCO;ON      NM;303.055.637;0,113;
DIRR3;DIRECIONAL;ON      NM;107.596.799;0,102;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,122;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,295;
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,487;
EMBR3;EMBRAER;ON      NM;734.632.705;0,617;
ENGI11;ENERGISA;UNT     N2;290.435.910;0,638;
ENEV3;ENEVA;ON      NM;1.578.931.315;0,886;
EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,499;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,642;
EZTC3;EZTEC;ON      NM;91.514.307;0,097;
FLRY3;FLEURY;ON  EJ  NM;345.269.967;0,235;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,335;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,364;
GOLL4;GOL;PN      N2;198.184.909;0,062;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,152;
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,592;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,182;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,930;
HYPE3;HYPERA;ON      NM;409.490.388;0,767;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,214;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,163;
ITSA4;ITAUSA;PN      N1;5.227.297.232;2,247;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.593.832;6,148;
JBSS3;JBS;ON      NM;1.134.986.472;0,998;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,745;
RENT3;LOCALIZA;ON      NM;846.394.333;2,440;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,135;
LREN3;LOJAS RENNER;ON      NM;951.318.467;0,706;
MDIA3;M.DIASBRANCO;ON      NM;66.033.716;0,116;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,348;
MRFG3;MARFRIG;ON      NM;292.587.273;0,104;
CASH3;MELIUZ;ON      NM;69.177.973;0,019;
BEEF3;MINERVA;ON      NM;261.036.182;0,104;
MOVI3;MOVIDA;ON      NM;124.051.424;0,073;
MRVE3;MRV;ON      NM;376.187.582;0,210;
MULT3;MULTIPLAN;ON      N2;266.965.257;0,316;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,035;
PETR3;PETROBRAS;ON      N2;3.701.760.571;6,327;
PETR4;PETROBRAS;PN      N2;4.566.445.852;7,100;
RECV3;PETRORECSA;ON      NM;274.957.807;0,281;
PRIO3;PETRORIO;ON      NM;798.274.909;1,781;
PETZ3;PETZ;ON      NM;329.077.188;0,089;
PSSA3;PORTO SEGURO;ON      NM;181.531.496;0,225;
RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,626;
RAIZ4;RAIZEN;PN      N2;1.193.671.389;0,215;
RDOR3;REDE D OR;ON      NM;1.168.230.366;1,575;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,286;
SBSP3;SABESP;ON      NM;340.001.799;0,938;
SANB11;SANTANDER BR;UNT;342.918.449;0,431;
STBP3;SANTOS BRP;ON      NM;857.415.274;0,371;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,260;
CSNA3;SID NACIONAL;ON;600.865.451;0,339;
SIMH3;SIMPAR;ON      NM;227.674.814;0,102;
SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,191;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,593;
TAEE11;TAESA;UNT     N2;218.568.234;0,352;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,839;
TIMS3;TIM;ON      NM;807.896.814;0,558;
TOTS3;TOTVS;ON      NM;514.122.351;0,683;
TRPL4;TRAN PAULIST;PN      N1;395.799.340;0,443;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;0,963;
USIM5;USIMINAS;PNA     N1;515.117.391;0,163;
VALE3;VALE;ON      NM;4.427.123.466;13,881;
VAMO3;VAMOS;ON      NM;421.383.330;0,217;
VIIA3;VIA;ON      NM;1.582.929.157;0,086;
VBBR3;VIBRA;ON      NM;1.114.412.532;0,978;
VIVA3;VIVARA S.A.;ON      NM;107.725.671;0,138;
WEGE3;WEG;ON      NM;1.481.593.024;2,450;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,277;
Quantidade Teórica Total;;;102.454.440.383;100,000
Redutor;;;43.397.878,99877637
