IBXX - Carteira do Dia 15/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
SUZB3;SUZANO S.A.;ON  EJ  NM;683.452.836;1,523;
TAEE11;TAESA;UNT     N2;218.568.234;0,343;
VIVT3;TELEF BRASIL;ON;423.091.712;0,978;
TIMS3;TIM;ON      NM;807.896.814;0,634;
TOTS3;TOTVS;ON      NM;514.122.351;0,747;
TRPL4;TRAN PAULIST;PN  EJ  N1;395.799.340;0,400;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,202;
USIM5;USIMINAS;PNA     N1;515.117.391;0,191;
VALE3;VALE;ON      NM;4.427.123.466;13,815;
VAMO3;VAMOS;ON      NM;421.383.330;0,175;
VBBR3;VIBRA;ON      NM;1.114.412.532;1,028;
VIVA3;VIVARA S.A.;ON      NM;107.725.671;0,154;
WEGE3;WEG;ON      NM;1.481.593.024;2,287;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,283;
Quantidade Teórica Total;;;101.353.109.929;100,000
Redutor;;;42.760.438,79651172
