IBOV - Carteira do Dia 15/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
GGBR4;GERDAU;PN      N1;1.118.525.506;1,162;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,312;
GOLL4;GOL;PN      N2;198.184.909;0,079;
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,607;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,155;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,886;
HYPE3;HYPERA;ON      NM;409.490.388;0,658;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,236;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,179;
ITSA4;ITAUSA;PN      N1;5.457.171.904;2,446;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.593.832;6,984;
JBSS3;JBS;ON      NM;1.134.986.472;1,204;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,683;
RENT3;LOCALIZA;ON      NM;852.600.726;2,464;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,116;
LREN3;LOJAS RENNER;ON      NM;951.318.467;0,735;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,308;
MRFG3;MARFRIG;ON      NM;292.587.273;0,125;
BEEF3;MINERVA;ON      NM;261.036.182;0,085;
MRVE3;MRV;ON      NM;376.187.582;0,180;
MULT3;MULTIPLAN;ON      N2;266.965.257;0,339;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,029;
PETR3;PETROBRAS;ON      N2;2.585.311.860;4,269;
PETR4;PETROBRAS;PN      N2;4.566.445.852;7,137;
RECV3;PETRORECSA;ON  EJ  NM;274.957.807;0,259;
PRIO3;PETRORIO;ON  ED  NM;798.274.909;1,670;
PETZ3;PETZ;ON      NM;329.077.188;0,061;
RADL3;RAIADROGASIL;ON  EJ  NM;1.263.596.819;1,649;
RAIZ4;RAIZEN;PN      N2;1.193.671.389;0,193;
RDOR3;REDE D OR;ON      NM;1.168.230.366;1,473;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,237;
SBSP3;SABESP;ON      NM;340.001.799;1,073;
SANB11;SANTANDER BR;UNT;342.918.449;0,483;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,190;
CSNA3;SID NACIONAL;ON;600.865.451;0,468;
SLCE3;SLC AGRICOLA;ON  EB  NM;203.648.730;0,167;
SUZB3;SUZANO S.A.;ON  EJ  NM;683.452.836;1,585;
TAEE11;TAESA;UNT     N2;218.568.234;0,357;
VIVT3;TELEF BRASIL;ON;423.091.712;1,017;
TIMS3;TIM;ON      NM;807.896.814;0,660;
TOTS3;TOTVS;ON      NM;514.122.351;0,778;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,251;
USIM5;USIMINAS;PNA     N1;515.117.391;0,199;
VALE3;VALE;ON      NM;4.427.123.466;14,378;
VAMO3;VAMOS;ON      NM;421.383.330;0,182;
VBBR3;VIBRA;ON      NM;1.114.412.532;1,070;
WEGE3;WEG;ON      NM;1.481.593.024;2,380;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,295;
Quantidade Teórica Total;;;96.571.029.272;100,000
Redutor;;;17.272.563,70353423
