IBXX - Carteira do Dia 26/06/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,333;
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,614;
ALPA4;ALPARGATAS;PN      N1;201.952.502;0,095;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,104;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,221;
ASAI3;ASSAI;ON      NM;1.190.824.431;0,778;
AURE3;AUREN;ON      NM;301.966.318;0,206;
AZUL4;AZUL;PN      N2;327.646.296;0,318;
B3SA3;B3;ON      NM;5.733.398.051;3,779;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,938;
BBDC3;BRADESCO;ON      N1;1.500.631.902;1,005;
BBDC4;BRADESCO;PN      N1;5.146.612.491;3,900;
BRAP4;BRADESPAR;PN      N1;251.008.334;0,262;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,311;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,353;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,467;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,698;
CRFB3;CARREFOUR BR;ON  EJ  NM;528.743.156;0,273;
CBAV3;CBA;ON      NM;191.350.000;0,045;
CCRO3;CCR SA;ON      NM;998.462.635;0,645;
CMIG4;CEMIG;PN  EJ  N1;1.442.098.974;0,840;
CIEL3;CIELO;ON      NM;1.095.401.258;0,232;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,266;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,576;
CSAN3;COSAN;ON      NM;1.171.063.698;0,965;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,289;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,221;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,048;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,247;
DXCO3;DEXCO;ON      NM;274.863.424;0,112;
DIRR3;DIRECIONAL;ON      NM;82.895.895;0,070;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,099;
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,696;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,565;
EMBR3;EMBRAER;ON      NM;734.632.205;0,581;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,264;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,549;
ENEV3;ENEVA;ON      NM;1.577.877.205;0,888;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,536;
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,606;
EZTC3;EZTEC;ON      NM;94.318.339;0,079;
FLRY3;FLEURY;ON      NM;422.811.447;0,311;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,255;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,364;
GOLL4;GOL;PN      N2;218.221.868;0,121;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,173;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,670;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,270;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,855;
HYPE3;HYPERA;ON      NM;400.842.480;0,801;
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,227;
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,159;
ITSA4;ITAUSA;PN  EJ  N1;5.233.076.295;2,309;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.630.041;6,288;
JBSS3;JBS;ON  ED  NM;1.134.986.483;0,891;
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,727;
RENT3;LOCALIZA;ON      NM;773.535.098;2,385;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,185;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,969;
MDIA3;M.DIASBRANCO;ON  EJ  NM;69.291.942;0,132;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,470;
MRFG3;MARFRIG;ON      NM;292.587.273;0,100;
CASH3;MELIUZ;ON      NM;69.155.277;0,025;
