Date,ABEV3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BOVA11.SA,BPAC11.SA,BPAN4.SA,BRAP4.SA,BRFS3.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,LREN3.SA,LWSA3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,POSI3.SA,PRIO3.SA,QUAL3.SA,RADL3.SA,RDOR3.SA,RRRP3.SA,SANB11.SA,SMAL11.SA,SQIA3.SA,TAEE11.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VBBR3.SA,VIIA3.SA,VLID3.SA
2021-11-26,15.259113311767578,13.17336654663086,23.299999237060547,10.968387603759766,27.16301727294922,14.385716438293457,16.82221221923828,18.033523559570312,7.873819351196289,98.38999938964844,19.760482788085938,10.329730033874512,32.51728820800781,20.549999237060547,11.257338523864746,1.7474559545516968,7.928717136383057,4.3449296951293945,20.914613723754883,5.302199840545654,15.159082412719727,18.158119201660156,14.949999809265137,13.556884765625,13.222537994384766,8.443953514099121,34.69806671142578,31.793657302856445,29.705110549926758,14.359999656677246,39.48000717163086,21.91774559020996,17.637434005737305,20.77724838256836,9.238983154296875,15.079999923706055,11.654085159301758,26.35392189025879,19.000272750854492,7.6148834228515625,21.325315475463867,29.628477096557617,4.309264659881592,27.858476638793945,13.620354652404785,8.0600004196167,16.882673263549805,10.774520874023438,18.28080177307129,22.767803192138672,13.584997177124023,12.371825218200684,7.966430187225342,20.149999618530273,15.89327335357666,21.365459442138672,49.974613189697266,27.600000381469727,30.356096267700195,110.69999694824219,16.082639694213867,29.7257080078125,30.594207763671875,12.800262451171875,11.537013053894043,59.488014221191406,20.505701065063477,5.679999828338623,7.394279956817627
2021-11-29,14.939119338989258,12.867696762084961,23.489999771118164,10.707677841186523,27.20716667175293,14.30370044708252,16.69863510131836,17.924633026123047,7.828567981719971,99.01000213623047,20.44384765625,10.60891056060791,32.77039337158203,20.399999618530273,11.084000587463379,1.739054799079895,7.964242935180664,4.32320499420166,21.40194320678711,5.346019744873047,15.042922019958496,18.370019912719727,14.550000190734863,13.054777145385742,13.419998168945312,8.254314422607422,34.573516845703125,32.07622146606445,29.797391891479492,14.260000228881836,40.59627151489258,21.927371978759766,17.39075469970703,20.980546951293945,9.32573413848877,15.600000381469727,11.893962860107422,25.890079498291016,19.312908172607422,7.6071343421936035,21.18507194519043,29.930103302001953,4.274230003356934,27.4599552154541,14.542256355285645,8.039999961853027,17.010892868041992,10.670282363891602,18.252891540527344,22.70879554748535,14.046056747436523,12.806382179260254,8.102462768554688,20.84000015258789,15.613767623901367,21.318315505981445,50.42722702026367,27.969999313354492,30.266942977905273,110.5999984741211,16.221622467041016,30.198463439941406,31.38518524169922,13.316401481628418,12.242996215820312,60.23334884643555,20.49623680114746,5.849999904632568,7.640452861785889
2021-11-30,14.683123588562012,12.571887969970703,23.3799991607666,10.3445463180542,28.11672592163086,13.959227561950684,16.40207290649414,17.48908042907715,7.7652153968811035,98.3499984741211,19.608627319335938,10.140606880187988,33.1367301940918,19.75,11.854391098022461,1.739054799079895,7.78068208694458,4.32320499420166,21.442554473876953,5.381074905395508,14.839639663696289,17.73431968688965,13.619999885559082,12.64565372467041,13.185972213745117,8.284256935119629,34.27991485595703,31.793657302856445,29.575918197631836,13.949999809265137,40.53376388549805,21.725229263305664,17.21048927307129,20.980546951293945,9.238983154296875,16.0,10.904465675354004,25.6723575592041,18.19649314880371,7.49093770980835,20.92329978942871,30.72295379638672,4.116573810577393,26.99501609802246,13.075143814086914,7.800000190734863,16.79006576538086,10.509185791015625,18.234285354614258,22.03018569946289,14.036742210388184,12.788997650146484,7.787887096405029,20.290000915527344,15.160775184631348,21.10145378112793,49.36456298828125,27.6200008392334,29.36651611328125,108.80000305175781,15.357926368713379,29.908172607421875,30.94575309753418,13.541626930236816,12.144695281982422,60.62335205078125,20.590864181518555,5.670000076293945,7.531042575836182
2021-12-01,14.50027084350586,12.29580020904541,21.860000610351562,10.251439094543457,27.639867782592773,13.88541316986084,16.33616065979004,17.11216163635254,7.602309226989746,97.08999633789062,19.703536987304688,9.852417945861816,33.256622314453125,19.239999771118164,11.337088584899902,1.6886475086212158,7.67409610748291,4.243548393249512,21.661853790283203,5.354783535003662,14.549236297607422,17.59577178955078,13.329999923706055,12.245827674865723,13.142090797424316,8.124561309814453,34.1375617980957,31.91058349609375,29.56669044494629,13.75,40.43553161621094,21.802234649658203,16.783550262451172,21.28143310546875,9.369110107421875,14.800000190734863,10.324759483337402,25.36943817138672,17.271133422851562,7.470380783081055,20.79010772705078,29.28375816345215,4.055263519287109,26.843198776245117,11.776551246643066,6.880000114440918,15.579073905944824,10.30070686340332,17.880762100219727,21.351577758789062,14.134542465209961,12.862873077392578,7.549829483032227,20.309999465942383,14.563211441040039,20.56401824951172,47.23924255371094,27.600000381469727,29.01882553100586,106.9000015258789,15.099810600280762,29.700822830200195,29.109905242919922,13.063024520874023,12.001710891723633,60.86601638793945,20.032564163208008,5.199999809265137,7.558394432067871
2021-12-02,14.637411117553711,12.276079177856445,22.309999465942383,10.670434951782227,28.399307250976562,14.581010818481445,17.16815948486328,17.631471633911133,7.692813396453857,100.43000030517578,19.826923370361328,9.915459632873535,34.91511917114258,19.770000457763672,11.695611953735352,1.7978633642196655,7.934637069702148,4.410103797912598,22.392850875854492,5.495006561279297,14.491155624389648,19.209463119506836,13.220000267028809,12.924601554870605,13.25910472869873,8.354124069213867,34.929386138916016,33.615726470947266,31.08009147644043,14.020000457763672,41.06063461303711,22.36052703857422,17.85564613342285,22.493101119995117,9.880940437316895,15.039999961853027,11.014410018920898,26.088871002197266,18.04210662841797,7.6878132820129395,21.576053619384766,30.257583618164062,4.3968505859375,27.146833419799805,11.63776969909668,6.760000228881836,15.771406173706055,10.774520874023438,18.643625259399414,21.85315704345703,15.39702033996582,13.844319343566895,8.161978721618652,20.959999084472656,15.286070823669434,20.960023880004883,47.859130859375,29.350000381469727,29.874675750732422,109.1500015258789,15.18915843963623,30.886865615844727,29.559101104736328,13.372708320617676,12.895360946655273,63.69134521484375,20.335369110107422,5.150000095367432,7.731626987457275
2021-12-03,14.628268241882324,13.114205360412598,22.43000030517578,10.828722953796387,28.434627532958984,14.62205982208252,17.118682861328125,17.74036407470703,7.801416397094727,101.31999969482422,20.026233673095703,10.410781860351562,34.4355583190918,19.6200008392334,12.170413970947266,1.8482705354690552,8.171492576599121,4.359412670135498,22.652759552001953,5.442423343658447,14.307232856750488,18.973114013671875,14.149999618530273,13.882325172424316,13.33223819732666,8.80327033996582,35.11623001098633,34.482913970947266,31.744510650634766,14.529999732971191,41.1945915222168,22.678176879882812,18.794918060302734,22.647607803344727,9.880940437316895,15.170000076293945,11.424201965332031,26.770437240600586,18.772552490234375,7.64898681640625,21.50119972229004,28.79253578186035,4.545748710632324,27.75410270690918,12.638975143432617,7.050000190734863,14.866724967956543,11.343097686767578,19.25763702392578,22.128536224365234,15.683886528015137,14.039584159851074,8.434043884277344,21.209999084472656,15.63304328918457,21.516313552856445,48.5282096862793,31.219999313354492,29.821191787719727,111.8499984741211,15.953579902648926,31.0776309967041,29.78369903564453,13.832541465759277,12.716629981994629,62.287353515625,20.72334098815918,5.360000133514404,8.151031494140625
2021-12-06,14.701409339904785,13.557918548583984,24.799999237060547,10.968387603759766,29.202898025512695,14.79446792602539,17.48150634765625,17.83249855041504,7.801416397094727,103.0,20.197072982788086,10.554875373840332,18.564807891845703,20.600000381469727,12.54831600189209,1.9070794582366943,8.094513893127441,4.533209800720215,22.360361099243164,5.381074905395508,14.607316017150879,19.66585922241211,14.979999542236328,14.319343566894531,13.310297966003418,8.982929229736328,35.3564453125,34.76548385620117,32.18745803833008,14.579999923706055,41.28388977050781,22.447158813476562,19.40212631225586,23.176189422607422,10.158543586730957,16.889999389648438,11.224302291870117,26.846168518066406,19.58791160583496,7.742172718048096,21.753826141357422,29.076929092407227,4.747198104858398,28.2664852142334,12.8074951171875,7.300000190734863,14.852476119995117,11.466289520263672,19.211122512817383,21.93183708190918,15.82992935180664,14.103046417236328,8.357525825500488,21.610000610351562,15.960740089416504,21.48802947998047,46.9637336730957,32.36000061035156,30.204540252685547,114.06999969482422,16.320899963378906,31.50891876220703,29.900882720947266,14.048381805419922,13.208137512207031,65.6673583984375,20.912595748901367,5.610000133514404,8.169266700744629
2021-12-07,14.719696044921875,13.853728294372559,24.729999542236328,11.219782829284668,28.78784942626953,14.597426414489746,17.275360107421875,17.77386474609375,7.8466691970825195,103.62999725341797,20.14012908935547,11.194293022155762,18.70353126525879,20.440000534057617,12.713044166564941,1.8902771472930908,8.141887664794922,4.735973358154297,22.10045051574707,5.468714714050293,14.374993324279785,19.894060134887695,14.6899995803833,14.124078750610352,13.434625625610352,8.793290138244629,34.973876953125,34.239322662353516,31.882932662963867,14.670000076293945,40.70343780517578,22.476037979125977,18.557729721069336,23.542129516601562,10.314696311950684,17.110000610351562,11.174328804016113,27.177478790283203,19.682472229003906,7.672284126281738,21.482486724853516,29.654329299926758,4.650852203369141,27.95336151123047,13.699657440185547,7.619999885559082,15.13741683959961,11.11315631866455,18.671537399291992,22.15804100036621,16.268056869506836,14.33248233795166,8.62959098815918,21.93000030517578,15.989654541015625,21.95003890991211,48.41014099121094,31.40999984741211,29.526987075805664,112.97000122070312,16.688217163085938,31.230857849121094,30.643033981323242,13.973307609558105,13.33324909210205,66.1526870727539,21.00722312927246,5.800000190734863,7.686039924621582
2021-12-08,14.701409339904785,14.18897819519043,26.18000030517578,11.284960746765137,28.920312881469727,14.556379318237305,17.16815948486328,18.14240837097168,7.937172889709473,104.19999694824219,20.60519027709961,11.104233741760254,18.644573211669922,20.200000762939453,12.315760612487793,1.94068443775177,8.278077125549316,4.70700740814209,22.230405807495117,5.565118312835693,14.452434539794922,19.64141273498535,16.100000381469727,14.867941856384277,13.602831840515137,8.952986717224121,34.929386138916016,34.53163146972656,31.81833267211914,14.960000038146973,40.864173889160156,22.7166805267334,19.75316619873047,23.525863647460938,10.392770767211914,18.68000030517578,11.31425666809082,27.42360496520996,19.98642349243164,7.695578098297119,21.276643753051758,29.861162185668945,4.852302074432373,28.086200714111328,14.423301696777344,6.809999942779541,16.091964721679688,11.76630687713623,19.31345558166504,22.66945457458496,16.210683822631836,14.32760238647461,9.09720516204834,20.969999313354492,16.192054748535156,22.3931884765625,48.76435852050781,30.389999389648438,29.455671310424805,116.91000366210938,17.164743423461914,30.833452224731445,31.404714584350586,14.42375659942627,13.449423789978027,65.65868377685547,21.716928482055664,5.769999980926514,8.07809066772461
2021-12-09,14.454558372497559,14.021353721618652,26.06999969482422,10.903207778930664,28.275676727294922,14.121245384216309,16.731122970581055,17.681730270385742,7.66566276550293,102.13999938964844,20.28249740600586,10.527857780456543,18.498912811279297,19.690000534057617,11.928168296813965,1.8818753957748413,8.189255714416504,4.902529239654541,22.092329025268555,5.573882579803467,14.336272239685059,19.9348087310791,16.030000686645508,14.421624183654785,13.105525016784668,8.713440895080566,34.68917465209961,33.42085266113281,31.0154972076416,14.829999923706055,40.98919677734375,23.005449295043945,18.775943756103516,23.542129516601562,10.349396705627441,19.350000381469727,11.204313278198242,27.537199020385742,19.168169021606445,7.51697301864624,20.705900192260742,29.92148780822754,4.747198104858398,26.80524444580078,13.679832458496094,6.28000020980835,15.67167854309082,11.2188138961792,18.978540420532227,22.315399169921875,16.210683822631836,14.298312187194824,8.833641052246094,20.739999771118164,15.825806617736816,22.20423126220703,47.94768524169922,30.110000610351562,28.528491973876953,115.0,16.718002319335938,30.71250343322754,30.79927635192871,14.104687690734863,13.351120948791504,65.15601348876953,21.09238624572754,5.360000133514404,8.269558906555176
