,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
37,BLCA11,INDEFINIDO,,"9.148,59","0,94",,"0,00 %",,,,,,,,"0,00 %",,,"217.448.166,98",,,,,,,,,219,,,
38,BLCP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"103.127,50","0,81",,"0,63 %",,,,,,,,"0,00 %",,,"256.580.339,90",,,,,,,,,279,,,
39,BLMC11,PAPÉIS,,"114.876,04","0,80",,"0,81 %",,,,,,,,"-2,61 %",,,"39.342.108,07",,,,,,,,,443,,,
40,BLMG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"483.961,43","0,66",,"1,16 %",,,,,,,,"-4,05 %",,,"333.512.364,82",,,,,,,,,13.828,,,
41,BLMO11,LAJES CORPORATIVAS,,"288.155,60","0,54",,"0,00 %",,,,,,,,"0,00 %",,,"126.696.946,60",,,,,,,,,92,,,
42,BLMR11,FUNDO DE FUNDOS,,"411.309,04","0,88",,"0,76 %",,,,,,,,"-4,14 %",,,"201.034.512,18",,,,,,,,,18.986,,,
43,BLUR11,PAPÉIS,,"6.968,12","1,07",,"1,03 %",,,,,,,,"-0,01 %",,,"8.410.338,78",,,,,,,,,101,,,
44,BMLC11,LAJES CORPORATIVAS,,"38.857,18","0,90",,"0,74 %",,,,,,,,"-2,03 %",,,"110.584.605,07",,,,,,,,,1.493,,,
45,BNFS11,AGÊNCIAS DE BANCOS,,"137.849,14","1,33",,"1,15 %",,,,,,,,"0,11 %",,,"64.219.066,28",,,,,,,,,4.819,,,
46,BODB11,INDEFINIDO,,"616.274,64",N/A,,"1,26 %",,,,,,,,"-2,57 %",,,N/A,,,,,,,,,0,,,
47,BPFF11,FUNDO DE FUNDOS,,"372.147,07","0,87",,"0,87 %",,,,,,,,"-3,15 %",,,"351.299.101,59",,,,,,,,,18.670,,,
48,BPLC11,MISTO,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,"318.553.742,53",,,,,,,,,114,,,
49,BPML11,SHOPPINGS,,"458.164,86","0,65",,"0,46 %",,,,,,,,"-5,91 %",,,"569.112.237,85",,,,,,,,,1.451,,,
50,BPRP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"1.443,33","0,88",,"0,00 %",,,,,,,,"0,00 %",,,"147.329.458,30",,,,,,,,,174,,,
51,BRCO11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"3.006.831,29","1,02",,"0,70 %",,,,,,,,"-0,99 %",,,"1.790.199.937,84",,,,,,,,,116.336,,,
52,BRCR11,LAJES CORPORATIVAS,,"1.748.798,18","0,58",,"0,70 %",,,,,,,,"-6,68 %",,,"2.661.291.864,16",,,,,,,,,155.986,,,
53,BREV11,LAJES CORPORATIVAS,,"271.522,64","0,89",,"0,55 %",,,,,,,,"0,32 %",,,"113.864.559,59",,,,,,,,,332,,,
54,BRIM11,FUNDO DE DESENVOLVIMENTO,,"1.020,40","0,92",,"0,00 %",,,,,,,,"0,00 %",,,"138.626.509,33",,,,,,,,,222,,,
55,BRIP11,FUNDO DE DESENVOLVIMENTO,,"951,00","0,81",,"0,00 %",,,,,,,,"0,00 %",,,"251.719.986,71",,,,,,,,,254,,,
56,BRLA11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"123.954,75","0,94",,"0,00 %",,,,,,,,"0,00 %",,,"499.636.525,75",,,,,,,,,274,,,
57,BROF11,LAJES CORPORATIVAS,,"805.859,21","0,62",,"0,79 %",,,,,,,,"-2,17 %",,,"1.233.654.056,25",,,,,,,,,7.540,,,
58,BRZP11,N/A,,"619.235,79",N/A,,"0,51 %",,,,,,,,"-2,61 %",,,N/A,,,,,,,,,0,,,
59,BTAG11,INDEFINIDO,,"538.171,11",N/A,,"1,31 %",,,,,,,,"2,16 %",,,N/A,,,,,,,,,0,,,
60,BTAL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"852.340,18","0,82",,"0,79 %",,,,,,,,"-2,09 %",,,"622.236.654,81",,,,,,,,,45.447,,,
61,BTCI11,PAPÉIS,,"2.425.084,39","0,95",,"1,02 %",,,,,,,,"1,85 %",,,"1.024.192.221,83",,,,,,,,,110.543,,,
62,BTCR11,PAPÉIS,,"652.774,65","0,92",,"0,98 %",,,,,,,,"-5,96 %",,,"458.252.683,73",,,,,,,,,16.934,,,
63,BTHI11,HOTÉIS,,"81.232,00","1,02",,"0,93 %",,,,,,,,"-63,41 %",,,"393.966.371,28",,,,,,,,,517,,,
64,BTLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"6.789.853,75","1,03",,"0,73 %",,,,,,,,"1,39 %",,,"2.799.276.268,56",,,,,,,,,243.672,,,
65,BTRA11,INDEFINIDO,,"615.739,46","0,53",,"0,80 %",,,,,,,,"-6,39 %",,,"422.755.490,17",,,,,,,,,21.706,,,
66,BTSG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"1.321,00","1,01",,"0,00 %",,,,,,,,"0,00 %",,,"106.744.336,64",,,,,,,,,64,,,
67,BTSI11,MISTO,,"75.921,67","0,87",,"0,00 %",,,,,,,,"0,00 %",,,"280.020.795,19",,,,,,,,,114,,,
68,BTWR11,FUNDO DE DESENVOLVIMENTO,,"428,00","0,96",,"0,00 %",,,,,,,,"0,00 %",,,"90.585.002,93",,,,,,,,,65,,,
69,BZEL11,MISTO,,N/A,N/A,,N/A,,,,,,,,N/A,,,"415.386.167,22",,,,,,,,,3,,,
70,CACR11,PAPÉIS,,"751.301,54","1,02",,"1,34 %",,,,,,,,"0,08 %",,,"186.153.567,53",,,,,,,,,12.209,,,
71,CARE11,MISTO,,"8.335,89","0,21",,"0,23 %",,,,,,,,"-2,63 %",,,"297.349.292,74",,,,,,,,,11.846,,,
72,CBOP11,LAJES CORPORATIVAS,,"57.888,82","0,41",,"0,38 %",,,,,,,,"-2,12 %",,,"104.421.473,78",,,,,,,,,3.326,,,
