IBXX - Carteira do Dia 07/08/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TAEE11;TAESA;UNT     N2;218.568.234;0,362;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,819;
TIMS3;TIM;ON      NM;808.436.195;0,532;
TOTS3;TOTVS;ON  EJ  NM;513.869.896;0,683;
TRPL4;TRAN PAULIST;PN      N1;395.794.140;0,459;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,940;
USIM5;USIMINAS;PNA     N1;515.014.562;0,166;
VALE3;VALE;ON      NM;4.448.529.763;13,636;
VAMO3;VAMOS;ON      NM;433.114.868;0,238;
VIIA3;VIA;ON      NM;1.576.975.642;0,134;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,865;
WEGE3;WEG;ON      NM;1.481.593.024;2,746;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,290;
Quantidade Teórica Total;;;102.371.616.116;100,000
Redutor;;;43.842.770,80970178
