TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
APHA;15,38;;-41,58;4,64;3,21;36,73;-13,90;-36,71;-109,80;-113,35;-3,56;0,15;15,26;22,63;-4,26;2,36;-11,16;-7,73;-3,96;0,69;0,31;0,21;;;;3,31;-0,37;;6.861.892.214,58
API;3,16;;-3,23;0,40;0,37;63,92;-62,02;-60,55;-3,15;3,11;6,27;-0,80;1,96;0,50;-2,04;9,84;-12,46;-11,38;-12,84;0,91;0,09;0,19;;;;7,85;-0,98;;322.582.596,00
APLS;84,41;;-14,23;23,85;10,04;88,48;-622,98;-652,60;-14,90;-13,88;1,02;-1,63;92,84;12,05;-399,37;6,88;-167,67;-70,59;-130,69;0,42;0,58;0,11;;;;3,54;-5,93;;9.830.135.370,00
APLT;1,40;;-1,16;-19,89;2,70;100,00;-652,20;-652,20;-1,16;-0,84;0,33;;7,60;-19,34;-86,07;0,87;-1.707,37;-231,72;1.707,37;-0,14;1,14;0,36;;;;-0,07;-1,20;;80.989.020,00
APO;80,18;2,03;20,14;5,63;0,17;100,00;37,49;24,44;13,13;-47,88;-61,01;-26,19;4,92;;-0,17;;27,98;0,84;19,62;0,03;0,97;0,03;;;;14,23;3,98;;45.494.436.684,00
APOG;47,51;1,98;9,99;2,56;1,14;23,70;8,70;7,26;8,33;9,49;1,16;0,36;0,73;6,53;-1,99;1,69;25,59;11,39;19,53;0,45;0,55;1,57;1,67;5,54;;18,58;4,75;;1.048.906.776,00
APOP;13,17;;0,00;7,36;3,57;;;;0,00;0,00;0,00;-1,52;;6,40;-21,92;3,01;-316.980,06;-154.014,40;-255.954,42;0,49;0,51;0,00;;;;1,79;-5.674,21;;12.911.868,00
APOPW;0,08;;0,00;0,04;0,02;;;;0,00;0,00;0,00;-1,52;;0,04;-0,13;3,01;-316.980,06;-154.014,40;-255.954,42;0,49;0,51;0,00;;;;1,79;-5.674,21;;12.911.868,00
APPF;188,28;;-75,12;27,77;18,02;59,28;-15,38;-17,69;-86,44;-84,25;2,19;-0,70;13,29;50,60;-42,07;2,65;-36,97;-23,99;-36,97;0,65;0,35;1,36;26,83;;;6,78;-2,51;;6.681.266.424,00
APPH;0,35;;-0,30;0,20;0,09;-246,66;-777,98;-800,57;-0,31;-0,94;-0,62;0,41;2,42;0,88;-0,11;2,25;-66,84;-29,46;-39,21;0,44;0,56;0,04;;;;1,73;-1,16;;54.288.080,00
APPN;50,45;;-22,36;31,62;5,71;71,68;-32,00;-33,66;-23,52;-23,22;0,30;-0,41;7,53;24,90;-21,25;1,46;-141,41;-25,53;-49,11;0,18;0,82;0,76;21,50;;;1,60;-2,26;;3.680.907.675,00
APPS;10,78;;64,65;1,78;0,85;48,09;6,81;2,50;23,76;31,14;7,38;0,55;1,62;23,87;-1,08;1,20;2,75;1,32;3,96;0,48;0,52;0,53;54,87;;;6,05;0,17;;1.077.843.690,00
APRE;3,24;;-0,08;0,32;0,27;;;;-0,08;0,21;0,28;-1,17;;0,31;-8.585,68;7,57;-412,00;-340,74;-412,00;0,83;0,13;0,00;;;;9,99;-41,17;;8.585.676,00
APRN;5,16;;-0,37;0,95;0,21;34,40;-19,46;-19,46;-0,37;-0,26;0,11;-0,28;0,07;-1,37;-0,38;0,75;-255,92;-55,30;-156,46;0,22;0,78;2,84;-12,25;;;5,41;-13,85;;32.893.452,00
APSG;7,39;;-38,87;-7,32;0,92;;;;-38,89;-41,98;-3,09;;;-49,52;-0,92;0,03;-18,83;-2,37;45,17;-0,13;0,13;0,00;;;;-1,01;-0,19;;754.528.607,00
APSG.U;7,73;;-40,66;-7,66;0,96;;;;-40,68;-41,98;-3,09;;;-51,80;-0,97;0,03;-18,83;-2,37;45,17;-0,13;0,13;0,00;;;;-1,01;-0,19;;754.528.607,00
APSG.WS;1,35;;-7,10;-1,34;0,17;;;;-7,10;-41,98;-3,09;;;-9,05;-0,17;0,03;-18,83;-2,37;45,17;-0,13;0,13;0,00;;;;-1,01;-0,19;;754.528.607,00
APT;3,83;;20,19;0,77;0,73;34,80;5,36;3,98;14,99;10,55;-4,44;-0,23;0,80;0,93;-3,80;30,94;3,79;3,61;3,79;0,95;0,05;0,91;7,08;4,51;;5,00;0,19;;46.680.806,00
APTO;4,42;;-0,63;1,07;0,70;;;;-0,63;0,18;0,81;-1,37;;1,09;-19,76;3,05;-169,35;-111,92;-169,35;0,66;0,34;0,00;;;;4,15;-7,03;;27.687.322,00
APTV;111,14;;48,49;3,35;1,38;15,48;7,39;3,42;22,45;26,50;4,05;0,60;1,66;9,35;-2,15;1,71;6,90;2,86;7,77;0,41;0,58;0,83;6,30;-15,21;;33,21;2,29;;30.064.081.296,00
