Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
FGAA11,Indefinido,8.24,705748.19,0.87,0.11,1.3,3.79,7.74,16.66,1.26,1.29,1.39,9.13,-2.86,-1.6,12.55,"425.475.188,77",9.46,0.87,1.16,0.0,0.0,0.0,0,904.04,52107,N/A,10.0,1.15
FIGS11,Shoppings,50.37,89617.33,0.71,0.48,0.97,2.99,6.05,12.38,1.0,1.01,1.03,1.99,5.66,6.68,5.57,"199.771.293,69",70.04,0.72,0.69,-8.42,-7.79,-25.82,2,1324.06,11268,N/A,N/A,0.5
FIIB11,Imóveis Industriais e Logísticos,440.99,275738.05,0.75,3.1,0.65,2.14,4.32,9.06,0.71,0.72,0.76,1.4,0.0,0.65,0.15,"405.576.425,35",590.11,0.75,0.53,27.87,28.54,41.34,9,960.17,14156,N/A,N/A,N/A
FIIP11,Imóveis Industriais e Logísticos,132.14,401842.14,0.66,1.42,1.05,3.12,6.14,11.85,1.04,1.02,0.99,7.07,1.34,2.4,-12.31,"185.491.815,14",N/A,N/A,N/A,N/A,N/A,N/A,7,2460.91,5988,N/A,N/A,N/A
FIIP11B,Imóveis Industriais e Logísticos,161.37,1172.8,0.73,1.4,0.96,2.95,5.92,10.89,0.98,0.99,0.91,4.03,-1.78,-0.84,6.81,"184.360.354,72",198.84,0.81,0.7,6.81,7.56,8.46,7,11.96,6586,N/A,N/A,N/A
FISC11,Lajes Corporativas,58.6,8842.15,0.53,0.56,0.83,0.83,2.13,5.24,0.83,0.36,0.44,0.83,0.0,0.0,N/A,"188.957.666,37",111.11,0.53,0.5,-3.43,-2.95,-2.47,4,18363.43,221,N/A,N/A,3.6
FLCR11,Papéis,93.56,241454.67,0.98,1.1,1.14,3.43,6.73,14.46,1.14,1.12,1.21,2.39,0.71,1.86,3.07,"70.709.624,35",95.08,0.98,1.16,-3.39,-2.28,7.47,1,1247.05,2683,N/A,20.0,1.0
FLFL11,Fundo de Desenvolvimento,N/A,N/A,N/A,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"475.591.739,84",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A
FLMA11,Lajes Corporativas,147.5,50457.71,0.6,1.38,0.88,2.52,4.52,9.41,0.84,0.75,0.78,5.29,-1.69,-0.83,13.22,"346.156.033,36",250.72,0.59,0.57,56.46,57.35,71.74,1,1920.25,10833,N/A,N/A,0.12
FLRP11,Shoppings,20.39,12628.9,0.96,0.15,0.73,2.16,4.32,8.78,0.72,0.72,0.73,5.04,-0.1,0.63,11.06,"161.831.456,47",21.02,0.97,0.71,-98.85,-98.84,-98.71,1,1917.62,1893,N/A,N/A,0.6
FMOF11,Lajes Corporativas,35.99,800.7,0.74,0.1,0.27,0.27,8.34,119.7,0.27,1.39,9.98,8.34,2.68,2.96,4.68,"24.126.952,25",46.35,0.78,3.02,-60.92,-59.74,-60.99,1,19507.38,391,N/A,N/A,N/A
FPAB11,Lajes Corporativas,198.03,21575.74,0.55,1.8,0.82,3.68,4.33,7.86,1.23,0.72,0.66,2.91,3.53,4.38,8.54,"268.415.948,26",358.33,0.55,0.5,-4.45,-3.97,-7.88,2,6051.19,653,N/A,N/A,N/A
FPOR11,FIP-IE,24.0,1973.14,N/A,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,38750.24,0,N/A,N/A,N/A
FRHY11,Indefinido,N/A,N/A,N/A,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"1.469.106,01",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,6,N/A,N/A,N/A
FTCA11,Indefinido,8.57,37244.62,0.81,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"46.969.105,98",10.53,0.81,1.04,0.0,0.0,0.0,0,1619.0,7672,1.1,N/A,N/A
FVPQ11,Shoppings,57.27,38429.29,0.61,0.4,0.56,1.48,2.78,9.87,0.49,0.46,0.82,0.56,-9.62,-9.12,-9.12,"258.455.348,57",92.26,0.62,0.43,-52.02,-51.81,-51.01,1,2866.46,3416,N/A,N/A,0.12
FYTO11,Papéis,8.17,120188.33,0.83,0.1,1.23,3.56,6.99,15.33,1.19,1.17,1.28,8.32,-3.38,-2.19,19.27,"152.456.236,71",N/A,N/A,N/A,N/A,N/A,N/A,0,995.84,10301,N/A,N/A,1.1
FZDA11,Indefinido,122.7,294.44,0.7,4.32,3.55,3.55,3.55,3.55,1.18,0.89,0.89,3.55,0.59,4.16,4.16,"284.989.216,08",183.86,0.67,2.35,0.0,0.0,0.0,0,6716.03,280,0.7,15.0,0.12
FZDB11,Indefinido,154.46,1666685.67,0.86,3.94,3.39,3.39,3.39,3.39,1.7,1.7,1.7,3.39,-8.53,-5.43,-5.43,"642.871.106,93",178.58,0.86,2.21,0.0,0.0,0.0,0,20425.0,120,0.7,15.0,0.12
GAME11,Indefinido,8.49,284988.33,0.89,0.1,1.09,3.2,6.62,13.82,1.07,1.1,1.15,2.12,-1.19,-0.11,5.95,"272.386.907,66",9.64,0.88,1.04,-2.03,-1.02,-98.84,14,1275.82,20760,N/A,20.0,1.1
GARE11,Imóveis Industriais e Logísticos,8.13,10219582.86,0.88,0.08,1.02,3.0,5.97,11.85,1.0,1.0,0.99,6.93,-2.16,-1.16,-0.08,"2.680.905.837,98",N/A,N/A,N/A,N/A,N/A,N/A,3,662.81,522157,N/A,20.0,1.0
GCOI11,Indefinido,70.82,291.38,0.94,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"8.473.573,49",N/A,N/A,N/A,N/A,N/A,N/A,2,27446.08,384,N/A,N/A,N/A
GCRA11,Indefinido,51.15,182117.0,0.59,0.68,1.32,3.89,7.68,16.22,1.3,1.28,1.35,8.99,-2.28,-0.99,18.6,"152.804.038,05",N/A,N/A,0.0,-100.0,-100.0,-100.0,0,1446.66,6624,N/A,20.0,1.15
GCRI11,Papéis,66.39,156854.67,0.72,0.8,1.21,3.74,7.75,16.87,1.25,1.29,1.41,1.21,5.06,6.34,6.34,"135.757.181,26",90.62,0.73,0.88,-3.97,-3.13,-1.06,14,1541.75,4048,N/A,20.0,1.0
GESE11B,Educacional,1520.0,N/A,1.36,1112.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"58.192.036,94",1119.08,1.36,104.32,-36.85,29.02,33.17,1,N/A,56,N/A,N/A,0.18
