Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
HUSI11,Hospitalar,1010.0,10013.94,0.83,9.34,0.78,1.53,2.3,2.3,0.51,0.38,0.19,2.3,-0.74,0.03,0.03,"153.130.257,95",1315.98,0.77,0.7,32.51,33.43,40.35,14,34190.72,106,N/A,N/A,N/A
HYPI11,Outros,180.54,363.0,93.54,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"2.525.439,51",N/A,N/A,N/A,N/A,N/A,N/A,1,2500.79,109,N/A,N/A,N/A
IAAG11,Indefinido,8.25,145872.0,0.85,0.11,1.29,4.09,8.5,18.6,1.36,1.42,1.55,10.07,1.67,2.98,30.44,"100.620.221,64",9.69,0.85,1.24,0.0,0.0,0.0,0,1731.53,16132,N/A,20.0,1.15
IAGR11,Indefinido,4.31,17981.9,0.63,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.03,-3.18,-3.03,45.49,"18.892.398,72",6.26,0.69,0.1,0.0,0.0,0.0,0,2137.21,3318,0.8,20.0,0.2
IBBP11,Imóveis Industriais e Logísticos,7.92,115720.67,0.85,0.08,1.02,2.87,5.61,11.41,0.96,0.94,0.95,5.61,0.62,1.65,1.35,"696.681.175,82",N/A,N/A,N/A,N/A,N/A,N/A,25,10594.47,1521,N/A,N/A,N/A
IBCR11,Papéis,44.85,61101.52,0.5,0.6,1.2,4.04,8.31,18.01,1.35,1.39,1.5,2.63,2.11,3.33,3.12,"85.371.234,57",90.14,0.5,0.67,-4.02,-3.39,4.78,14,2076.37,3794,0.8,20.0,0.2
ICNE11,Imóveis Residenciais,700.0,314.16,1.14,13.54,2.08,2.08,5.37,5.37,0.69,0.9,0.45,5.37,0.0,0.0,N/A,"73.722.465,55",N/A,N/A,N/A,N/A,N/A,N/A,14,26857.4,10,N/A,N/A,N/A
ICRI11,Misto,92.95,716097.52,0.92,1.1,1.15,3.41,6.56,13.34,1.14,1.09,1.11,7.66,-0.53,0.61,24.76,"393.021.351,52",N/A,N/A,N/A,N/A,N/A,N/A,14,1277.8,11954,N/A,N/A,1.0
IDFI11,Indefinido,2.0,2592.8,1.25,1.56,78.04,0.0,0.0,0.0,0.0,0.0,0.0,1043.04,-54.34,-18.7,44259.43,"3.283.391,87",1.6,1.25,269.79,-97.14,-89.43,-91.38,5,6.01,617,N/A,N/A,N/A
IDGR11,Misto,1.5,332.83,16.67,0.09,5.99,0.0,0.0,0.0,0.0,0.0,0.0,5.99,-50.98,-48.04,-48.04,"79.368,95",N/A,N/A,N/A,N/A,N/A,N/A,1,49.5,171,N/A,N/A,N/A
IDUA11,Imóveis Comerciais - Outros,64.42,N/A,8.18,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"3.169.700,86",N/A,N/A,N/A,N/A,N/A,N/A,14,2.03,1,N/A,N/A,N/A
IFRA11,Indefinido,92.78,2475429.05,N/A,0.95,1.03,3.15,5.95,11.82,1.05,0.99,0.99,6.84,-5.86,-4.89,12.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1516.9,0,N/A,N/A,0.85
IFRI11,Misto,102.49,2190665.33,N/A,1.2,1.18,1.18,4.78,14.07,0.39,0.8,1.17,6.21,-0.77,0.4,14.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1218.59,0,N/A,N/A,0.85
IMOV11,Indefinido,N/A,N/A,N/A,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"496.430.254,84",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,13027,N/A,20.0,1.5
INFA11,Outros,9.82,N/A,N/A,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2.72,0,N/A,N/A,N/A
INFB11,Indefinido,76.0,44411.6,N/A,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,2.23,26.33,27.58,23.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,10237.02,0,N/A,N/A,N/A
INLG11,Imóveis Industriais e Logísticos,67.0,219816.71,0.63,0.6,0.83,2.57,4.97,11.44,0.86,0.83,0.95,5.98,6.65,7.54,8.5,"480.086.510,35",N/A,N/A,N/A,N/A,N/A,N/A,4,1273.72,14847,N/A,N/A,0.46
INRD11,Fundo de Desenvolvimento,75.0,96068.9,0.63,0.72,0.92,2.77,5.44,11.1,0.92,0.91,0.93,6.36,2.14,3.08,17.07,"133.794.671,29",N/A,N/A,N/A,N/A,N/A,N/A,5,1948.31,5856,N/A,N/A,1.0
IRIF11,Papéis,8.83,50920.1,N/A,0.12,1.34,0.0,2.7,11.32,0.0,0.45,0.94,2.7,1.36,2.72,14.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2253.11,0,0.8,15.0,N/A
IRIM11,Indefinido,65.71,2604691.52,0.78,0.69,1.02,3.43,6.8,14.64,1.14,1.13,1.22,2.31,-1.62,-0.62,-7.14,"2.953.072.420,00",84.13,0.78,0.82,-13.55,-12.84,-9.53,14,1736.81,205624,0.83,N/A,0.15
ISCJ11,Papéis,50.71,10174.0,0.3,1.6,3.56,0.0,0.0,387.54,0.0,0.0,32.3,401.19,21.77,26.1,594.83,"32.247.797,88",N/A,N/A,N/A,N/A,N/A,N/A,14,65721.71,69,N/A,N/A,N/A
ITIP11,Papéis,57.79,431261.9,0.85,0.69,1.04,3.16,6.72,14.24,1.05,1.12,1.19,2.06,0.71,1.76,4.9,"51.249.599,16",69.68,0.83,0.99,-13.0,-12.14,-10.04,14,1480.48,7316,0.3,N/A,N/A
ITIT11,Fundo de Fundos,58.44,318242.38,0.75,0.61,0.84,2.59,5.37,11.14,0.86,0.9,0.93,1.71,4.06,4.94,8.35,"70.648.021,19",82.1,0.71,0.74,3.98,4.75,11.78,14,1530.45,8998,N/A,N/A,0.3
ITRI11,Shoppings,79.29,989338.38,0.84,0.85,1.04,3.02,6.03,13.39,1.01,1.01,1.12,7.7,-3.45,-2.45,19.49,"585.701.060,04",N/A,N/A,N/A,N/A,N/A,N/A,14,1460.88,18032,N/A,-1.0,1.2
IVCI11,Papéis,96.86,N/A,0.97,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"49.944.439,00",N/A,N/A,N/A,N/A,N/A,N/A,0,1.15,16,N/A,N/A,N/A
JASC11,Imóveis Comerciais - Outros,100.0,14705.88,0.87,0.7,0.7,1.37,2.06,4.6,0.46,0.34,0.38,0.7,-2.89,-2.21,-2.21,"441.099.359,45",N/A,N/A,N/A,N/A,N/A,N/A,17,23977.63,161,N/A,N/A,0.99
JBFO11,Papéis,15.03,82.0,1.94,7.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,N/A,"9.919.792,95",N/A,N/A,N/A,N/A,N/A,N/A,14,68.9,369,N/A,N/A,N/A
JCCJ11,Papéis,139.69,316267.14,0.7,1.77,1.12,3.43,7.04,7.77,1.14,1.17,0.65,7.04,3.13,4.28,21.06,"1.046.775.192,71",N/A,N/A,N/A,N/A,N/A,N/A,1,5822.02,337,1.0,N/A,0.12
JCIN11,Fundo de Fundos,148.9,9973769.0,0.83,7082.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"237.606.319,89",N/A,N/A,N/A,N/A,N/A,N/A,14,1357.06,6,N/A,N/A,N/A
JFLL11,Imóveis Residenciais,55.58,55828.95,0.54,0.2,0.36,1.02,1.98,24.72,0.34,0.33,2.06,3.65,-3.9,-3.55,-1.16,"156.191.025,81",104.09,0.53,0.19,3.08,3.28,12.23,1,1877.45,2068,N/A,N/A,1.15
JGPX11,Indefinido,62.53,417954.48,0.66,0.9,1.45,3.74,8.54,19.12,1.25,1.42,1.59,8.54,-5.49,-4.12,5.73,"203.790.923,20",94.57,0.66,1.11,-1.46,-0.36,10.48,0,2326.31,5902,1.0,20.0,0.18
JMBI11,Outros,85.54,1034985.38,N/A,1.08,1.23,2.57,6.73,16.39,0.86,1.12,1.37,8.38,-2.07,-0.87,25.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1580.06,0,N/A,20.0,1.25
JPPA11,Papéis,81.99,122356.81,0.81,1.06,1.22,4.05,8.16,16.93,1.35,1.36,1.41,2.69,5.47,6.76,14.56,"90.636.492,03",100.57,0.82,1.05,2.29,3.37,16.33,14,1328.24,6017,N/A,20.0,1.05
JSAF11,Fundo de Fundos,7.28,1487605.71,0.79,0.08,0.99,3.11,6.6,14.26,1.04,1.1,1.19,2.02,3.99,5.02,11.86,"719.646.064,11",9.46,0.77,0.85,-89.93,-89.84,-89.04,14,1292.83,26400,1.0,20.0,N/A
JSCR11,Papéis,7.93,261534.76,0.84,0.1,1.23,3.8,7.26,14.88,1.27,1.21,1.24,8.47,-1.77,-0.56,20.84,"209.607.782,10",N/A,N/A,N/A,N/A,N/A,N/A,14,1693.16,3544,N/A,10.0,1.0
JSRE11,Misto,58.59,3576118.57,0.57,0.48,0.69,2.13,4.47,9.31,0.71,0.75,0.78,1.41,4.89,5.61,6.63,"2.141.161.745,88",103.7,0.56,0.46,-8.21,-7.78,-3.74,6,1311.5,88932,N/A,20.0,1.0
JURO11,Indefinido,97.4,6137827.19,N/A,0.5,0.51,1.23,4.19,10.64,0.41,0.7,0.89,5.2,-5.84,-5.36,10.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1009.05,0,N/A,N/A,1.0
KCRE11,Indefinido,8.97,351547.86,0.95,0.08,0.89,2.85,5.94,14.08,0.95,0.99,1.17,1.91,2.39,3.3,7.91,"339.202.016,85",9.59,0.94,0.83,-90.21,-90.12,-90.01,14,889.95,16050,N/A,N/A,1.2
KDIF11,Indefinido,120.57,3145539.9,N/A,1.45,1.19,3.49,6.93,13.41,1.16,1.16,1.12,8.09,-2.4,-1.24,13.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1388.35,0,N/A,N/A,1.11
KDOL11,Misto,87.0,58250.1,0.93,0.39,0.45,1.4,2.84,5.94,0.47,0.47,0.5,3.27,2.38,2.84,-2.35,"62.560.171,03",93.24,0.93,0.45,0.0,0.0,0.0,0,1649.74,1578,N/A,N/A,1.0
KEVE11,Fundo de Desenvolvimento,446.2,307.18,1.2,10.83,2.37,8.78,15.52,43.65,2.93,2.59,3.64,15.52,0.0,0.0,N/A,"54.697.687,97",370.33,1.2,3.29,-60.27,-58.97,-60.55,14,25536.09,429,N/A,20.0,1.45
KFEN11,Indefinido,1100.0,1571.43,1.17,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"167.436.354,12",N/A,N/A,N/A,N/A,N/A,N/A,14,632.17,129,N/A,15.0,0.75
KFOF11,Fundo de Fundos,78.14,1196848.9,0.85,0.8,0.92,2.79,5.85,11.96,0.93,0.98,1.0,1.84,-0.11,0.8,5.49,"643.796.104,69",94.18,0.83,0.85,3.64,4.52,10.35,14,1337.93,27026,N/A,20.0,0.92
KINP11,Fundo de Desenvolvimento,10.0,38394.2,0.16,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.95,0.0,0.0,N/A,"118.155.565,38",N/A,N/A,0.0,-100.0,0.0,0.0,14,12.74,8102,N/A,N/A,N/A
KISU11,Fundo de Fundos,6.6,432628.57,0.82,0.07,0.99,3.02,6.18,12.55,1.01,1.03,1.05,1.99,1.87,2.87,6.19,"356.882.460,97",8.46,0.78,0.83,-2.98,-2.18,0.08,14,1335.6,103453,N/A,N/A,0.6
KIVO11,Papéis,58.73,432148.29,0.7,1.14,1.64,4.36,8.67,18.4,1.45,1.45,1.53,2.98,7.01,8.76,15.91,"187.570.261,88",N/A,N/A,N/A,N/A,N/A,N/A,14,1468.8,7247,N/A,10.0,1.15
KNCA11,Indefinido,90.2,4109718.86,0.89,1.13,1.25,3.57,6.77,14.48,1.19,1.13,1.21,8.07,-4.14,-2.94,10.45,"2.176.651.191,41",100.77,0.9,1.09,-1.39,-0.31,10.93,0,892.09,91213,1.2,N/A,N/A
KNCR11,Papéis,108.14,20357415.95,1.06,1.2,1.12,3.37,7.29,14.61,1.12,1.22,1.22,2.33,-0.52,0.59,2.88,"10.963.961.899,61",102.29,1.06,1.17,1.53,2.72,16.27,14,713.46,558989,1.0,N/A,N/A
KNHF11,Indefinido,95.01,3310638.0,0.94,1.0,1.05,3.06,6.18,13.12,1.02,1.03,1.09,7.27,-4.11,-3.1,17.62,"1.981.719.472,60",N/A,N/A,N/A,N/A,N/A,N/A,6,920.31,69413,N/A,N/A,1.2
KNHY11,Papéis,100.45,3723546.24,1.02,1.2,1.2,3.64,6.69,13.74,1.21,1.12,1.15,7.74,-0.38,0.82,15.31,"3.078.815.446,57",98.77,1.02,1.16,1.04,2.22,15.47,14,679.9,27847,N/A,N/A,1.6
KNIP11,Papéis,92.79,13052645.9,0.98,0.7,0.76,2.34,4.56,11.5,0.78,0.76,0.96,1.53,1.4,2.17,4.71,"7.481.169.020,60",94.24,0.98,0.74,0.4,1.15,10.42,14,1194.33,72653,N/A,N/A,1.0
KNOX11,FIP-IE,98.61,622069.16,N/A,4.13,4.23,4.23,4.23,10.53,1.41,0.71,0.88,4.23,8.48,13.07,13.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2270.0,0,N/A,N/A,N/A
KNPR11,Indefinido,65.28,38674.11,0.77,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"54.443.302,45",N/A,N/A,N/A,N/A,N/A,N/A,14,11896.22,594,N/A,N/A,N/A
KNRE11,Fundo de Desenvolvimento,0.34,352.57,0.53,0.0,0.39,0.39,0.39,339.05,0.39,0.39,28.25,0.39,18.52,18.98,18.98,"11.910.967,91",0.76,0.45,9.22,0.0,9.22,0.46,14,6172.07,5382,N/A,20.0,0.04
KNRI11,Misto,155.1,8287895.86,0.96,0.88,0.53,2.0,4.09,8.53,0.67,0.68,0.71,1.34,7.67,8.24,11.31,"4.601.415.318,82",164.0,0.95,0.54,2.6,3.15,11.76,18,1445.06,313130,1.11,N/A,N/A
KNSC11,Papéis,9.22,4123383.71,1.05,0.09,0.98,3.04,6.29,13.5,1.01,1.05,1.13,2.0,4.09,5.11,8.14,"1.771.689.563,66",8.83,1.04,1.02,-89.98,-89.88,-88.81,14,879.92,265223,1.2,N/A,N/A
KNUQ11,Indefinido,104.73,4330373.57,1.03,1.15,1.09,3.3,6.82,15.06,1.1,1.14,1.26,8.18,0.52,1.62,18.5,"2.178.113.477,92",N/A,N/A,N/A,N/A,N/A,N/A,14,573.42,54995,N/A,N/A,1.4
KOPA11,Indefinido,343.0,159911.48,0.87,47.5,11.94,45.89,71.3,126.75,15.3,11.88,10.56,80.4,3.9,16.31,168.14,"140.155.422,69",395.16,0.87,30.87,0.0,0.0,0.0,0,2007.65,3498,N/A,20.0,2.0
KORE11,Lajes Corporativas,65.46,2550219.95,0.61,0.6,0.94,2.66,5.1,16.57,0.89,0.85,1.38,6.86,-5.63,-4.75,4.24,"1.021.842.134,43",N/A,N/A,N/A,N/A,N/A,N/A,4,1913.23,30828,N/A,N/A,1.06
KRES11,Misto,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"244.171.560,62",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,131,N/A,20.0,1.25
LAFI11,Misto,120.24,19547.82,0.98,0.76,0.63,5.26,5.26,5.26,1.75,1.05,1.05,5.26,-1.56,-0.94,-0.94,"93.495.669,86",112.63,1.07,3.04,0.0,0.0,0.0,0,15977.3,1278,N/A,N/A,N/A
LASC11,Shoppings,110.79,172617.52,0.85,0.75,0.67,1.78,4.07,18.08,0.59,0.68,1.51,1.14,3.21,3.9,13.5,"387.891.107,96",131.94,0.84,0.57,23.35,24.06,24.59,2,2248.39,641,N/A,20.0,1.07
LAVF11,Indefinido,N/A,N/A,N/A,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,7,N/A,N/A,N/A
LFTT11,Papéis,2.1,598719.0,0.07,0.21,0.0,0.0,0.0,86.12,0.0,0.0,7.18,187.89,0.0,0.0,N/A,"20.524.042,22",51.02,0.04,0.41,27.42,27.95,-54.91,48,18296.82,8,N/A,N/A,N/A
LIFE11,Imóveis Comerciais - Outros,6.84,915833.81,0.71,0.12,1.34,4.23,8.65,17.55,1.41,1.44,1.46,2.75,4.81,6.21,13.29,"383.768.615,88",N/A,N/A,N/A,N/A,N/A,N/A,14,1554.55,20449,N/A,20.0,1.38
LKDV11,Papéis,1104.12,101354.5,1.0,82.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"73.767.629,67",N/A,N/A,N/A,N/A,N/A,N/A,1,4718.09,101,N/A,N/A,N/A
LLAO11,Misto,57.2,57.0,1.07,7.31,11.32,0.0,0.0,11.32,0.0,0.0,1.62,11.32,-2.11,8.97,8.97,"19.256.284,02",N/A,N/A,N/A,N/A,N/A,N/A,8,9070.45,78,N/A,N/A,N/A
LOFT11B,Fundo de Desenvolvimento,29.9,N/A,1495.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.37,0.0,0.0,N/A,"1.037,85",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,8,N/A,N/A,N/A
LPLP11,Indefinido,230.0,416.65,0.73,0.18,0.05,8.31,18.56,18.56,2.77,3.09,1.55,8.31,42.86,42.93,22.87,"251.560.601,61",N/A,N/A,N/A,N/A,N/A,N/A,14,18582.49,38,N/A,N/A,N/A
LRDI11,Indefinido,114.09,53.33,2.42,6.23,0.0,24.62,24.62,38.14,8.21,6.16,9.54,0.0,0.0,0.0,N/A,"17.451.380,86",N/A,N/A,N/A,N/A,N/A,N/A,14,21375.26,139,N/A,N/A,N/A
LSAG11,Indefinido,78.11,58607.24,0.79,1.0,1.26,3.97,7.79,17.49,1.32,1.3,1.46,9.18,4.82,6.14,19.73,"98.794.610,70",97.88,0.8,1.07,0.0,0.0,0.0,0,1744.48,2589,N/A,N/A,1.47
LSOI11,Misto,12.02,1333334.67,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"71.298.448,94",N/A,N/A,N/A,N/A,N/A,N/A,2,1087.42,40,N/A,N/A,N/A
LSPA11,Papéis,24.01,453.61,1.15,20.85,86.84,0.0,0.0,0.0,0.0,0.0,0.0,299.45,0.0,86.84,153.73,"8.473.824,04",N/A,N/A,N/A,N/A,N/A,N/A,14,0.39,727,N/A,N/A,N/A
LTMT11,Imóveis Residenciais,93.78,5574.67,1.0,8.38,8.8,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,N/A,"14.730.216,79",N/A,N/A,N/A,N/A,N/A,N/A,1,45469.77,115,N/A,N/A,N/A
LUGG11,Imóveis Residenciais,72.82,23956.0,0.55,0.59,0.88,2.59,5.08,9.23,0.86,0.85,0.77,9.23,-3.2,-2.35,-10.08,"132.968.746,75",117.6,0.62,0.51,-7.97,-7.5,-0.34,5,10.07,7962,N/A,N/A,1.0
LVBI11,Imóveis Industriais e Logísticos,102.93,2910696.81,0.86,0.75,0.72,2.1,4.17,8.61,0.7,0.7,0.72,4.86,-3.64,-2.95,3.5,"1.941.627.792,71",120.46,0.85,0.62,4.29,4.94,10.33,13,1185.53,124082,0.8,N/A,N/A
MAGM11,Misto,10.0,4344.1,0.99,0.12,1.2,1.2,2.46,2.46,0.4,0.49,0.49,2.46,4.83,6.09,6.09,"125.405.482,53",N/A,N/A,N/A,N/A,N/A,N/A,0,1612.92,182,N/A,N/A,N/A
MANA11,Indefinido,9.13,1147033.48,0.98,0.11,1.17,3.61,7.43,15.56,1.2,1.24,1.3,2.36,1.84,3.03,9.45,"351.255.788,66",N/A,N/A,N/A,N/A,N/A,N/A,14,762.68,36656,N/A,20.0,1.0
MATV11,Indefinido,86.63,13027.43,0.92,0.6,0.73,0.0,0.0,0.0,0.0,0.0,0.0,3.11,-1.41,-0.69,-1.08,"39.926.993,67",91.09,0.95,0.66,-1.89,-1.24,-0.18,1,0.37,325,N/A,N/A,N/A
MAXR11,Varejo,48.44,32983.0,0.51,0.25,0.45,1.36,3.12,6.46,0.45,0.52,0.54,3.12,-4.66,-4.24,-6.17,"104.873.294,73",93.17,0.52,0.28,-24.3,-24.09,-18.48,7,1891.5,3562,N/A,N/A,0.3
MBRF11,Lajes Corporativas,N/A,N/A,N/A,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,1136.01,N/A,0.88,-0.17,0.71,10.03,0,N/A,0,N/A,N/A,N/A
MCCI11,Papéis,93.31,5191357.86,0.99,1.0,1.09,3.38,6.87,13.91,1.13,1.15,1.16,1.09,4.76,5.9,5.9,"1.608.480.585,47",95.67,0.98,1.05,3.43,4.51,9.36,14,1226.53,124940,0.8,20.0,0.2
MCEM11,Shoppings,26.97,8641.17,0.97,0.67,1.18,0.0,3.35,8.58,0.0,0.56,0.78,3.35,-10.15,-9.09,-4.22,"95.182.732,60",N/A,N/A,N/A,N/A,N/A,N/A,14,7125.08,234,N/A,20.0,1.3
MCLO11,Imóveis Industriais e Logísticos,10.43,729082.25,0.72,0.15,1.5,2.92,5.32,9.02,0.97,0.89,0.75,6.31,-0.1,1.4,3.27,"1.723.795.824,67",N/A,N/A,N/A,N/A,N/A,N/A,4,11634.07,247,N/A,N/A,N/A
MCRE11,Papéis,8.98,2247719.67,0.89,0.11,1.21,3.55,7.11,15.42,1.18,1.19,1.29,7.11,-3.18,-2.01,16.38,"1.135.090.129,68",N/A,N/A,N/A,N/A,N/A,N/A,1,1374.6,94007,1.1,20.0,0.2
MFAI11,Fundo de Fundos,69.98,11326.82,0.99,34.18,48.84,0.0,0.0,0.0,0.0,0.0,0.0,56.24,2.66,52.79,89.75,"27.463.042,22",N/A,N/A,0.0,-100.0,0.0,0.0,14,0.02,2301,N/A,20.0,1.0
MFII11,Fundo de Desenvolvimento,51.45,2663241.38,0.53,1.05,1.3,4.1,8.22,16.8,1.37,1.37,1.4,2.69,5.22,6.59,9.08,"656.905.292,98",96.23,0.53,1.09,-8.99,-7.99,1.72,1,2312.46,32542,N/A,20.0,2.0
MGCR11,Papéis,9.4,259145.59,0.96,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,N/A,"131.240.792,97",9.78,0.96,1.02,-89.08,-88.97,-88.55,14,14.56,4360,N/A,N/A,N/A
MGFF11,Fundo de Fundos,69.99,2558695.75,1.1,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"118.155.565,38",73.54,0.95,0.71,2.57,3.29,-0.09,14,8.07,8102,N/A,20.0,0.2
MGHT11,Hotéis,12.01,18258.95,0.51,0.13,0.42,0.0,0.0,0.0,0.0,0.0,0.0,7.24,-14.42,-14.07,-21.9,"29.275.843,03",50.81,0.24,0.26,-40.63,-40.48,-43.69,1,4469.46,3235,N/A,20.0,1.2
MGRI11,Indefinido,58.18,N/A,1.23,1.18,0.0,0.0,0.0,8.02,0.0,0.0,0.67,0.0,0.0,0.0,N/A,"15.648.267,87",N/A,N/A,N/A,N/A,N/A,N/A,1,3.52,1,0.85,N/A,0.14
MMPD11,Indefinido,67.92,672648.67,1.01,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"35.668.292,11",N/A,N/A,N/A,N/A,N/A,N/A,14,802.7,102,1.3,20.0,0.15
MXRF11,Papéis,9.72,15118711.05,1.04,0.1,1.04,3.13,6.29,12.92,1.04,1.05,1.08,2.09,0.84,1.89,1.99,"4.313.692.471,65",9.49,1.02,1.05,-6.13,-5.14,0.39,3,793.57,1468513,N/A,N/A,0.9
NAUI11,Outros,1000.0,20000.0,2.3,115.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"22.538.654,50",N/A,N/A,N/A,N/A,N/A,N/A,0,7275.17,110,N/A,N/A,N/A
NAVT11,Papéis,74.45,41438.24,0.85,1.24,1.68,3.83,7.14,14.25,1.28,1.19,1.19,1.68,4.32,6.08,6.08,"53.662.100,29",90.17,0.83,1.38,0.66,2.04,3.21,14,1513.59,2238,N/A,20.0,1.0
NCHB11,Papéis,7.97,63111.7,0.82,0.11,1.34,4.06,7.73,15.13,1.35,1.29,1.26,4.06,11.1,12.58,10.18,"148.979.591,77",9.75,0.82,1.02,-89.12,-89.01,-88.6,14,17.09,11451,N/A,N/A,1.1
NCRI11,Papéis,9.06,43886.48,0.9,0.12,1.36,4.07,7.47,15.06,1.36,1.25,1.26,8.65,-2.44,-1.11,20.48,"39.774.627,09",N/A,N/A,N/A,N/A,N/A,N/A,1,3269.98,1317,N/A,N/A,N/A
NELO11,Logística,N/A,N/A,N/A,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"303.450.733,96",691.7,N/A,3.63,0.0,0.0,0.0,57,N/A,1,N/A,N/A,N/A
NEWL11,Imóveis Industriais e Logísticos,103.01,147140.48,0.79,1.0,0.96,2.8,5.52,11.34,0.93,0.92,0.95,6.5,-5.71,-4.81,8.96,"365.885.730,64",130.2,0.79,0.77,8.42,9.25,24.68,3,1416.76,7480,N/A,20.0,0.95
NEWU11,Lajes Corporativas,111.48,1719.38,1.13,0.25,0.23,1.52,1.94,2.64,0.51,0.32,0.22,1.28,1.91,2.15,2.97,"73.157.639,77",83.32,1.34,0.3,19.7,20.05,28.66,2,6005.53,1056,N/A,N/A,N/A
NEXG11,Agricultura,131.78,247214.0,1.31,0.9,0.68,2.05,4.2,9.18,0.68,0.7,0.77,4.84,-0.32,0.35,9.74,"123.187.427,01",99.95,1.32,0.9,0.0,0.0,0.0,0,4443.89,661,1.0,20.0,0.16
NSLU11,Hospitalar,171.51,119701.48,0.99,1.73,0.83,6.07,8.58,14.88,2.02,1.43,1.24,1.46,-3.68,-2.88,-4.22,"223.628.974,12",191.44,0.9,0.9,-3.76,-2.89,3.04,2,2033.45,5220,N/A,N/A,2.5
NUIF11,Indefinido,86.69,101753.48,N/A,1.1,1.22,0.0,1.22,9.9,0.0,0.2,0.83,1.22,4.66,5.94,5.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1599.47,0,N/A,N/A,N/A
NVHO11,Hospitalar,12.2,2091.24,0.73,0.09,0.79,2.21,4.49,9.0,0.74,0.75,0.75,1.51,-8.79,-8.07,-12.89,"687.836.683,00",16.56,0.74,0.54,18.71,19.35,39.65,4,6372.66,1675,N/A,N/A,N/A
NVIF11,Fundo de Desenvolvimento,227.5,N/A,0.63,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"121.563.501,90",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,7,N/A,N/A,N/A
