IBOV - Carteira do Dia 13/09/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,272;
CSNA3;SID NACIONAL;ON;600.865.451;0,353;
SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,199;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,663;
TAEE11;TAESA;UNT     N2;218.568.234;0,368;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,876;
TIMS3;TIM;ON      NM;807.896.814;0,583;
TOTS3;TOTVS;ON      NM;514.122.351;0,712;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,005;
USIM5;USIMINAS;PNA     N1;515.117.391;0,170;
VALE3;VALE;ON      NM;4.427.123.466;14,487;
VAMO3;VAMOS;ON      NM;421.383.330;0,227;
VIIA3;VIA;ON      NM;1.582.929.157;0,089;
VBBR3;VIBRA;ON      NM;1.114.412.532;1,021;
WEGE3;WEG;ON      NM;1.481.593.024;2,556;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,288;
Quantidade Teórica Total;;;97.691.599.206;100,000
Redutor;;;17.516.430,82106780
